dataset,gene,comparison,group_hi,group_lo,n_hi,n_lo,median_hi,median_lo,mean_hi,mean_lo,log2fc_hi_vs_lo,auc,test,statistic,p_value
GSE207422_bulk,TACSTD2,baseline: responder_vs_nonresponder,responder(MPR),non_responder(NMPR),9,15,4.9991896090022,6.22219707106702,5.285527827404026,5.9960698211943155,-0.7105419937902893,0.37777777777777777,Mann-Whitney U,51.0,0.3400554635028641
GSE207422_bulk,CLDN4,baseline: responder_vs_nonresponder,responder(MPR),non_responder(NMPR),9,15,5.8539397241997,6.27200773153137,4.94069983931336,5.169349190358748,-0.2286493510453882,0.35555555555555557,Mann-Whitney U,48.0,0.2572389851810263
GSE126044,TACSTD2,baseline: responder_vs_nonresponder,responder,non_responder,5,11,6.168039700600696,6.288184233072098,4.986764638005527,6.130874194150848,-1.1441095561453212,0.36363636363636365,Mann-Whitney U,20.0,0.440934065934066
GSE126044,CLDN4,baseline: responder_vs_nonresponder,responder,non_responder,5,11,2.542294564145926,3.7711716113053324,2.231615462887736,3.4971479267993018,-1.265532463911566,0.23636363636363636,Mann-Whitney U,13.0,0.11492673992673993
GSE135222,TACSTD2,baseline: DCB(PFS>=6.0mo)_vs_NDB,responder(DCB),non_responder(NDB),7,20,7.341274183692174,7.864761721395016,6.921361098930859,6.834240959600278,0.08712013933058138,0.42857142857142855,Mann-Whitney U,60.0,0.607105615801268
GSE135222,CLDN4,baseline: DCB(PFS>=6.0mo)_vs_NDB,responder(DCB),non_responder(NDB),7,20,7.689369056858228,7.12644010475594,6.787610318121649,6.58668349983873,0.2009268182829187,0.5571428571428572,Mann-Whitney U,78.0,0.6850106415323807
