dataset,gene,comparison,n_hi,n_lo,log2fc_hi_vs_lo,auc,test,statistic,p_value,timepoint_axis,p_fdr_bh
GSE207422_scRNA_epi,TACSTD2,post_vs_pre(sample pseudobulk),12.0,3.0,-0.2617520366218679,0.2777777777777778,Mann-Whitney U,10.0,0.2945054945054945,POST (post-treatment),0.7853479853479853
GSE207422_scRNA_epi,TACSTD2,post: responder_vs_nonresponder,4.0,8.0,-0.3392695948916713,0.21875,Mann-Whitney U,7.0,0.1535353535353535,POST (post-treatment),0.7168831168831165
GSE207422_scRNA_epi,CLDN4,post_vs_pre(sample pseudobulk),12.0,3.0,-0.0241732943047086,0.4722222222222222,Mann-Whitney U,17.0,0.9450549450549448,POST (post-treatment),0.9861442904921163
GSE207422_scRNA_epi,CLDN4,post: responder_vs_nonresponder,4.0,8.0,0.0582700230955852,0.5625,Mann-Whitney U,18.0,0.8080808080808081,POST (post-treatment),0.9029401867973234
GSE207422_bulk,TACSTD2,baseline: responder_vs_nonresponder,9.0,15.0,-0.7105419937902893,0.3777777777777777,Mann-Whitney U,51.0,0.3400554635028641,PRE (baseline vs response),0.8161331124068738
GSE207422_bulk,CLDN4,baseline: responder_vs_nonresponder,9.0,15.0,-0.2286493510453882,0.3555555555555555,Mann-Whitney U,48.0,0.2572389851810263,PRE (baseline vs response),0.7717169555430788
GSE126044,TACSTD2,baseline: responder_vs_nonresponder,5.0,11.0,-1.1441095561453212,0.3636363636363636,Mann-Whitney U,20.0,0.440934065934066,PRE (baseline vs response),0.8727272727272727
GSE126044,CLDN4,baseline: responder_vs_nonresponder,5.0,11.0,-1.265532463911566,0.2363636363636363,Mann-Whitney U,13.0,0.1149267399267399,PRE (baseline vs response),0.7168831168831165
GSE135222,TACSTD2,baseline: DCB(PFS>=6.0mo)_vs_NDB,7.0,20.0,0.0871201393305813,0.4285714285714285,Mann-Whitney U,60.0,0.607105615801268,PRE (baseline vs response),0.8727272727272727
GSE135222,CLDN4,baseline: DCB(PFS>=6.0mo)_vs_NDB,7.0,20.0,0.2009268182829187,0.5571428571428572,Mann-Whitney U,78.0,0.6850106415323807,PRE (baseline vs response),0.8727272727272727
GSE91061,TACSTD2,on-pre delta: responder_vs_nonresponder,9.0,18.0,0.8403066373384239,0.7839506172839507,Mann-Whitney U,127.0,0.0192699336645599,ON (pre->on change vs response),0.434090926677294
GSE91061,CLDN4,on-pre delta: responder_vs_nonresponder,9.0,18.0,0.4860845190579858,0.6049382716049383,Mann-Whitney U,98.0,0.3960658207089378,ON (pre->on change vs response),0.8641436088195007
GSE248249,TACSTD2,unpaired post_vs_pre (acquired resistance),29.0,13.0,0.3602071087533147,0.5437665782493368,Mann-Whitney U,205.0,0.6633322922776901,POST (acquired resistance),0.8727272727272727
GSE248249,CLDN4,unpaired post_vs_pre (acquired resistance),29.0,13.0,-0.7469881167108756,0.2944297082228116,Mann-Whitney U,111.0,0.0361742438897745,POST (acquired resistance),0.434090926677294
GSE248249,EPCAM,unpaired post_vs_pre (acquired resistance),29.0,13.0,-0.2587192307692314,0.4774535809018567,Mann-Whitney U,180.0,0.8276951712308797,POST (acquired resistance),0.9029401867973234
GSE248249,CD274,unpaired post_vs_pre (acquired resistance),29.0,13.0,-0.0079227586206886,0.5490716180371353,Mann-Whitney U,207.0,0.6243237600720506,POST (acquired resistance),0.8727272727272727
GSE246922_KP,Tacstd2,ICB_resistant_vs_parental,9.0,3.0,-0.2030725798546591,0.2222222222222222,Mann-Whitney U,6.0,0.209090909090909,MOUSE (lung ICB models),0.7168831168831165
GSE246922_KP,Tacstd2,IFNg_vs_parental,3.0,3.0,-0.0544169257801527,0.3333333333333333,Mann-Whitney U,3.0,0.7,MOUSE (lung ICB models),0.8727272727272727
GSE246922_KP,Cldn4,ICB_resistant_vs_parental,9.0,3.0,0.0119672607434964,0.4074074074074074,Mann-Whitney U,11.0,0.7272727272727273,MOUSE (lung ICB models),0.8727272727272727
GSE246922_KP,Cldn4,IFNg_vs_parental,3.0,3.0,0.1517756133952446,0.5555555555555556,Mann-Whitney U,5.0,1.0,MOUSE (lung ICB models),1.0
GSE246922_LLC1,Tacstd2,ICB_resistant_vs_parental,3.0,3.0,-0.0770760812725104,0.1111111111111111,Mann-Whitney U,1.0,0.1840386271964254,MOUSE (lung ICB models),0.7168831168831165
GSE246922_LLC1,Tacstd2,IFNg_vs_parental,3.0,3.0,-0.0381828409607845,0.3333333333333333,Mann-Whitney U,3.0,0.7,MOUSE (lung ICB models),0.8727272727272727
GSE246922_LLC1,Cldn4,ICB_resistant_vs_parental,3.0,3.0,-0.165708371637935,0.1111111111111111,Mann-Whitney U,1.0,0.1840386271964254,MOUSE (lung ICB models),0.7168831168831165
GSE246922_LLC1,Cldn4,IFNg_vs_parental,3.0,3.0,-0.0747586591795332,0.3333333333333333,Mann-Whitney U,3.0,0.6579050194284821,MOUSE (lung ICB models),0.8727272727272727
