dataset,gene,comparison,group_hi,group_lo,n_hi,n_lo,median_hi,median_lo,mean_hi,mean_lo,log2fc_hi_vs_lo,auc,test,statistic,p_value,n_pairs,n_pairs_up,n_pairs_down,median_delta_post_minus_pre
GSE248249,TACSTD2,unpaired post_vs_pre (acquired resistance),post(AR),pre,29,13,5.07454,4.83684,5.64816172413793,5.287954615384615,0.36020710875331474,0.5437665782493368,Mann-Whitney U,205.0,0.6633322922776901,,,,
GSE248249,CLDN4,unpaired post_vs_pre (acquired resistance),post(AR),pre,29,13,4.82793,5.65674,5.043850344827586,5.790838461538462,-0.7469881167108756,0.29442970822281167,Mann-Whitney U,111.0,0.03617424388977458,,,,
GSE248249,EPCAM,unpaired post_vs_pre (acquired resistance),post(AR),pre,29,13,7.35437,7.56395,6.913049999999999,7.171769230769231,-0.2587192307692314,0.47745358090185674,Mann-Whitney U,180.0,0.8276951712308797,,,,
GSE248249,CD274,unpaired post_vs_pre (acquired resistance),post(AR),pre,29,13,7.15629,6.28685,7.1730772413793105,7.180999999999999,-0.007922758620688697,0.5490716180371353,Mann-Whitney U,207.0,0.6243237600720506,,,,
GSE248249,TACSTD2,paired post_vs_pre (acquired resistance),,,13,13,,,,,0.09101692307692313,,Wilcoxon signed-rank,44.0,0.946044921875,13.0,6.0,7.0,-0.16129999999999978
GSE248249,CLDN4,paired post_vs_pre (acquired resistance),,,13,13,,,,,-0.7376884615384613,,Wilcoxon signed-rank,12.0,0.01708984375,13.0,2.0,11.0,-0.8851800000000001
GSE248249,TACSTD2,paired post_vs_pre SAME SITE (sensitivity),,,4,4,,,,,0.03358749999999999,,Wilcoxon signed-rank,5.0,1.0,4.0,2.0,2.0,-0.02014999999999989
GSE248249,TACSTD2,"paired post_vs_pre LUNG-to-LUNG (n=1, descriptive)",,,1,1,,,,,0.5980400000000001,,Wilcoxon signed-rank,,,1.0,1.0,0.0,0.5980400000000001
GSE248249,CLDN4,paired post_vs_pre SAME SITE (sensitivity),,,4,4,,,,,-0.6465350000000001,,Wilcoxon signed-rank,0.0,0.125,4.0,0.0,4.0,-0.7442700000000002
GSE248249,CLDN4,"paired post_vs_pre LUNG-to-LUNG (n=1, descriptive)",,,1,1,,,,,-0.9067800000000004,,Wilcoxon signed-rank,,,1.0,0.0,1.0,-0.9067800000000004
GSE248249,EPCAM,paired post_vs_pre (acquired resistance) [control],,,13,13,,,,,-0.06721307692307699,,Wilcoxon signed-rank,41.0,0.786865234375,13.0,5.0,8.0,-0.7575700000000012
GSE248249,CD274,paired post_vs_pre (acquired resistance) [control],,,13,13,,,,,0.22183923076923082,,Wilcoxon signed-rank,37.0,0.587890625,13.0,7.0,6.0,0.34135000000000026
