patient,gene,pre,post,delta
01,TACSTD2,5.80795,6.40599,0.5980400000000001
06,TACSTD2,11.5275,10.0073,-1.520199999999999
08,TACSTD2,4.79713,8.04275,3.2456199999999997
09,TACSTD2,5.23584,5.07454,-0.16129999999999978
12,TACSTD2,3.68153,3.36883,-0.3127
14,TACSTD2,4.83684,4.50206,-0.3347799999999994
19,TACSTD2,3.14193,3.41433,0.2724000000000002
20,TACSTD2,4.55022,6.14075,1.5905299999999993
25,TACSTD2,4.00333,4.46588,0.46255000000000024
26,TACSTD2,6.07197,4.68536,-1.3866100000000001
27,TACSTD2,4.74391,5.51469,0.7707800000000002
29,TACSTD2,5.17384,3.55612,-1.6177200000000003
23,TACSTD2,5.17142,4.74803,-0.4233900000000004
01,CLDN4,5.56787,4.66109,-0.9067800000000004
06,CLDN4,7.20475,6.70634,-0.4984099999999998
08,CLDN4,5.26493,5.70789,0.44296000000000024
09,CLDN4,6.69352,5.13076,-1.56276
12,CLDN4,4.14891,3.56715,-0.58176
14,CLDN4,6.19578,4.58271,-1.6130700000000004
19,CLDN4,4.8338,4.8181,-0.015699999999999825
20,CLDN4,5.65674,6.81299,1.15625
25,CLDN4,5.10562,4.40187,-0.7037500000000003
26,CLDN4,5.71311,4.82793,-0.8851800000000001
27,CLDN4,6.44483,5.35796,-1.0868699999999993
29,CLDN4,5.58578,3.3328,-2.2529799999999995
23,CLDN4,6.86526,5.78336,-1.0819
