slice	contrast	n	rho	p	q_bh_merge
merge	CLDN4 vs DPT	43	-0.06463304137722742	0.6805085480873535	0.6805085480873535
merge	CLDN4 vs AT2	43	0.2523406825732407	0.10257648999333051	0.15174077245269482
merge	CLDN4 vs barrier/keratin	43	0.32799758381153726	0.03177406707716955	0.07413948984672895
merge	CLDN4 vs club	43	0.248299904648158	0.10838626603763915	0.15174077245269482
merge	CLDN4 vs basal	43	0.18906674720628208	0.2246529146776501	0.2620950671239251
merge	CLDN4 vs malignant-like	43	0.5866807610993657	3.5550625571552625e-05	0.00024885437900086835
merge	CLDN4 vs TACSTD2 (comparator)	43	0.4035034732709151	0.007293897236918369	0.025528640329214293
GSE131907	CLDN4 vs DPT	21	-0.07792207792207792	0.7370748924266822	
GSE131907	CLDN4 vs AT2	21	0.3116883116883117	0.16899965782484547	
GSE131907	CLDN4 vs barrier/keratin	21	0.23376623376623373	0.3077875466640504	
GSE131907	CLDN4 vs club	21	0.23791357845528097	0.2990352827572067	
GSE131907	CLDN4 vs basal	21	0.26233766233766237	0.25062562594134374	
GSE131907	CLDN4 vs malignant-like	21	0.5467532467532468	0.010324082786185745	
GSE131907	CLDN4 vs TACSTD2 (comparator)	21	0.40649350649350646	0.06745818431180065	
GSE205335	CLDN4 vs DPT	22	0.026538678712591763	0.9066765277008432	
GSE205335	CLDN4 vs AT2	22	0.17786561264822137	0.42841247523808007	
GSE205335	CLDN4 vs barrier/keratin	22	0.3122529644268775	0.15713592444827057	
GSE205335	CLDN4 vs club	22	0.16657255787690575	0.45876088704673346	
GSE205335	CLDN4 vs basal	22	0.1485036702428007	0.509537703044494	
GSE205335	CLDN4 vs malignant-like	22	0.5358554488989272	0.01015715887582088	
GSE205335	CLDN4 vs TACSTD2 (comparator)	22	0.2625635234330887	0.23780202752583146	
