leiden	n_cells	mean_CLDN4	mean_AT2
0	519	0.10917911020578265	0.027407075786599636
1	243	0.043672047504288	0.041251652789726145
2	173	0.28305884445681906	0.0905681525636199
3	433	0.00990055564284919	0.016797472486804875
4	261	0.03130537611892833	0.4394948543603652
5	470	0.08266393117926356	0.02706711983178169
6	240	0.053555440884693675	0.03337612079487058
7	537	0.05926319706835479	0.04008416727193417
8	13	0.0	0.0
9	100	0.9620086387510615	0.03507492491758748
10	104	0.04978537983885277	0.04503690412654744
11	90	0.06612940218020542	0.03854455394798307
12	79	0.6078946053932676	0.00821147648436532
13	77	0.8002095993207684	0.003992781072794847
14	43	0.0	0.017999018470619008
