contrast	n_units	median_delta	W	p
paired tertile Δ score_barrier_keratin	23	0.20993531384459474	2.0	7.152557373046875e-07
paired tertile Δ score_AT2	23	0.0	28.0	0.06914397389751895
paired tertile Δ dpt_pseudotime	23	0.00290045328438282	23.0	0.000152587890625
