tf	target	resource	confidence	effect	reference	note
ELF3	ANGPT1	CollecTRI		Activation	CollecTRI:14715662;CollecTRI2:14715662	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	AR	CollecTRI		Activation	CollecTRI:23435425;CollecTRI2:23435425	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	CCL20	CollecTRI		Activation	CollecTRI2:12414801;CollecTRI:12414801	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	CCND3	CollecTRI		Activation	CollecTRI:11509675	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	CLDN7	CollecTRI		Activation	CollecTRI:17060315;CollecTRI2:17060315;DoRothEA:17060315;CollecTRI2:20566751;TRRUST:17060315	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	COL2A1	CollecTRI		Activation	CollecTRI:18044710;CollecTRI2:27310669;CollecTRI2:18044710	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	EGR1	CollecTRI		Activation	CollecTRI2:19074849;CollecTRI:19074849	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	EHF	CollecTRI		Activation	CollecTRI2:18475289;CollecTRI:18475289	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	ERBB2	CollecTRI		Activation	CollecTRI2:23464919;CollecTRI2:12713734;CollecTRI2:23835029;CollecTRI2:29187433;CollecTRI:12713734;CollecTRI2:11175365;CollecTRI2:12242338;CollecTRI2:15025473;CollecTRI2:12708845;CollecTRI2:25753424;CollecTRI:11175365;CollecTRI2:9129154;CollecTRI2:35963541;CollecTRI:12032832;CollecTRI2:31183315;Coll	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	FOLH1	CollecTRI		Activation	CollecTRI:10506207;CollecTRI2:10506207	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	GADD45GIP1	CollecTRI		Activation	CollecTRI:19801644	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	HP	CollecTRI		Activation	CollecTRI:17905856	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	IL1B	CollecTRI		Activation	CollecTRI:18044710	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	KLK3	CollecTRI		Activation	CollecTRI:10506207	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	KRT4	CollecTRI		Repression	DoRothEA:10773884;TRRUST:10773884;CollecTRI:10773884;CollecTRI2:10773884	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	KRT8	CollecTRI		Activation	CollecTRI:9234700;CollecTRI2:10891534	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	LYZ	CollecTRI		Activation	CollecTRI2:17905856;CollecTRI:17905856	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	MED23	CollecTRI		Activation	CollecTRI:12708845	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	MMP13	CollecTRI		Activation	CollecTRI:22158614;CollecTRI2:34250664;CollecTRI2:27310669;CollecTRI2:22158614;CollecTRI2:23417678;CollecTRI2:29691435	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	MMP9	CollecTRI		Repression	CollecTRI2:18302674;TRRUST:18302674;CollecTRI:18302674;DoRothEA:18302674	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	NOS2	CollecTRI		Activation	CollecTRI2:32185234;CollecTRI2:35607962;CollecTRI2:11036073;CollecTRI:11036073;CollecTRI2:20689519;CollecTRI2:29691435	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	NOTCH3	CollecTRI		Activation	CollecTRI:26977885;CollecTRI2:26977885	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	POU5F1	CollecTRI		Repression	CollecTRI:24971534;CollecTRI2:24971534;DoRothEA:24971534	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	PRR9	CollecTRI		Activation	CollecTRI:22307044;CollecTRI2:22307044;CollecTRI2:22327739;CollecTRI:22327739	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	PTGS2	CollecTRI		Activation	CollecTRI2:15794755;CollecTRI2:35607962;CollecTRI:15794755;TRRUST:15794755;CollecTRI2:29691435;DoRothEA:15794755;CollecTRI2:27313839	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	SPMAP2	CollecTRI		Activation	CollecTRI:11509675	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	SPRR1A	CollecTRI		Activation	DoRothEA:9733767;CollecTRI2:9733767;TRRUST:9733767;CollecTRI:9733767	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	SPRR1B	CollecTRI		Activation	CollecTRI2:12682075;CollecTRI2:27667567;CollecTRI:12682075;TRRUST:12682075;DoRothEA:12682075	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	SPRR2A	CollecTRI		Activation	DoRothEA:10773884;CollecTRI2:9234700;CollecTRI2:10506207;TRRUST:10773884;CollecTRI:9234700;CollecTRI2:10891534;CollecTRI2:10773884;CollecTRI2:12624109;CollecTRI:10773884	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	SPRR3	CollecTRI		Activation	DoRothEA:9889002;CollecTRI:9889002;CollecTRI2:9889002;TRRUST:9889002	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
ELF3	TGFB1	CollecTRI		Activation	CollecTRI2:10644990;CollecTRI:10644990	CollecTRI via OmniPath; curated TF-target, not a lung ChIP peak
