cohort	gene	metric	immune	n	rho	p	primary	source	malignant_def	note
GSE207422	TACSTD2	malig_mean_log1p_cp10k	frac_tnk	12	-0.4895104895104896	0.10625237175934595	True	A3_GIVEN	DRMref Malignant cells (taken as given)	User A3 slide taken as given. Table check ρ=-0.489510 p=0.106252 n=12.
GSE207422	TACSTD2	malig_pct_pos	frac_tnk	12	-0.6433566433566434	0.024003191200713647	False	A3_GIVEN_secondary	DRMref Malignant cells (taken as given)	Secondary %pos on the same given 12-patient table.
GSE207422	CLDN4	malig_mean_log1p_cp10k	frac_tnk	12	-0.09090909090909093	0.7787253962454419	True	A3_table_CLDN4_not_on_slide	DRMref Malignant cells (same given table)	CLDN4 was not on the A3 TACSTD2 slide; computed from the given 12-patient table.
GSE205335	TACSTD2	mal_TACSTD2_mean	frac_tnk	22	0.2840203274985884	0.20019815279526967	True	processed_GEO_author_malignant	author lineage.sub == Malignant cells	n=22 patients with captured malignant cells; mixed histology/sites; RECIST not required.
GSE205335	TACSTD2	mal_TACSTD2_pct_pos	frac_tnk	22	0.20835686053077357	0.3521105235596147	False	processed_GEO_author_malignant	author lineage.sub == Malignant cells	n=22 patients with captured malignant cells; mixed histology/sites; RECIST not required.
GSE205335	CLDN4	mal_CLDN4_mean	frac_tnk	22	-0.20045172219085267	0.3710825718233011	True	processed_GEO_author_malignant	author lineage.sub == Malignant cells	n=22 patients with captured malignant cells; mixed histology/sites; RECIST not required.
GSE205335	CLDN4	mal_CLDN4_pct_pos	frac_tnk	22	-0.43534726143421804	0.042861326301676765	False	processed_GEO_author_malignant	author lineage.sub == Malignant cells	n=22 patients with captured malignant cells; mixed histology/sites; RECIST not required.
GSE205335_NSCLC	TACSTD2	mal_TACSTD2_mean	frac_tnk	17	-0.11274509803921569	0.6665920499637249	False	processed_GEO_author_malignant	author malignant; ADC+SQ only	Sensitivity: drop SCLC/NUT.
GSE205335_NSCLC	CLDN4	mal_CLDN4_mean	frac_tnk	17	-0.022058823529411766	0.9330304490530753	False	processed_GEO_author_malignant	author malignant; ADC+SQ only	Sensitivity: drop SCLC/NUT.
GSE241934_IIT	TACSTD2	TACSTD2_log1p_cp10k	frac_tnk	11	-0.07272727272727274	0.831716405381337	True	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-mutant NEOTIDE IIT residual tumors; author Epi vs T+NK; all 11 patients eligible.
GSE241934_IIT	TACSTD2	TACSTD2_pct_pos	frac_tnk	11	-0.13636363636363638	0.6893090205863619	False	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-mutant NEOTIDE IIT residual tumors; author Epi vs T+NK; all 11 patients eligible.
GSE241934_IIT	CLDN4	CLDN4_log1p_cp10k	frac_tnk	11	-0.06363636363636364	0.8525390725425217	True	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-mutant NEOTIDE IIT residual tumors; author Epi vs T+NK; all 11 patients eligible.
GSE241934_IIT	CLDN4	CLDN4_pct_pos	frac_tnk	11	0.05454545454545456	0.8734465775233149	False	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-mutant NEOTIDE IIT residual tumors; author Epi vs T+NK; all 11 patients eligible.
GSE241934_Real	TACSTD2	TACSTD2_log1p_cp10k	frac_tnk	24	-0.16695652173913042	0.4355381053206146	True	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-WT real-world residual tumors; author Epi vs T+NK; ≥20 Epi and ≥20 T/NK.
GSE241934_Real	TACSTD2	TACSTD2_pct_pos	frac_tnk	24	-0.12307023556862542	0.5667003854361812	False	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-WT real-world residual tumors; author Epi vs T+NK; ≥20 Epi and ≥20 T/NK.
GSE241934_Real	CLDN4	CLDN4_log1p_cp10k	frac_tnk	24	0.1782608695652174	0.404629262071875	True	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-WT real-world residual tumors; author Epi vs T+NK; ≥20 Epi and ≥20 T/NK.
GSE241934_Real	CLDN4	CLDN4_pct_pos	frac_tnk	24	-0.033913043478260865	0.8749966229566862	False	processed_GEO_author_Epi	author major.cell.type == Epi (residual epithelium; no CNV call)	EGFR-WT real-world residual tumors; author Epi vs T+NK; ≥20 Epi and ≥20 T/NK.
GSE291670	TACSTD2	mal_TACSTD2_mean_log1p_cp10k	frac_tnk	6	-0.5428571428571429	0.26570262390670546	True	processed_GEO_marker_malignant	marker-score malignant (n=6 post anlotinib+PD-1)	n=6 (3 MPR / 3 NMPR). Lineage T/NK fraction.
GSE291670	TACSTD2	mal_TACSTD2_pct_pos	frac_tnk	6	-0.4285714285714286	0.3965014577259473	False	processed_GEO_marker_malignant	marker-score malignant (n=6 post anlotinib+PD-1)	n=6 (3 MPR / 3 NMPR). Lineage T/NK fraction.
GSE291670	CLDN4	mal_CLDN4_mean_log1p_cp10k	frac_tnk	6	-0.8285714285714287	0.04156268221574335	True	processed_GEO_marker_malignant	marker-score malignant (n=6 post anlotinib+PD-1)	n=6 (3 MPR / 3 NMPR). Lineage T/NK fraction.
GSE291670	CLDN4	mal_CLDN4_pct_pos	frac_tnk	6	-0.8857142857142858	0.01884548104956266	False	processed_GEO_marker_malignant	marker-score malignant (n=6 post anlotinib+PD-1)	n=6 (3 MPR / 3 NMPR). Lineage T/NK fraction.
GSE253013	TACSTD2	TACSTD2_mean_log1p	frac_tnk	9	-0.7166666666666667	0.02981803569584528	True	processed_GEO_malig_like	epithelial AND not normal-lung marker program (treatment-naive LUAD tumors)	9 tumor patients; no ICI labels.
GSE253013	TACSTD2	TACSTD2_pct_pos	frac_tnk	9	-0.8333333333333333	0.005265691029161747	False	processed_GEO_malig_like	epithelial AND not normal-lung marker program (treatment-naive LUAD tumors)	9 tumor patients; no ICI labels.
GSE253013	CLDN4	CLDN4_mean_log1p	frac_tnk	9	-0.33333333333333337	0.38071318167686347	True	processed_GEO_malig_like	epithelial AND not normal-lung marker program (treatment-naive LUAD tumors)	9 tumor patients; no ICI labels.
GSE253013	CLDN4	CLDN4_pct_pos	frac_tnk	9	-0.5333333333333333	0.13922686754397814	False	processed_GEO_malig_like	epithelial AND not normal-lung marker program (treatment-naive LUAD tumors)	9 tumor patients; no ICI labels.
GSE131907_tumor_sites	TACSTD2	epi_TACSTD2_mean	frac_tnk	36	0.16847931047179202	0.325979079499522	True	processed_GEO_author_annotation	author Epithelial cells at tumor sites (tLung/tL-B/mLN/PE/mBrain)	Tumor sites only. Author 'Malignant cells' subtype is mostly mets/PE; tLung n_mal=0 so epithelium is the usable score.
GSE131907_tumor_sites	TACSTD2	epi_TACSTD2_pct	frac_tnk	36	-0.008623463561199439	0.9601896359312355	False	processed_GEO_author_annotation	author Epithelial cells at tumor sites (tLung/tL-B/mLN/PE/mBrain)	Tumor sites only. Author 'Malignant cells' subtype is mostly mets/PE; tLung n_mal=0 so epithelium is the usable score.
GSE131907_tumor_sites	CLDN4	epi_CLDN4_mean	frac_tnk	36	-0.2102960102960103	0.21829713378991505	True	processed_GEO_author_annotation	author Epithelial cells at tumor sites (tLung/tL-B/mLN/PE/mBrain)	Tumor sites only. Author 'Malignant cells' subtype is mostly mets/PE; tLung n_mal=0 so epithelium is the usable score.
GSE131907_tumor_sites	CLDN4	epi_CLDN4_pct	frac_tnk	36	-0.364993564993565	0.028610578513248885	False	processed_GEO_author_annotation	author Epithelial cells at tumor sites (tLung/tL-B/mLN/PE/mBrain)	Tumor sites only. Author 'Malignant cells' subtype is mostly mets/PE; tLung n_mal=0 so epithelium is the usable score.
GSE131907_malignant_subtype	TACSTD2	mal_TACSTD2_mean	frac_tnk	21	0.08181818181818182	0.7244098408074375	False	processed_GEO_author_malignant_subtype	author Cell_subtype == Malignant cells	Sensitivity; mostly metastases / PE, not primary tLung.
GSE131907_malignant_subtype	CLDN4	mal_CLDN4_mean	frac_tnk	21	-0.39610389610389607	0.07547637795047248	False	processed_GEO_author_malignant_subtype	author Cell_subtype == Malignant cells	Sensitivity; mostly metastases / PE, not primary tLung.
GSE325414	TACSTD2	malignant_TACSTD2_mean	frac_tnk	25	-0.07307692307692308	0.7284839479101775	True	leftover_2026_author_labels	author malignant labels; PEF ablation treat-and-resect (not ICI)	2026 leftover lung tumor scRNA. Donor-level (n=25).
GSE325414	CLDN4	malignant_CLDN4_mean	frac_tnk	25	-0.11923076923076922	0.5702629145851892	True	leftover_2026_author_labels	author malignant labels; PEF ablation treat-and-resect (not ICI)	2026 leftover lung tumor scRNA. Donor-level (n=25).
GSE146100	TACSTD2	NA	NA	1			False	skip	cluster epithelial (1 patient, 3 nodules)	n=1 patient. Not usable for a patient-level Spearman (n>1 required).
GSE243013	both	NA	NA	0			False	skip	immune-cell-only atlas	Deposited matrix is immune cells, not malignant/epithelial. No T/NK-vs-malignant score.
EGA/dbGaP raw (GSE205335 raw EGAD00001008703; GSE207422 HRA001033)	both	NA	NA	0			False	skip	NA	Controlled raw skipped by policy. Processed GEO used instead.
