list	definition	genes
UP_in_KO_consensus	same-direction UP (log2FC>+0.25, max FPKM>=1) or UP+FLAT; both lines not opposite	IFIT5,HERC5,PSMB10
DOWN_in_KO_consensus	same-direction DOWN (log2FC<-0.25, max FPKM>=1) or DOWN+FLAT; both lines not opposite	IFIT1,ISG15,OAS1,OAS3,USP18,IFI6,IFI35,IFI44,BST2,IFITM1,IFITM3,STAT2,IRF1,IFNAR1,SOCS3,ERAP1,PSME1,PSME2,GBP2
DISCORDANT	one line UP and the other DOWN	IFITM2,DDX58,IFIH1,JAK2,HLA-C
FLAT	|log2FC|<=0.25 in both lines or no qualifying UP/DOWN	IFI44L,EIF2AK2,PLSCR1,STAT1,JAK1,IFNAR2,IFNGR1,CALR,CANX,PDIA3,SEC61A1
ABSENT_from_deposit	symbol and Entrez missing from GSE207704_CLDN4_RNAseq.txt	IFI27,OAS2,MX1,HLA-A,IFIT2,IFIT3,MX2,OASL,RSAD2,IFI16,DDX60,XAF1,LY6E,CMPK2,EPSTI1,SAMD9L,TRIM22,ZBP1,IRF7,IRF9,IFNGR2,SOCS1,HLA-B,HLA-E,HLA-F,HLA-G,B2M,NLRC5,TAP1,TAP2,TAPBP,PSMB8,PSMB9,ERAP2,GBP1,GBP4,GBP5,CXCL9,CXCL10,CXCL11,CIITA,IDO1,IFNG,IFNB1
LOW_expression	max FPKM < 1 in the line(s) that would otherwise be called	.
