symbol	group	entrez	mapping	n_loci	MCF7_WT	MCF7_KO	T47D_WT	T47D_KO	log2FC_MCF7	log2FC_T47D	log2FC_mean	dir_MCF7	dir_T47D	consensus	note
CLDN4	QC	1364	symbol	2	85.85	50.85	42.51	20.44	-0.7499	-1.0385	-0.8942	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
TACSTD2	QC	4070	symbol	1	59.92	29.54	59.61	38.52	-1.0081	-0.6233	-0.8157	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFI27	priority_ifn_mhci	3429	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
OAS2	priority_ifn_mhci	4939	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IFIT1	priority_ifn_mhci	3434	symbol	1	1.423	0.403	1.034	1.003	-1.0909	-0.0299	-0.5604	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
MX1	priority_ifn_mhci	4599	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
ISG15	priority_ifn_mhci	9636	symbol	1	40.05	43.11	50.63	13.15	0.1050	-1.9056	-0.9003	FLAT	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
HLA-A	priority_ifn_mhci	3105	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IFIT2	ifn_type1	3433	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IFIT3	ifn_type1	3437	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IFIT5	ifn_type1	24138	symbol	2	2.856	4.582	7.683	7.192	0.5987	-0.0893	0.2547	UP	FLAT	UP	descriptive only; collapsed FPKM, no gene-level FDR
MX2	ifn_type1	4600	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
OAS1	ifn_type1	4938	symbol	1	0.8394	0.1367	1.961	1.109	-1.0729	-0.6125	-0.8427	LOW	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
OAS3	ifn_type1	4940	symbol	2	4.511	2.964	7.199	2.991	-0.5327	-1.1410	-0.8369	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
OASL	ifn_type1	8638	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
RSAD2	ifn_type1	91543	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
USP18	ifn_type1	11274	symbol	1	7.991	5.967	15.54	12.11	-0.3927	-0.3478	-0.3703	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFI6	ifn_type1	2537	symbol	1	32.51	23.36	78.86	30.57	-0.4681	-1.3530	-0.9106	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFI35	ifn_type1	3430	symbol	1	0.462	0.5071	2.844	0.424	0.0661	-1.8555	-0.8947	LOW	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFI44	ifn_type1	10561	symbol	1	1.109	0.2296	6.459	0.5268	-1.1405	-2.7608	-1.9506	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFI44L	ifn_type1	10964	symbol	1	0.7218	0.1516	1.259	1.576	-0.9069	0.2387	-0.3341	LOW	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
IFI16	ifn_type1	3428	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
BST2	ifn_type1	684	symbol	1	0.6283	0.1801	8.224	0.2238	-0.7304	-3.5914	-2.1609	LOW	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFITM1	ifn_type1	8519	symbol	1	1.21	0.7727	9.448	10.78	-0.4262	0.1816	-0.1223	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFITM2	ifn_type1	10581	symbol	1	35.72	16.79	51.45	81.2	-1.0669	0.6531	-0.2069	DOWN	UP	DISCORDANT	descriptive only; collapsed FPKM, no gene-level FDR
IFITM3	ifn_type1	10410	symbol	1	47.08	20.6	75.09	83.03	-1.1731	0.1439	-0.5146	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
DDX58	ifn_type1	23586	symbol	1	4.228	5.492	10.1	8.334	0.3420	-0.2633	0.0393	UP	DOWN	DISCORDANT	descriptive only; collapsed FPKM, no gene-level FDR
IFIH1	ifn_type1	64135	symbol	1	0.207	1.04	3.834	2.781	1.1228	-0.4018	0.3605	UP	DOWN	DISCORDANT	descriptive only; collapsed FPKM, no gene-level FDR
DDX60	ifn_type1	55601	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
HERC5	ifn_type1	51191	symbol	1	4.162	17.19	3.771	8.704	1.9244	1.1078	1.5161	UP	UP	UP	descriptive only; collapsed FPKM, no gene-level FDR
XAF1	ifn_type1	54739	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
EIF2AK2	ifn_type1	5610	symbol	1	9.067	8.645	11.26	12.86	-0.0650	0.1844	0.0597	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
LY6E	ifn_type1	4061	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
CMPK2	ifn_type1	129607	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
EPSTI1	ifn_type1	94240	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
SAMD9L	ifn_type1	219285	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
TRIM22	ifn_type1	10346	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
ZBP1	ifn_type1	81030	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
PLSCR1	ifn_type1	5359	symbol	1	8.723	9.021	10.06	11.47	0.0458	0.1808	0.1133	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
STAT1	ifn_signaling	6772	symbol	1	34.98	33.69	24.15	26	-0.0532	0.1041	0.0255	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
STAT2	ifn_signaling	6773	symbol	1	8.835	7.182	6.726	6.804	-0.2811	0.0155	-0.1328	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IRF1	ifn_signaling	3659	symbol	1	2.745	2.416	4.012	2.741	-0.1541	-0.4775	-0.3158	FLAT	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IRF7	ifn_signaling	3665	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IRF9	ifn_signaling	10379	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
JAK1	ifn_signaling	3716	symbol	1	37.41	43.12	32.95	34.1	0.2024	0.0486	0.1255	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
JAK2	ifn_signaling	3717	symbol	2	1.206	2.772	12.15	6.217	0.9395	-0.9129	0.0133	UP	DOWN	DISCORDANT	descriptive only; collapsed FPKM, no gene-level FDR
IFNAR1	ifn_signaling	3454	symbol	1	10.32	6.932	18.31	19.61	-0.5415	0.0963	-0.2226	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
IFNAR2	ifn_signaling	3455	symbol	1	2.615	2.41	4.224	3.905	-0.0981	-0.1008	-0.0995	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
IFNGR1	ifn_signaling	3459	symbol	1	19.73	18.69	22.67	22.57	-0.0762	-0.0064	-0.0413	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
IFNGR2	ifn_signaling	3460	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
SOCS1	ifn_signaling	8651	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
SOCS3	ifn_signaling	9021	symbol	1	6.038	2.528	0.5459	0.5698	-1.1103	0.0326	-0.5389	DOWN	LOW	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
HLA-B	mhc1_apm	3106	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
HLA-C	mhc1_apm	3107	symbol	1	3.1	8.283	10.85	7.533	1.2868	-0.4989	0.3939	UP	DOWN	DISCORDANT	descriptive only; collapsed FPKM, no gene-level FDR
HLA-E	mhc1_apm	3133	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
HLA-F	mhc1_apm	3134	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
HLA-G	mhc1_apm	3135	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
B2M	mhc1_apm	567	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
NLRC5	mhc1_apm	84166	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
TAP1	mhc1_apm	6890	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
TAP2	mhc1_apm	6891	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
TAPBP	mhc1_apm	6892	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
PSMB8	mhc1_apm	5696	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
PSMB9	mhc1_apm	5698	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
PSMB10	mhc1_apm	5699	symbol	1	12.77	16.5	22.83	22.15	0.3574	-0.0427	0.1573	UP	FLAT	UP	descriptive only; collapsed FPKM, no gene-level FDR
ERAP1	mhc1_apm	51752	symbol	2	8.011	4.633	15.04	11.39	-0.7293	-0.3863	-0.5578	DOWN	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
ERAP2	mhc1_apm	64167	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
CALR	mhc1_apm	811	symbol	1	400.5	368.7	331	287.1	-0.1194	-0.2051	-0.1623	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
CANX	mhc1_apm	821	symbol	1	315.6	305.4	467.1	521.4	-0.0477	0.1587	0.0555	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
PDIA3	mhc1_apm	2923	symbol	1	64.37	55.87	57.74	58.88	-0.2028	0.0278	-0.0875	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
SEC61A1	mhc1_apm	29927	symbol	1	97.15	96.33	53.01	58.52	-0.0121	0.1415	0.0647	FLAT	FLAT	FLAT	descriptive only; collapsed FPKM, no gene-level FDR
PSME1	mhc1_apm	5720	symbol	1	169.3	126.9	164.6	139.9	-0.4147	-0.2339	-0.3243	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
PSME2	mhc1_apm	5721	symbol	2	109.7	101.1	108.3	84.63	-0.1174	-0.3542	-0.2358	FLAT	DOWN	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
GBP1	ifn_type2	2633	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
GBP2	ifn_type2	2634	symbol	1	7.38	4.045	4.312	3.611	-0.7938	-0.2271	-0.5105	DOWN	FLAT	DOWN	descriptive only; collapsed FPKM, no gene-level FDR
GBP4	ifn_type2	115361	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
GBP5	ifn_type2	115362	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
CXCL9	ifn_type2	4283	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
CXCL10	ifn_type2	3627	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
CXCL11	ifn_type2	6373	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
CIITA	ifn_type2	4261	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IDO1	ifn_type2	3620	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IFNG	ifn_type2	3458	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
IFNB1	ifn_type2	3456	absent	0								ABSENT	ABSENT	ABSENT	not in deposited cufflinks table (annotation gap, not a measured zero)
