group	n_panel	n_measured	n_absent	n_up	n_down	n_discordant	n_flat	n_low	up_genes	down_genes	discordant_genes	absent_genes
QC	2	2	0	0	2	0	0	0	.	CLDN4,TACSTD2	.	.
priority_ifn_mhci	6	2	4	0	2	0	0	0	.	IFIT1,ISG15	.	IFI27,OAS2,MX1,HLA-A
ifn_type1	31	17	14	2	9	3	3	0	IFIT5,HERC5	OAS1,OAS3,USP18,IFI6,IFI35,IFI44,BST2,IFITM1,IFITM3	IFITM2,DDX58,IFIH1	IFIT2,IFIT3,MX2,OASL,RSAD2,IFI16,DDX60,XAF1,LY6E,CMPK2,EPSTI1,SAMD9L,TRIM22,ZBP1
ifn_signaling	13	9	4	0	4	1	4	0	.	STAT2,IRF1,IFNAR1,SOCS3	JAK2	IRF7,IRF9,IFNGR2,SOCS1
mhc1_apm	21	9	12	1	3	1	4	0	PSMB10	ERAP1,PSME1,PSME2	HLA-C	HLA-B,HLA-E,HLA-F,HLA-G,B2M,NLRC5,TAP1,TAP2,TAPBP,PSMB8,PSMB9,ERAP2
ifn_type2	11	1	10	0	1	0	0	0	.	GBP2	.	GBP1,GBP4,GBP5,CXCL9,CXCL10,CXCL11,CIITA,IDO1,IFNG,IFNB1
