sample	patient	fov	method	gene
Lung5_Rep1	Lung5	1	hs_program	AATK
Lung5_Rep1	Lung5	1	hs_program	ADGRA3
Lung5_Rep1	Lung5	1	hs_program	ADGRF1
Lung5_Rep1	Lung5	1	hs_program	ADIRF
Lung5_Rep1	Lung5	1	hs_program	AGR2
Lung5_Rep1	Lung5	1	hs_program	ANXA2
Lung5_Rep1	Lung5	1	hs_program	ANXA4
Lung5_Rep1	Lung5	1	hs_program	APP
Lung5_Rep1	Lung5	1	hs_program	ARF1
Lung5_Rep1	Lung5	1	hs_program	B3GNT7
Lung5_Rep1	Lung5	1	hs_program	BCL2L1
Lung5_Rep1	Lung5	1	hs_program	BMP7
Lung5_Rep1	Lung5	1	hs_program	C9orf16
Lung5_Rep1	Lung5	1	hs_program	CALM2
Lung5_Rep1	Lung5	1	hs_program	CASR
Lung5_Rep1	Lung5	1	hs_program	CCND1
Lung5_Rep1	Lung5	1	hs_program	CD24
Lung5_Rep1	Lung5	1	hs_program	CD55
Lung5_Rep1	Lung5	1	hs_program	CD9
Lung5_Rep1	Lung5	1	hs_program	CDH1
Lung5_Rep1	Lung5	1	hs_program	CEACAM6
Lung5_Rep1	Lung5	1	hs_program	CLDN4
Lung5_Rep1	Lung5	1	hs_program	COL17A1
Lung5_Rep1	Lung5	1	hs_program	CRIP1
Lung5_Rep1	Lung5	1	hs_program	CTNNB1
Lung5_Rep1	Lung5	1	hs_program	CXCL1
Lung5_Rep1	Lung5	1	hs_program	CXCL16
Lung5_Rep1	Lung5	1	hs_program	CXCL3
Lung5_Rep1	Lung5	1	hs_program	CXCL5
Lung5_Rep1	Lung5	1	hs_program	CYSTM1
Lung5_Rep1	Lung5	1	hs_program	DDR1
Lung5_Rep1	Lung5	1	hs_program	EFNA1
Lung5_Rep1	Lung5	1	hs_program	EPCAM
Lung5_Rep1	Lung5	1	hs_program	EPHA2
Lung5_Rep1	Lung5	1	hs_program	ERBB2
Lung5_Rep1	Lung5	1	hs_program	ERBB3
Lung5_Rep1	Lung5	1	hs_program	EZR
Lung5_Rep1	Lung5	1	hs_program	GDF15
Lung5_Rep1	Lung5	1	hs_program	GSN
Lung5_Rep1	Lung5	1	hs_program	GSTP1
Lung5_Rep1	Lung5	1	hs_program	HSP90AB1
Lung5_Rep1	Lung5	1	hs_program	HSPB1
Lung5_Rep1	Lung5	1	hs_program	IER3
Lung5_Rep1	Lung5	1	hs_program	IL18
Lung5_Rep1	Lung5	1	hs_program	IL1RN
Lung5_Rep1	Lung5	1	hs_program	IL22RA1
Lung5_Rep1	Lung5	1	hs_program	ITGA3
Lung5_Rep1	Lung5	1	hs_program	ITGAV
Lung5_Rep1	Lung5	1	hs_program	ITGB1
Lung5_Rep1	Lung5	1	hs_program	ITGB4
Lung5_Rep1	Lung5	1	hs_program	ITGB6
Lung5_Rep1	Lung5	1	hs_program	ITGB8
Lung5_Rep1	Lung5	1	hs_program	KRT14
Lung5_Rep1	Lung5	1	hs_program	KRT17
Lung5_Rep1	Lung5	1	hs_program	KRT18
Lung5_Rep1	Lung5	1	hs_program	KRT19
Lung5_Rep1	Lung5	1	hs_program	KRT23
