endpoint	patient	n_fov	mean_rho	patient_mean_of_means	perm_p_less
cldn4_50	Lung5	89	-0.15173668670942805	-0.06536345856626011	0.005
cldn4_50	Lung6	23	0.02234615528534255	-0.06536345856626011	0.005
cldn4_50	Lung9	65	-0.042223985542510514	-0.06536345856626011	0.005
cldn4_50	Lung12	28	-0.12121100196187502	-0.06536345856626011	0.005
cldn4_50	Lung13	20	-0.033991773902829536	-0.06536345856626011	0.005
hs_fine_50	Lung5	80	-0.45800417274790667	-0.24799998726046182	0.005
hs_fine_50	Lung6	20	0.029048616108001114	-0.24799998726046182	0.005
hs_fine_50	Lung9	64	-0.18389029478508662	-0.24799998726046182	0.005
hs_fine_50	Lung12	25	-0.38573590183754425	-0.24799998726046182	0.005
hs_fine_50	Lung13	20	-0.24141818303977272	-0.24799998726046182	0.005
keratin_50	Lung5	89	-0.25868347989123897	-0.1101787718113808	0.005
keratin_50	Lung6	23	-0.026762603247124747	-0.1101787718113808	0.005
keratin_50	Lung9	65	-0.06303337584627358	-0.1101787718113808	0.005
keratin_50	Lung12	28	-0.1883681509797613	-0.1101787718113808	0.005
keratin_50	Lung13	20	-0.014046249092505389	-0.1101787718113808	0.005
resid_50	Lung5	89	-0.03777304404552909	-0.016599117166884527	0.005
resid_50	Lung6	23	0.03532750355431575	-0.016599117166884527	0.005
resid_50	Lung9	65	-0.027956723194386184	-0.016599117166884527	0.005
resid_50	Lung12	28	-0.02582720536801126	-0.016599117166884527	0.005
resid_50	Lung13	20	-0.02676611678081185	-0.016599117166884527	0.005
adhesion_50	Lung5	89	-0.23647594004334904	-0.099718752041387	0.005
adhesion_50	Lung6	23	-0.03549339640039228	-0.099718752041387	0.005
adhesion_50	Lung9	65	-0.05708285711281235	-0.099718752041387	0.005
adhesion_50	Lung12	28	-0.1405983405088397	-0.099718752041387	0.005
adhesion_50	Lung13	20	-0.028943226141541618	-0.099718752041387	0.005
adhesion_wo_50	Lung5	89	-0.2300402420097407	-0.09078924739982162	0.005
adhesion_wo_50	Lung6	23	-0.05018430114430353	-0.09078924739982162	0.005
adhesion_wo_50	Lung9	65	-0.045113069935866716	-0.09078924739982162	0.005
adhesion_wo_50	Lung12	28	-0.11775249556148978	-0.09078924739982162	0.005
adhesion_wo_50	Lung13	20	-0.01085612834770736	-0.09078924739982162	0.005
hs_program_50	Lung5	74	-0.509248235671018	-0.2539510852235335	0.005
hs_program_50	Lung6	13	0.06073607339672033	-0.2539510852235335	0.005
hs_program_50	Lung9	61	-0.16951436783620882	-0.2539510852235335	0.005
hs_program_50	Lung12	24	-0.3992986067248485	-0.2539510852235335	0.005
hs_program_50	Lung13	20	-0.2524302892823123	-0.2539510852235335	0.005
hmrf_fine_50	Lung5	43	-0.4022783680443215		
hmrf_fine_50	Lung6	0			
hmrf_fine_50	Lung9	42	-0.03389826714610137		
hmrf_fine_50	Lung12	5	-0.3792987660588335		
hmrf_fine_50	Lung13	19	-0.03713568056115957		
hmrf_program_50	Lung5	40	-0.4120618326464306		
hmrf_program_50	Lung6	0			
hmrf_program_50	Lung9	33	-0.0313365053182749		
hmrf_program_50	Lung12	5	-0.3792987660588335		
hmrf_program_50	Lung13	19	-0.03713568056115957		
cldn4_100	Lung5	89	-0.12389079151546725	-0.04061361884439539	0.005
cldn4_100	Lung6	23	0.030387610706033935	-0.04061361884439539	0.005
cldn4_100	Lung9	65	-0.03221063974315859	-0.04061361884439539	0.005
cldn4_100	Lung12	28	-0.09750242402673817	-0.04061361884439539	0.005
cldn4_100	Lung13	20	0.02014815035735309	-0.04061361884439539	0.005
