sample	patient	fov	n_qc	n_epi	n_cd8	in_module_universe	in_spatial_universe	cldn4_ac_z	cldn4_ac_fdr	n_sig_genes	median_nn_um	rho_samecell_cldn4_cd8tx	delta_cd8_domain	domain_epi_purity	domain_max_frac	hs_fine_sign_agrees	hs_program_sign_agrees	rho_cldn4_50	rho_hs_fine_50	rho_keratin_50	rho_resid_50	rho_adhesion_50	rho_adhesion_wo_50	rho_hs_program_50	rho_hmrf_fine_50	rho_hmrf_program_50	rho_cldn4_100
Lung5_Rep1	Lung5	1	2328	548	82	True	True	28.25989930778785	4.693878161372657e-174	365	9.0161854461851	0.0397439547641025	-0.0377880184331797	1.0	0.3737113402061855	1.0	1.0	-0.2672616575514315	-0.3531043129412995	-0.1950950787337644	-0.2057109419216149	-0.2608818002432631	-0.2338123276444936	-0.3531043129412995	-0.3034331548781124		0.0194198330572349
Lung5_Rep1	Lung5	2	3717	1159	179	True	True	23.83161497620289	6.180554776107293e-125	595	7.928177596396286	0.0377305134194003	-0.0602490743857287	1.0	0.4724239978477266	1.0	1.0	-0.2479356214008062	-0.7245956448551917	-0.6284341808767243	-0.0254528585399541	-0.508923475192378	-0.511405100039519	-0.7380126057497518	-0.6767075987664427	-0.6767075987664427	-0.2262372397291926
Lung5_Rep1	Lung5	3	2904	1774	91	True	True	25.284981980772653	2.464829633644639e-140	613	8.452336954949205	0.0369162397810248	-0.0501930501930501	1.0	0.3756887052341597	1.0	1.0	-0.1917255325380197	-0.5390413224893673	-0.3075694573854131	-0.0813464190490663	-0.2766830249307968	-0.2571739652604559	-0.5614585563359951	-0.4123237772892367	-0.4123237772892367	-0.2607703748544047
Lung5_Rep1	Lung5	4	3578	1491	173	True	True	34.791104682598764	2.24142249317726e-264	623	8.203338643581748	0.0286716434346113	-0.0625	1.0	0.2361654555617663	1.0	1.0	-0.2872767734963019	-0.6256551202304542	-0.3975656132484609	-0.1404840091151755	-0.3945288468438991	-0.3696359735926396	-0.6664931699091396	-0.5159800336354718	-0.5159800336354718	-0.2762300475364705
Lung5_Rep1	Lung5	5	3515	1480	150	True	True	38.40430076662413	0.0	608	8.2975900115636	0.0038607008650947	-0.0564334085778781	1.0	0.4105263157894737	1.0	1.0	-0.2464841387470694	-0.7328707972349869	-0.5383042245881208	-0.053767296228901	-0.3923901202651352	-0.3857884265475524	-0.7358540652596631	-0.6143155866477824	-0.6143155866477824	-0.2685282840449079
Lung5_Rep1	Lung5	6	5248	833	418	True	True	19.32092067138295	1.5082296329133784e-82	560	7.421590126111789	0.0054175883433459	-0.0822510822510822	1.0	0.580983231707317	1.0	1.0	-0.3151198573110578	-0.6877967224710132	-0.5378716917583037	-0.044960275297646	-0.4676749781981941	-0.4382984455827596	-0.7145927148553821			-0.293332049186729
Lung5_Rep1	Lung5	7	3678	2055	126	True	True	33.805501702195635	7.144324571614042e-250	625	8.162756826913153	0.058353938158517	-0.063508064516129	1.0	0.4605764002175095	1.0	1.0	-0.0964706994536038	-0.3741744456459033	-0.24334661483426	-0.0155184032766624	-0.2073401498425242	-0.2260734952911092	-0.5539704750253267	-0.2635989988129309	-0.2635989988129309	-0.1063172184245126
Lung5_Rep1	Lung5	8	3089	2337	61	True	True	33.64979726525417	1.9074144442594752e-247	571	8.145870119269027	0.0030661017103133	-0.0546594982078853	1.0	0.6387180317254775	1.0	1.0	-0.1186775209178117	-0.4294695340623277	-0.1786899855800314	-0.0673841751426187	-0.192367517566377	-0.1938545464197564	-0.5207493829683285	-0.254678349595592	-0.254678349595592	-0.1024904834323215
Lung5_Rep1	Lung5	9	3235	821	173	True	True	7.745807089290623	2.3378858812992622e-14	495	8.613710002083886	0.0260104082196229	-0.0527259684361549	0.9115853658536586	0.2850077279752704	1.0	1.0	-0.02633361460159	-0.2495168188977172	-0.1267593031326113	0.0303017265359522	-0.1103609842799445	-0.1406062261465755	-0.3042201381335984			-0.0128000899682905
Lung5_Rep1	Lung5	10	3131	1371	131	True	True	28.604587308324582	4.0985235649603153e-179	614	8.551420934558186	0.0381680655147928	-0.0561990561990562	1.0	0.3797508783136378	1.0	1.0	-0.2279061235127299	-0.562890286499441	-0.3835587901782727	-0.0887606923074987	-0.3578729288608072	-0.3460600977235718	-0.5813871628719274	-0.4628028366182159	-0.4628028366182159	-0.2711938210360702
Lung5_Rep1	Lung5	11	3934	1231	222	True	True	48.483052406007424	0.0	603	7.969956020399373	0.02027655053563	-0.0691373403924011	0.9986168741355465	0.3182511438739197	1.0	1.0	-0.233668785112877	-0.6097546995828385	-0.4925579090547305	-0.0399812621201651	-0.4224102729474466	-0.420923980520274	-0.6466842605707522	-0.537112240651576	-0.537112240651576	-0.2214943762498399
Lung5_Rep1	Lung5	12	3644	1585	137	True	True	30.34316910572869	1.9027102518519503e-201	606	8.1	0.0245334833734717	-0.0532659409020217	1.0	0.2941822173435784	1.0	1.0	-0.1749243900012985	-0.5829296612861756	-0.3803115783240818	-0.0218861640990304	-0.3391899302764225	-0.336106219618131	-0.5894774552243447	-0.4638218396959956	-0.4638218396959956	-0.1620364476334933
Lung5_Rep1	Lung5	13	2841	1111	143	True	True	37.04155315701791	6.205280327954458e-299	544	9.346143589737965	0.0485549422325048	-0.0594594594594594	1.0	0.3217177050334389	1.0	1.0	-0.1741760842973986	-0.4983008515929178	-0.2896612012115973	-0.0612630134846982	-0.2523416010852138	-0.2603692481278526	-0.4792346680256127	-0.3773737623735344	-0.3773737623735344	-0.0960372809668973
Lung5_Rep1	Lung5	14	2580	711	143	True	True	3.778076746584461	0.0004214511432261	313	9.554423021892934	0.045912740097884	-0.0535554319778304	0.9273743016759776	0.4174418604651163	1.0	1.0	-0.01242005806301	-0.3581876832235843	-0.0443017081721902	0.0202448900119324	-0.0672418815542074	-0.0776711568370173	-0.3045309294180352			-0.0362293721025703
Lung5_Rep1	Lung5	15	2340	728	96	True	True	23.652726034264955	1.0622302889659164e-122	453	9.761577741328498	0.0664576942733438	-0.0448807854137447	1.0	0.32008547008547	1.0	1.0	-0.2403728181762848	-0.5398541984588773	-0.387233820295174	-0.0722955991826875	-0.2618920885731311	-0.2367827054154459	-0.5304501257598551	-0.4542107668187047	-0.4542107668187047	-0.3242139270644749
Lung5_Rep1	Lung5	16	3833	1050	177	True	True	29.028755974231125	1.5052899238971025e-184	569	8.161764515103336	0.0422014911866734	-0.0554337613529596	0.9859375	0.4067310200887034	1.0	1.0	-0.1344067301431838	-0.6337688603101551	-0.45163776599237	0.0573392569091691	-0.3430614550963459	-0.3731387175601346	-0.6807168343572797	-0.5658894254097042	-0.5658894254097042	-0.116314226240881
Lung5_Rep1	Lung5	17	2814	1233	52	True	True	26.663305405073466	8.029831947951986e-156	514	8.379187612677669	0.0615007987439427	-0.025935162094763	0.9950556242274412	0.3095238095238095	1.0	1.0	-0.0733261468754224	-0.3642237409483223	-0.2546680360349853	0.0635370837084085	-0.2106771839490842	-0.2207071694550412	-0.4297490801287907	-0.2846119060700979	-0.2846119060700979	-0.0547609559406951
Lung5_Rep1	Lung5	18	1704	455	58	True	True	4.997935394706436	1.8921597160969072e-06	348	9.335737785520756	0.0176316385720381	-0.037108125399872	0.8936170212765957	0.3280516431924882	1.0		0.0350345702099509	-0.2054077019192113	-0.0643037045659807	0.0557596836726221	0.0183555448693785	0.0124794289433765				0.0472915109417807
Lung5_Rep1	Lung5	19	2924	856	138	True	True	17.127993808117424	1.1591352961350791e-64	379	9.125130136058337	0.0305884790930455	-0.0494801003944066	1.0	0.3960328317373461	1.0	1.0	-0.1786209391026771	-0.2650015872931646	-0.1256425271116859	-0.1332089306372181	-0.1550776551839411	-0.1340113437578447	-0.2451878983476835			-0.1283792141486152
Lung5_Rep1	Lung5	20	3058	582	263	True	True	7.524063672582329	1.1691625300691916e-13	509	9.321845310881317	0.0320863221607205	-0.0919902063658621	0.9346733668341708	0.3413996075866579	1.0	1.0	-0.1049975543403197	-0.4009178500859275	-0.1971895675551997	-0.015636922907124	-0.1436710066601335	-0.1305780549308036	-0.3949404313852114			-0.1453693266488515
Lung5_Rep1	Lung5	21	2883	187	128	True	True	1.0159880526872822	0.2673108568772037	400	8.669948096730453	0.0221914621469336	-0.0197445760221281	0.2527173913043478	0.3919528269164065			-0.1334515336132461		-0.2210763828660813	0.0127694202717413	-0.1652536219084819	-0.1660887299384641				-0.064146922656506
Lung5_Rep1	Lung5	22	2521	405	64	True	True	21.87013193284812	1.4121225423219796e-104	370	9.0	0.0635888832816378	-0.0272108843537414	1.0	0.4716382387941293	1.0	1.0	-0.0943408723271094	-0.1756106715879262	-0.1586580047692549	-0.0206793774261812	-0.0844558461781116	-0.06662536222544	-0.1752786456809808	-0.1538838905019174	-0.1538838905019174	-0.0769923136933636
Lung5_Rep1	Lung5	23	2905	238	201	True	True	2.1706202686776583	0.0374029669427088	400	8.73139164165713	0.0639197512832884	0.0098553345388788	0.0428571428571428	0.2963855421686747	1.0		-0.149706164698949	-0.2347471521183065	-0.0027517045666333	-0.1186275453081926	-0.0338420423745434	-0.0003291381157625				-0.0804292122745283
