spec	patient_mean_rho	n_patients_neg	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
program_smooth25|tertile|count_50	-0.16483818905969808	5	225	-0.33253607193212126	-0.04968944044730867	-0.13998881655794707	-0.2604158586814673	-0.04156075767964601
program_smooth25|all|count_50	-0.16193655422660358	5	225	-0.3251251645676296	-0.049592922437274596	-0.14259800841952952	-0.2574087149808702	-0.03495796072771391
program_smooth25|tertile|count_30	-0.15703989720248218	5	225	-0.2975688162219873	-0.05524516366524718	-0.11578728639311602	-0.23328778017600324	-0.08331043955605713
program_smooth25|all|count_30	-0.154259016117118	5	225	-0.29040884554648155	-0.0555743033315993	-0.11747352619633514	-0.2330028015598999	-0.07483560395127414
program_smooth25_highlow|all|count_50	-0.1418046630027545	5	225	-0.2841563450588512	-0.04015508511309932	-0.1253218725081937	-0.2352609209515327	-0.024129091382095465
adhesion_smooth25|all|count_50	-0.14025196682299718	5	225	-0.3078045478138527	-0.05202765641951286	-0.10682204611300629	-0.20616763128005272	-0.028437952488561284
adhesion_smooth25|all|count_30	-0.13525748509287844	5	225	-0.2793545086078035	-0.056394773790361084	-0.09103509832440757	-0.1798279665545122	-0.0696750781873079
program_smooth25_highlow|all|count_30	-0.13411215499121149	5	225	-0.24821477282254717	-0.043514366246493776	-0.10373359246587273	-0.21376070302177588	-0.06133734039936785
program|tertile|count_50	-0.13320904185588553	5	225	-0.2806141239434239	-0.03648356563340731	-0.08597487501808043	-0.2196465562711423	-0.04332608841337375
program|tertile|count_30	-0.13020702316589175	5	225	-0.25785838913282144	-0.03954237962517199	-0.07543543031768858	-0.1983137202293126	-0.07988519652446416
program|all|count_50	-0.12861698687655898	5	225	-0.2727355433453567	-0.036055584785841345	-0.0837086890722169	-0.21735747821491896	-0.033227638964461056
program_smooth25|tertile|count_20	-0.1279184145317918	5	225	-0.24095068957980975	-0.04735234402431474	-0.08510553530996244	-0.1879505894199917	-0.07823291432488028
program|all|count_30	-0.1251961419492686	5	225	-0.25021739560466144	-0.03945116317522724	-0.07222625686237283	-0.19852530684080769	-0.06556058726327375
program_smooth25|all|count_20	-0.12506430502513372	5	225	-0.23529534914925176	-0.04765870690630253	-0.08573468305829231	-0.18893882910333426	-0.0676939569084877
bin_program|epi50|count_60	-0.11378392542165802	5	189	-0.21730588609496904	-0.05984206664728449	-0.13036968352451916	-0.129012877376674	-0.03238911346484358
bin_program|epi50|count_40	-0.1130512076495688	5	145	-0.17338690041213395	-0.07519740433335673	-0.10510638772844481	-0.16533530137969837	-0.046230044394210024
adhesion_smooth25|all|count_20	-0.11196031532669501	5	225	-0.22715318037738544	-0.052354408473894644	-0.06893124310973792	-0.14751410678693394	-0.06384863788552313
program|tertile|count_20	-0.11160731984568258	5	225	-0.2170963312537462	-0.036961565918313434	-0.05724777581193402	-0.16581471805550355	-0.08091620818891562
keratin|all|count_50	-0.11034457099184232	5	225	-0.2586864565924537	-0.02680459720813189	-0.06319229622145092	-0.18905926903984743	-0.013980235897327626
cldn4_smooth25|tertile|count_30	-0.10998861461168849	4	225	-0.22835923877683262	0.010546208345381116	-0.07548065357640917	-0.16187186503791517	-0.09477752401266669
cldn4_smooth25|tertile|count_50	-0.1097082265138172	4	225	-0.2422576299015959	0.03586209092397595	-0.08816468774096937	-0.18286786411970057	-0.07111304173079604
program|all|count_20	-0.10813823227272412	5	225	-0.21200508578301452	-0.03635783388798251	-0.055590336705943176	-0.16727529042109837	-0.06946261456558196
program_smooth25_highlow|all|count_20	-0.1069662127775118	5	225	-0.19895149663896936	-0.0371744986609396	-0.07566885051085032	-0.1712510550381213	-0.05178516303867846
cldn4_smooth25|all|count_50	-0.1063243545357578	4	225	-0.23067825162637337	0.03581683258106456	-0.08696938585804584	-0.18186049560761197	-0.06793047216782236
cldn4_smooth25|all|count_30	-0.10543714577969769	4	225	-0.21809875461025302	0.01039272509152923	-0.07473288065111473	-0.16076316205950136	-0.08398365666914856
keratin|all|count_30	-0.10500192476221619	5	225	-0.23538219415549425	-0.022390501913438846	-0.05217860750486597	-0.17426097517767888	-0.04079734505960298
cldn4_smooth25|tertile|count_20	-0.09311516191014069	5	225	-0.18569899499769807	-0.0016207811371566159	-0.054774193441243735	-0.13548394563833835	-0.08799789433626669
cldn4_smooth25_highlow|all|count_50	-0.09237209740496782	4	225	-0.19599628786875636	0.026880473031812412	-0.07212665432650642	-0.16414941806295152	-0.05646859979843719
