spec	geneset	smooth	score	subset	radius_um	patient_mean_rho	n_patients_neg	n_samples_neg	n_samples	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
keratin|hs60|pc1|quartile|count50	keratin	hs60	pc1	quartile	50	-0.23443253397813663	5	8	8	225	-0.4529314795785624	-0.17023717550601367	-0.17268646819462513	-0.3386758192427733	-0.03763172736870848
keratin|hs60|pc1|quartile|count75	keratin	hs60	pc1	quartile	75	-0.23380361613289352	4	7	8	225	-0.46014944855708106	-0.18298288538426274	-0.2013832656715293	-0.330566148767267	0.006063667715672514
keratin|hs30|pc1|quartile|count50	keratin	hs30	pc1	quartile	50	-0.23068501834293803	5	8	8	225	-0.45010765903855154	-0.1681127376688485	-0.16601058404621985	-0.3295539524342628	-0.039640158526807655
program_ceacam|hs60|mean|quartile|count50	program_ceacam	hs60	mean	quartile	50	-0.227648033696476	5	8	8	225	-0.4530251261378961	-0.05676663775831212	-0.20121387046853226	-0.3606343143237937	-0.06660021979384585
keratin|ball60|pc1|quartile|count75	keratin	ball60	pc1	quartile	75	-0.2270712519460519	4	7	8	225	-0.4371012849221197	-0.17227340884098122	-0.20579345073204844	-0.3306030230288782	0.010414907793767999
program_ceacam|hs60|pc1|quartile|count50	program_ceacam	hs60	pc1	quartile	50	-0.22682566877902727	4	7	8	225	-0.48295822185530546	0.028348709592967206	-0.19716778717762834	-0.3570659643588448	-0.12528508009632508
keratin|ball60|pc1|quartile|count50	keratin	ball60	pc1	quartile	50	-0.22588693204195276	5	8	8	225	-0.4334848868491584	-0.1644608502273368	-0.17112989032151724	-0.3273419610421193	-0.033017071769631874
keratin|hs30|pc1|quartile|count75	keratin	hs30	pc1	quartile	75	-0.22544306758415006	4	7	8	225	-0.4509240281339303	-0.17944071213255294	-0.1880729626200293	-0.31595494098411125	0.007177305949873406
program_ceacam|hs30|pc1|quartile|count50	program_ceacam	hs30	pc1	quartile	50	-0.22408821581102517	4	7	8	225	-0.4809197646343628	0.019910162588034665	-0.1926731957493962	-0.34780762877618443	-0.11895065248321698
program_ceacam|hs60|pc1|quartile|count75	program_ceacam	hs60	pc1	quartile	75	-0.2228960814526011	4	7	8	225	-0.4995160155318918	0.05004135628152571	-0.20829785433075337	-0.3496705627205654	-0.10703733096132054
keratin|hs60|pc1|quartile|count100	keratin	hs60	pc1	quartile	100	-0.2218556581827039	4	7	8	225	-0.4482417279759775	-0.18387025724352973	-0.211847537935862	-0.309696053873407	0.04437728611525673
program_ceacam|hs30|mean|quartile|count50	program_ceacam	hs30	mean	quartile	50	-0.22069099852768423	5	8	8	225	-0.43936702177607767	-0.05229080285954265	-0.19118563545901543	-0.35064884727397294	-0.06996268526981245
keratin|hs60|pc1|quartile|count40	keratin	hs60	pc1	quartile	40	-0.22062625074017342	5	8	8	225	-0.4225484501584033	-0.15365001246044627	-0.15346886777954327	-0.32203059706513476	-0.05143332623733952
keratin|hs30|pc1|quartile|count40	keratin	hs30	pc1	quartile	40	-0.22021830020076885	5	8	8	225	-0.4223391146394277	-0.15355682409982918	-0.14805174245077246	-0.318388867035356	-0.058754952778458956
program_ceacam|hs60|mean|quartile|count40	program_ceacam	hs60	mean	quartile	40	-0.21993861482414193	5	8	8	225	-0.4286866252789066	-0.059370819094796655	-0.1797660660725498	-0.3465011814765507	-0.08536838219790592
