gene	group	on_960_panel
CLDN1	classical_tj_query	False
CLDN3	classical_tj_query	False
CLDN4	classical_tj_query	True
CLDN5	classical_tj_query	False
CLDN7	classical_tj_query	False
CLDN18	classical_tj_query	False
OCLN	classical_tj_query	False
TJP1	classical_tj_query	False
TJP2	classical_tj_query	False
TJP3	classical_tj_query	False
F11R	classical_tj_query	False
CGN	classical_tj_query	False
MARVELD2	classical_tj_query	False
MARVELD3	classical_tj_query	False
CRB3	classical_tj_query	False
PARD3	classical_tj_query	False
JAM2	classical_tj_query	False
JAM3	classical_tj_query	False
CDH1	adhesion	True
EPCAM	adhesion	True
TACSTD2	adhesion	True
KRT7	keratin	True
KRT8	keratin	True
KRT18	keratin	True
KRT19	keratin	True
ESAM	endothelial_junction	True
CDH5	endothelial_junction	True
