sample	patient	fov	rho	ratio_high_over_low_tertile	n_index	n_epi	n_cd8
Lung5_Rep1	Lung5	1	-0.21325613066542887	0.5714285714285715	276	549	82
Lung5_Rep1	Lung5	2	-0.7817301720307924	0.0	582	1161	179
Lung5_Rep1	Lung5	3	-0.589198550100566	0.11977401129943503	888	1774	91
Lung5_Rep1	Lung5	4	-0.584518501160149	0.16992046276211134	746	1492	173
Lung5_Rep1	Lung5	5	-0.7844392305780776	0.002380952380952381	742	1482	150
Lung5_Rep1	Lung5	6	-0.8353197338173932	0.1683673469387755	418	833	418
Lung5_Rep1	Lung5	7	-0.5657018413082902	0.10911136107986501	1028	2055	126
Lung5_Rep1	Lung5	8	-0.5304495553924604	0.17963224893917962	1170	2337	61
Lung5_Rep1	Lung5	9	-0.31023153594305986	0.8801652892561983	412	822	173
Lung5_Rep1	Lung5	10	-0.5920103633485556	0.14676390154968094	686	1369	131
Lung5_Rep1	Lung5	11	-0.7068451202557215	0.0932982917214192	616	1231	222
Lung5_Rep1	Lung5	12	-0.7248097479664133	0.11697449428320142	794	1586	137
Lung5_Rep1	Lung5	13	-0.3685817313790215	0.3011204481792717	556	1111	143
Lung5_Rep1	Lung5	14	-0.2388492708893917	0.5299999999999999	356	711	143
Lung5_Rep1	Lung5	15	-0.6407871175751088	0.19746835443037974	364	727	97
Lung5_Rep1	Lung5	16	-0.7194353873041234	0.12857142857142856	526	1049	177
Lung5_Rep1	Lung5	17	-0.5391041898480483	0.13196480938416424	618	1233	52
Lung5_Rep1	Lung5	18	-0.07613665214691792	0.5729166666666667	228	455	58
Lung5_Rep1	Lung5	19	-0.3348072014369786	0.697029702970297	428	856	138
Lung5_Rep1	Lung5	20	-0.6044597200265122	0.42017879948914433	292	582	263
Lung5_Rep1	Lung5	21	-0.24346618053855867	0.5742574257425742	94	187	128
Lung5_Rep1	Lung5	22	-0.04397219606010449	0.7821782178217822	204	406	64
Lung5_Rep1	Lung5	23	0.33263578895809803	2.6528925619834713	120	238	201
Lung5_Rep1	Lung5	24	0.25986832743899785	0.8716216216216216	130	258	142
Lung5_Rep1	Lung5	25	-0.46456612577323814	0.6052249637155298	146	290	314
Lung5_Rep1	Lung5	26	-0.6188228627931449	0.24338624338624337	626	1249	132
Lung5_Rep1	Lung5	27	-0.6367259602141371	0.12878133102852204	1136	2272	90
Lung5_Rep1	Lung5	28	-0.641784880084174	0.16504854368932037	742	1482	150
Lung5_Rep1	Lung5	29	-0.3144433972434513	0.25	442	884	69
Lung5_Rep1	Lung5	30	0.36832636153037296	1.3762376237623761	170	339	385
Lung5_Rep2	Lung5	1	-0.6882850957401528	0.21568627450980393	280	557	129
Lung5_Rep2	Lung5	2	-0.7595574337891073	0.03394706559263521	738	1474	238
