spec	predictor	subset	outcome	patient_mean_rho	n_patients_neg	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
keratin|quartile_extremes|count_50	keratin	quartile_extremes	count_50	-0.11580764926172107	5	225	-0.2692819390227316	-0.027254110633591032	-0.0612261504519412	-0.19045642900842755	-0.030819617191914
keratin|tertile_extremes|count_50	keratin	tertile_extremes	count_50	-0.11444084260290197	5	225	-0.26781187715470645	-0.027319721522939745	-0.06291970908752789	-0.19238737355094687	-0.021765531698388796
keratin|near_cd8_80|count_50	keratin	near_cd8_80	count_50	-0.11213450505916622	5	225	-0.24275725810018864	-0.06098173137318725	-0.05226307127117205	-0.17556745717344063	-0.029103007377842483
keratin|all|count_50	keratin	all	count_50	-0.11034457099184232	5	225	-0.2586864565924537	-0.02680459720813189	-0.06319229622145092	-0.18905926903984743	-0.013980235897327626
keratin|quartile_extremes|count_30	keratin	quartile_extremes	count_30	-0.11023854371940342	5	225	-0.2439805366655843	-0.02301845575480532	-0.05221468460763127	-0.17179164079850076	-0.06018740077049549
adhesion|near_cd8_80|count_30	adhesion	near_cd8_80	count_30	-0.10860565384684087	5	225	-0.2145600188805767	-0.08427853625963848	-0.053979813110322905	-0.11496247420796755	-0.07524742677569873
keratin|near_cd8_80|count_30	keratin	near_cd8_80	count_30	-0.10842024149394955	5	225	-0.2255443144990345	-0.050309162016421986	-0.04803773579230933	-0.16534475641166743	-0.052865238750314424
keratin|tertile_extremes|count_30	keratin	tertile_extremes	count_30	-0.10782234081108619	5	225	-0.24297524305335588	-0.022426793691344114	-0.05269482478950444	-0.17450280724338993	-0.04651203527783663
keratin|quartile_extremes|count_75	keratin	quartile_extremes	count_75	-0.10586738415788899	5	225	-0.25759247172393407	-0.02091531428426913	-0.06401250859993063	-0.17329120453104743	-0.01352542165026368
keratin|all|count_30	keratin	all	count_30	-0.10500192476221619	5	225	-0.23538219415549425	-0.022390501913438846	-0.05217860750486597	-0.17426097517767888	-0.04079734505960298
keratin|tertile_extremes|count_75	keratin	tertile_extremes	count_75	-0.10454901898076197	5	225	-0.25625736669234167	-0.021113977736362505	-0.06679425064628623	-0.1730010018008257	-0.005578498027993711
adhesion|quartile_extremes|count_30	adhesion	quartile_extremes	count_30	-0.10451890892425131	5	225	-0.22480453849559598	-0.04297327230375014	-0.056731357921029395	-0.1201632991272349	-0.07792207677364607
adhesion|quartile_extremes|count_50	adhesion	quartile_extremes	count_50	-0.10448407271195397	5	225	-0.2423185598805149	-0.0362471463155271	-0.06282329628758128	-0.13615860773161934	-0.044872753344527186
adhesion|tertile_extremes|count_30	adhesion	tertile_extremes	count_30	-0.10365506976272472	5	225	-0.2262403495563467	-0.04230257809436336	-0.05511119442193362	-0.12407458816629587	-0.07054663857468402
adhesion|near_cd8_80|count_50	adhesion	near_cd8_80	count_50	-0.10330054369788413	5	225	-0.22493132124065734	-0.05877217943656	-0.05713074163395329	-0.12282213048179733	-0.05284634569645259
adhesion|tertile_extremes|count_50	adhesion	tertile_extremes	count_50	-0.10319155681275753	5	225	-0.2426557100204496	-0.03558571454083201	-0.06043220531950114	-0.13977140531967328	-0.03751274886333166
keratin|quartile_extremes|frac_30	keratin	quartile_extremes	frac_30	-0.10126053179866068	5	225	-0.231943209345373	-0.023334825885450213	-0.05025728299870712	-0.14956680401881553	-0.05120053674495748
keratin|quartile_extremes|frac_50	keratin	quartile_extremes	frac_50	-0.10106446179291959	5	225	-0.2595347529953657	-0.030158078487431524	-0.05568949301613728	-0.1378042871497976	-0.022135697315865822
keratin|all|count_75	keratin	all	count_75	-0.10027716503818906	4	225	-0.24772053206298458	-0.02025772029314845	-0.06827433132206895	-0.16844240598703006	0.003309164474286774
keratin|tertile_extremes|frac_50	keratin	tertile_extremes	frac_50	-0.10014705854465791	5	225	-0.25816228077040926	-0.030236963957255343	-0.05801085903782101	-0.1399015683213055	-0.014423620636498474
adhesion|all|count_50	adhesion	all	count_50	-0.09956639085108232	5	225	-0.2365307828193423	-0.035274024205045426	-0.056890554072707156	-0.1403270030282807	-0.028809590130036034
adhesion|near_cd8_80|frac_30	adhesion	near_cd8_80	frac_30	-0.0993521523784339	5	225	-0.19917110686562947	-0.08343907997322915	-0.0509008747837362	-0.09521465586196894	-0.06803504440760576
adhesion|all|count_30	adhesion	all	count_30	-0.09918454505806248	5	225	-0.22060799513040663	-0.04227156581365601	-0.0507844714714528	-0.1252362559316384	-0.05702243694315863
keratin|tertile_extremes|frac_30	keratin	tertile_extremes	frac_30	-0.09901749616873265	5	225	-0.2311796161679639	-0.022741550256282602	-0.05094740327077277	-0.15209735001611288	-0.038121561132531
keratin|near_cd8_80|count_75	keratin	near_cd8_80	count_75	-0.09810747038828722	5	225	-0.23167710421792784	-0.04463528575242403	-0.0486107080431257	-0.15215191671752873	-0.01346233721042987
adhesion|near_cd8_80|count_20	adhesion	near_cd8_80	count_20	-0.0977306637988468	5	225	-0.18553634193425272	-0.08392368873320427	-0.04552890080750317	-0.09891786496661373	-0.07474652255266014
keratin|near_cd8_80|frac_30	keratin	near_cd8_80	frac_30	-0.09722642138070198	5	225	-0.20926161398458878	-0.051588202910151815	-0.04473857917181402	-0.13646783859723385	-0.044075872239721356
adhesion|quartile_extremes|frac_30	adhesion	quartile_extremes	frac_30	-0.09709200704179924	5	225	-0.21239028609849936	-0.04273589739754962	-0.05470252350393334	-0.10474588685257682	-0.07088544135643707
keratin|all|frac_30	keratin	all	frac_30	-0.09657543672097382	5	225	-0.2240468963113084	-0.02270540220878044	-0.05075121384938153	-0.1514040034474057	-0.03396966778799303
keratin|all|frac_50	keratin	all	frac_50	-0.09640405379236598	5	225	-0.2491236529446382	-0.029715054717192612	-0.0585422477006409	-0.13627305952228025	-0.008366254077077957
adhesion|tertile_extremes|frac_30	adhesion	tertile_extremes	frac_30	-0.09629051638611472	5	225	-0.21397169847507694	-0.04206130726727974	-0.0530791762874475	-0.10826033576135949	-0.06408006413940992
adhesion|quartile_extremes|frac_50	adhesion	quartile_extremes	frac_50	-0.09578471611965426	5	225	-0.23499501091899272	-0.036322916960895145	-0.05908829139239163	-0.10156924370457854	-0.04694811762141335
adhesion|tertile_extremes|frac_50	adhesion	tertile_extremes	frac_50	-0.09442475292141547	5	225	-0.2356554285254484	-0.03568423178250151	-0.056662508584509004	-0.10425629160682472	-0.03986530410779374
keratin|quartile_extremes|count_100	keratin	quartile_extremes	count_100	-0.09433000183021598	4	225	-0.24233503449177976	-0.01575042181606258	-0.0623066560356853	-0.1542194988439243	0.0029616020363720627
adhesion|near_cd8_80|frac_20	adhesion	near_cd8_80	frac_20	-0.09389491334931642	5	225	-0.17881743530236138	-0.08334801515106846	-0.04400224288342149	-0.09207260300592754	-0.07123427040380322
adhesion|near_cd8_80|frac_50	adhesion	near_cd8_80	frac_50	-0.09338576091623454	5	225	-0.21484615518379813	-0.06818690311672562	-0.05236659319292196	-0.0760702029862165	-0.05545895010151046
keratin|near_cd8_80|count_20	keratin	near_cd8_80	count_20	-0.09326510604915636	5	225	-0.19814527127580434	-0.03821519587870618	-0.035061331282000244	-0.13882319706951154	-0.056080534739759456
keratin|near_cd8_80|frac_50	keratin	near_cd8_80	frac_50	-0.09314264022566084	5	225	-0.22739502638726214	-0.07269464853783653	-0.040517595161070716	-0.10461711060433845	-0.020488820437796325
keratin|tertile_extremes|count_100	keratin	tertile_extremes	count_100	-0.09272280761954001	4	225	-0.2411569910566436	-0.01602411457009866	-0.0638330455912429	-0.15242811290077457	0.009828226021059714
keratin|quartile_extremes|frac_75	keratin	quartile_extremes	frac_75	-0.09265100525522751	5	225	-0.2543009325798235	-0.025429405627417488	-0.057244564361518036	-0.10826457521568643	-0.01801554849169214
adhesion|all|frac_30	adhesion	all	frac_30	-0.09201917876737298	5	225	-0.20866564816648528	-0.04203130593380762	-0.048815273046199904	-0.1092720782254466	-0.05131158846492544
keratin|tertile_extremes|frac_75	keratin	tertile_extremes	frac_75	-0.09169804310143355	5	225	-0.2533473908365571	-0.025667635961890672	-0.060482815125959107	-0.10847768899442158	-0.010514684588339237
adhesion|quartile_extremes|count_20	adhesion	quartile_extremes	count_20	-0.09111443585902565	5	225	-0.18719060007929197	-0.04064704317807586	-0.043848561039791824	-0.09967126161269521	-0.08421471338527345
keratin|quartile_extremes|count_20	keratin	quartile_extremes	count_20	-0.09105726346520822	5	225	-0.2044784674396729	-0.01569716690179154	-0.03793790077838104	-0.13936040396470867	-0.05781237824148692
adhesion|all|frac_50	adhesion	all	frac_50	-0.09091245238216841	5	225	-0.22978102961682248	-0.03536365729646401	-0.05329800089612186	-0.10453260665234286	-0.03158696744909085
keratin|tertile_extremes|count_20	keratin	tertile_extremes	count_20	-0.09058893522252734	5	225	-0.20486275080780184	-0.015606227783507103	-0.03774335798842189	-0.14250711879313807	-0.052225220739767764
adhesion|tertile_extremes|count_20	adhesion	tertile_extremes	count_20	-0.08991966799001545	5	225	-0.1891877080158084	-0.04077976713452285	-0.043858185520625835	-0.10342927593453967	-0.0723434033445805
keratin|all|count_100	keratin	all	count_100	-0.08942957120051616	4	225	-0.23289522513289154	-0.015399857576205272	-0.06690004082785618	-0.14690542864557657	0.014952696179948757
adhesion|quartile_extremes|count_75	adhesion	quartile_extremes	count_75	-0.08942765317293921	4	225	-0.22932533197517752	-0.030397720659257194	-0.06261679675712888	-0.1255959113161022	0.0007974948429697846
keratin|near_cd8_80|frac_20	keratin	near_cd8_80	frac_20	-0.08891041920320344	5	225	-0.19061932921114633	-0.03780275415776601	-0.03409073235881011	-0.130284661060865	-0.05175461922742974
keratin|near_cd8_80|count_100	keratin	near_cd8_80	count_100	-0.08881932710391667	4	225	-0.2170433431923388	-0.052085260154817715	-0.049223081846653104	-0.12683465715540682	0.0010897068296331094
keratin|all|count_20	keratin	all	count_20	-0.0886451235460421	5	225	-0.19978326092344637	-0.015038551668534959	-0.03774045886226721	-0.14371654561196073	-0.046946800664001274
adhesion|quartile_extremes|frac_20	adhesion	quartile_extremes	frac_20	-0.08801893635582969	5	225	-0.18193430330278607	-0.04043569823001268	-0.0429948554414931	-0.09408292273698314	-0.08064690206787342
adhesion|tertile_extremes|count_75	adhesion	tertile_extremes	count_75	-0.08797629405486038	4	225	-0.2294840930049575	-0.029821063431738057	-0.060322118882556085	-0.12621589572500838	0.005961700769958042
keratin|all|frac_75	keratin	all	frac_75	-0.08758511969025404	5	225	-0.24469213121938566	-0.02481952658880896	-0.06198172521894605	-0.10429608557022943	-0.002136129853900122
keratin|quartile_extremes|frac_20	keratin	quartile_extremes	frac_20	-0.08753831271685011	5	225	-0.19884530040120799	-0.015659251533462377	-0.03725982163339234	-0.1326264481296837	-0.05330074188650415
keratin|tertile_extremes|frac_20	keratin	tertile_extremes	frac_20	-0.08711327771613762	5	225	-0.19923769055184992	-0.015568069495607694	-0.03707299821348109	-0.13562375867125348	-0.048063871648495946
adhesion|tertile_extremes|frac_20	adhesion	tertile_extremes	frac_20	-0.08682878726426976	5	225	-0.18389685980323925	-0.040569915396021006	-0.04289299051214611	-0.09774962262205776	-0.06903454798788468
adhesion|all|count_20	adhesion	all	count_20	-0.08681984123915067	5	225	-0.18613999171554402	-0.04039737109025996	-0.04138901803201563	-0.10501930917916039	-0.061153516178773334
adhesion|near_cd8_80|count_15	adhesion	near_cd8_80	count_15	-0.08678683902264839	5	224	-0.15889309122218076	-0.08170033105684273	-0.03548152612447031	-0.08348817241864652	-0.07437107429110165
keratin|quartile_extremes|frac_100	keratin	quartile_extremes	frac_100	-0.0862861591251566	5	225	-0.24909189552833055	-0.01976202540946389	-0.056719037686497	-0.09386138951978273	-0.01199644748170882
adhesion|near_cd8_80|frac_15	adhesion	near_cd8_80	frac_15	-0.08539166061069968	5	224	-0.1564743561344423	-0.08160264924534029	-0.03489763992730534	-0.08083533233726634	-0.07314832540914411
keratin|all|frac_20	keratin	all	frac_20	-0.0853742625942148	5	225	-0.19433383205802365	-0.015000338927068885	-0.03727039619922147	-0.13673393673858109	-0.04353280904817887
adhesion|all|count_75	adhesion	all	count_75	-0.084995991345442	4	225	-0.22402748745684736	-0.029457867886095033	-0.05593450173822736	-0.125046591287909	0.009486491641868745
adhesion|near_cd8_80|count_75	adhesion	near_cd8_80	count_75	-0.08498942840483545	5	225	-0.20969222948866043	-0.04502718499064217	-0.053589856992388246	-0.10240989965608426	-0.014227970896402103
keratin|tertile_extremes|frac_100	keratin	tertile_extremes	frac_100	-0.08497473834430963	5	225	-0.24833552464776507	-0.020045875067619713	-0.05862225228601945	-0.09287885160817891	-0.004991188111965003
adhesion|all|frac_20	adhesion	all	frac_20	-0.08384267645238272	5	225	-0.1809276416281934	-0.04018858197004346	-0.0404319387948225	-0.0993053438461032	-0.05835987602275104
keratin|near_cd8_80|count_15	keratin	near_cd8_80	count_15	-0.08362807835549432	5	224	-0.16618593770373413	-0.050895944852157114	-0.02757642159895716	-0.11668412372269399	-0.056797963899929235
adhesion|quartile_extremes|frac_75	adhesion	quartile_extremes	frac_75	-0.08360758109715727	5	225	-0.22709590635637286	-0.032272506517153625	-0.05995148007099969	-0.0827739952088702	-0.01594401733238996
keratin|edge_tertile|count_50	keratin	edge_tertile	count_50	-0.08311899674428949	5	225	-0.21318862461101784	-0.009817763778130104	-0.049640567149832664	-0.13841497026148492	-0.004533057920981973
adhesion|near_cd8_80|frac_75	adhesion	near_cd8_80	frac_75	-0.08218781603739111	5	225	-0.20782549220359545	-0.07452521563623782	-0.05000852237021941	-0.04361641198193424	-0.03496343799496868
adhesion|tertile_extremes|frac_75	adhesion	tertile_extremes	frac_75	-0.08210670882935735	5	225	-0.22787924264273893	-0.03170076562649042	-0.05763017046902044	-0.08259712828935704	-0.010726237119179942
keratin|near_cd8_80|frac_15	keratin	near_cd8_80	frac_15	-0.08209658737146588	5	224	-0.16318170942419463	-0.05115662381431014	-0.027121015861713584	-0.11403298414289523	-0.0549906036142158
keratin|near_cd8_80|frac_75	keratin	near_cd8_80	frac_75	-0.08177346718968274	5	225	-0.22693612292932303	-0.07370199349368971	-0.028574164246339566	-0.061833540502511344	-0.017821514776550074
keratin|all|frac_100	keratin	all	frac_100	-0.08166391037274649	5	225	-0.2398494961496274	-0.019447683082747403	-0.061577884950215524	-0.08737986848178356	-6.46191993586546e-05
keratin|edge_tertile|count_30	keratin	edge_tertile	count_30	-0.08109449193786786	5	225	-0.1955415641194202	-0.012460583041797651	-0.03868057751937769	-0.12377165740002725	-0.03501807760871645
