gene	n_fov	median_lc_z	q25_lc_z	q75_lc_z	n_fov_hmrf	median_hmrf_corr	n_eligible_hotspot_program	n_comember_hotspot_program	frac_comember_hotspot_program	n_eligible_hotspot_fine	n_comember_hotspot_fine	frac_comember_hotspot_fine	n_eligible_hmrf_program	n_comember_hmrf_program	frac_comember_hmrf_program	n_eligible_hmrf_fine	n_comember_hmrf_fine	frac_comember_hmrf_fine
KRT19	232	11.137022018432617	6.170408248901367	16.967876434326172	232	0.345913290977478	193	154	0.7979274611398963	214	76	0.35514018691588783	97	72	0.7422680412371134	109	76	0.6972477064220184
EPCAM	232	10.813922882080078	4.553295135498047	18.408496856689453	232	0.3927130103111267	187	141	0.7540106951871658	205	85	0.4146341463414634	97	93	0.9587628865979382	109	100	0.9174311926605505
TACSTD2	232	10.812724113464355	6.4351887702941895	15.757320404052734	232	0.27339446544647217	190	159	0.8368421052631579	209	107	0.5119617224880383	97	46	0.4742268041237113	109	48	0.44036697247706424
KRT8	232	10.164624214172363	4.498869895935059	17.1973876953125	232	0.3416402339935303	193	139	0.7202072538860104	212	63	0.2971698113207547	97	88	0.9072164948453608	109	94	0.8623853211009175
EZR	232	9.794498443603516	4.182044506072998	13.49733829498291	140	0.3947286307811737	185	152	0.8216216216216217	203	97	0.47783251231527096	65	48	0.7384615384615385	77	54	0.7012987012987013
KRT7	232	9.345460891723633	4.5128631591796875	14.314064979553223	232	0.3231746554374695	194	147	0.7577319587628866	214	86	0.40186915887850466	97	66	0.6804123711340206	109	70	0.6422018348623854
GSTP1	232	8.478995323181152	3.4572854042053223	15.213190078735352	202	0.3346158266067505	193	136	0.7046632124352331	213	53	0.24882629107981222	90	76	0.8444444444444444	102	79	0.7745098039215687
S100A6	232	7.843438148498535	3.4740254878997803	14.83439826965332	196	0.3183993995189667	190	140	0.7368421052631579	211	57	0.27014218009478674	77	54	0.7012987012987013	88	56	0.6363636363636364
DDR1	232	7.698164939880371	2.9990134239196777	15.645050048828125	139	0.4550269842147827	183	132	0.7213114754098361	195	65	0.3333333333333333	88	82	0.9318181818181818	92	83	0.9021739130434783
ITGB8	231	7.604269027709961	3.209989070892334	11.390666961669922	95	0.24765220284461975	174	129	0.7413793103448276	190	85	0.4473684210526316	28	1	0.03571428571428571	37	1	0.02702702702702703
CEACAM6	232	7.001891613006592	-0.09756749868392944	15.931262016296387	232	0.13312004506587982	143	115	0.8041958041958042	158	53	0.33544303797468356	97	46	0.4742268041237113	109	49	0.44954128440366975
TM4SF1	232	6.941484451293945	3.2490427494049072	13.77437973022461	158	0.25521475076675415	183	134	0.73224043715847	204	47	0.23039215686274508	52	46	0.8846153846153846	57	46	0.8070175438596491
MIF	232	6.732145309448242	1.5808271169662476	12.26953411102295	163	0.3479439616203308	182	121	0.6648351648351648	196	52	0.2653061224489796	80	61	0.7625	89	64	0.7191011235955056
RAC1	232	6.660173416137695	3.2659542560577393	10.439828872680664	64	0.3426703214645386	179	129	0.7206703910614525	195	62	0.31794871794871793	33	22	0.6666666666666666	38	23	0.6052631578947368
SLPI	232	6.493237495422363	3.2692909240722656	10.176129341125488	118	0.29277288913726807	173	109	0.630057803468208	189	41	0.21693121693121692	42	5	0.11904761904761904	52	8	0.15384615384615385
HSP90AB1	232	6.3313188552856445	0.9630939960479736	13.241036415100098	168	0.3402475118637085	176	104	0.5909090909090909	195	43	0.2205128205128205	81	67	0.8271604938271605	90	70	0.7777777777777778
ANXA2	232	6.247795104980469	2.757774591445923	12.24558162689209	143	0.2681281268596649	187	134	0.7165775401069518	208	45	0.21634615384615385	55	44	0.8	62	44	0.7096774193548387
KRT17	232	6.218746185302734	2.3153505325317383	12.819315910339355	232	0.21932965517044067	189	127	0.671957671957672	207	50	0.24154589371980675	97	48	0.4948453608247423	109	51	0.46788990825688076
KRT18	232	5.926288604736328	2.85013484954834	13.484870910644531	232	0.2689790725708008	178	123	0.6910112359550562	195	61	0.3128205128205128	97	74	0.7628865979381443	109	75	0.6880733944954128
LDLR	232	5.791479110717773	2.6857526302337646	10.646466255187988	121	0.330607533454895	174	111	0.6379310344827587	187	40	0.21390374331550802	66	45	0.6818181818181818	73	45	0.6164383561643836
VEGFA	232	5.541257858276367	1.215901494026184	11.17969036102295	148	0.33147168159484863	173	101	0.5838150289017341	190	33	0.1736842105263158	82	39	0.47560975609756095	91	39	0.42857142857142855
CD24	232	5.471549034118652	2.160494327545166	11.4762544631958	97	0.3234305679798126	158	95	0.6012658227848101	171	44	0.2573099415204678	53	39	0.7358490566037735	60	39	0.65
CD9	232	5.439289093017578	2.4499363899230957	10.18623161315918	100	0.20821881294250488	175	102	0.5828571428571429	194	46	0.23711340206185566	24	17	0.7083333333333334	28	18	0.6428571428571429
HSPB1	232	5.334739685058594	2.5518553256988525	10.229826927185059	177	0.2415541708469391	191	113	0.5916230366492147	210	48	0.22857142857142856	76	25	0.32894736842105265	86	25	0.29069767441860467
S100A10	232	5.274930953979492	2.1395463943481445	10.62506103515625	157	0.28212130069732666	179	134	0.7486033519553073	197	52	0.2639593908629442	67	46	0.6865671641791045	73	46	0.6301369863013698
LGALS3BP	231	5.215271949768066	2.045032024383545	10.699380874633789	114	0.3455239534378052	182	121	0.6648351648351648	192	44	0.22916666666666666	61	44	0.7213114754098361	71	45	0.6338028169014085
SOX9	232	4.972856521606445	1.3926371335983276	11.075395584106445	91	0.35744917392730713	163	98	0.6012269938650306	176	35	0.19886363636363635	46	39	0.8478260869565217	51	39	0.7647058823529411
CDH1	232	4.89616060256958	2.0303003787994385	13.278554916381836	232	0.1956627368927002	142	106	0.7464788732394366	157	42	0.267515923566879	97	49	0.5051546391752577	109	49	0.44954128440366975
IFI27	232	4.876116752624512	2.1077942848205566	8.165365219116211	127	0.3108031451702118	192	92	0.4791666666666667	209	40	0.19138755980861244	57	31	0.543859649122807	67	33	0.4925373134328358
ERBB3	232	4.826115608215332	2.265927314758301	10.738424301147461	53	0.42352545261383057	136	99	0.7279411764705882	141	36	0.2553191489361702	37	29	0.7837837837837838	40	29	0.725
CCND1	232	4.78429651260376	1.2745482921600342	8.38294792175293	121	0.22745902836322784	189	110	0.582010582010582	208	40	0.19230769230769232	47	12	0.2553191489361702	54	12	0.2222222222222222
SLC2A1	232	4.763983726501465	1.7129453420639038	8.492568016052246	122	0.2549065351486206	171	103	0.6023391812865497	187	34	0.18181818181818182	61	11	0.18032786885245902	69	11	0.15942028985507245
MMP7	232	4.675196170806885	1.8594815731048584	9.104223251342773	116	0.2804153561592102	179	98	0.547486033519553	194	33	0.17010309278350516	52	39	0.75	56	40	0.7142857142857143
LGALS3	232	4.543231010437012	1.243722915649414	8.871240615844727	71	0.2529217004776001	175	110	0.6285714285714286	195	51	0.26153846153846155	26	21	0.8076923076923077	29	21	0.7241379310344828
LCN2	232	4.384355545043945	1.014989972114563	9.004701614379883	58	0.20508259534835815	153	110	0.7189542483660131	168	50	0.2976190476190476	19	1	0.05263157894736842	23	1	0.043478260869565216
PIGR	232	4.278681755065918	1.3067872524261475	9.199899673461914	135	0.21332436800003052	178	109	0.6123595505617978	194	31	0.15979381443298968	50	31	0.62	57	31	0.543859649122807
EPHA2	232	4.249290466308594	1.9804660081863403	10.653451919555664	80	0.4009852409362793	144	102	0.7083333333333334	153	42	0.27450980392156865	43	42	0.9767441860465116	46	43	0.9347826086956522
CALM2	231	4.247043609619141	1.6764516830444336	8.572942733764648	61	0.2803809344768524	160	103	0.64375	174	36	0.20689655172413793	31	21	0.6774193548387096	32	21	0.65625
APP	232	4.230143070220947	0.7488002181053162	9.507763862609863	113	0.30841484665870667	177	97	0.5480225988700564	196	31	0.15816326530612246	52	37	0.7115384615384616	59	37	0.6271186440677966
ITGA3	232	4.166283130645752	1.0453171730041504	12.542718887329102	96	0.4790029525756836	153	108	0.7058823529411765	165	49	0.296969696969697	63	60	0.9523809523809523	65	60	0.9230769230769231
BCL2L1	232	4.091543674468994	1.8918969631195068	10.775606155395508	69	0.39242255687713623	133	102	0.7669172932330827	143	46	0.32167832167832167	42	36	0.8571428571428571	43	37	0.8604651162790697
CD63	232	4.064414978027344	1.0180929899215698	8.764177322387695	119	0.27016156911849976	180	86	0.4777777777777778	199	27	0.135678391959799	48	33	0.6875	55	33	0.6
AGR2	232	3.990757942199707	1.4521803855895996	9.095394134521484	107	0.35527604818344116	157	103	0.6560509554140127	163	33	0.20245398773006135	58	45	0.7758620689655172	64	45	0.703125
ARF1	232	3.9877114295959473	1.469409704208374	7.152701377868652	4	0.23735524713993073	137	91	0.6642335766423357	142	29	0.20422535211267606	1	0	0.0	2	0	0.0
EPHB4	232	3.9702467918395996	0.8224921226501465	7.723013877868652	38	0.31495487689971924	173	107	0.6184971098265896	185	40	0.21621621621621623	20	14	0.7	23	14	0.6086956521739131
