n_pos	n_neg	median_pos	median_neg	U	p	cliffs_delta	note	series	timepoint	gene	covariate	adjustment	endpoint	test	n	rho	n_events	hr	hr_ci_low	hr_ci_high	logrank_p
					0.007898022011171834			GSE253564	pre	TACSTD2	none	unadjusted	CYT	Spearman unadjusted	32.0	-0.46114369501466274					
					0.0015565579652786856			GSE253564	pre	TACSTD2	none	unadjusted	CD8A	Spearman unadjusted	32.0	-0.5362903225806451					
					4.0257287446347355e-06			GSE253564	pre	TACSTD2	none	unadjusted	ImmuneScore	Spearman unadjusted	32.0	-0.7162756598240468					
					0.0005353506135290711		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	MKI67	OLS residual on MKI67	CYT	Spearman of OLS-residual vs raw endpoint	32.0	-0.5777126099706744					
					0.00047330504316108417		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	MKI67	partial Spearman | MKI67	CYT	partial Spearman (ranks, n-3 df)	32.0	-0.5902785648791828					
					5.393230905027556e-05		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	MKI67	OLS residual on MKI67	CD8A	Spearman of OLS-residual vs raw endpoint	32.0	-0.6513929618768328					
					2.3489517368550475e-05		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	MKI67	partial Spearman | MKI67	CD8A	partial Spearman (ranks, n-3 df)	32.0	-0.6824269500097763					
					1.3381744675506559e-06		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	MKI67	OLS residual on MKI67	ImmuneScore	Spearman of OLS-residual vs raw endpoint	32.0	-0.7393695014662756					
					8.603030366441276e-07		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	MKI67	partial Spearman | MKI67	ImmuneScore	partial Spearman (ranks, n-3 df)	32.0	-0.7562907160039187					
					0.1808214841725284		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	32.0	-0.24266862170087974					
					0.3745144181413529		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	32.0	-0.16518684151777113					
					0.09417524956007502		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	32.0	-0.30095307917888564					
					0.18863470023799292		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	32.0	-0.24253755120388606					
					0.013327938879964713		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	ESTIMATEScore	OLS residual on ESTIMATEScore	ImmuneScore	Spearman of OLS-residual vs raw endpoint	32.0	-0.4329178885630498					
					0.0021903059823752524		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	ESTIMATEScore	partial Spearman | ESTIMATEScore	ImmuneScore	partial Spearman (ranks, n-3 df)	32.0	-0.5294960162414778					
					0.02057281144111158		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	EpiScore	OLS residual on EpiScore	CYT	Spearman of OLS-residual vs raw endpoint	32.0	-0.40762463343108496					
					0.01208415007797361		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	EpiScore	partial Spearman | EpiScore	CYT	partial Spearman (ranks, n-3 df)	32.0	-0.445194815916162					
					0.008836437012335751		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	EpiScore	OLS residual on EpiScore	CD8A	Spearman of OLS-residual vs raw endpoint	32.0	-0.4552785923753665					
					0.004480848285578352		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	EpiScore	partial Spearman | EpiScore	CD8A	partial Spearman (ranks, n-3 df)	32.0	-0.4966757599816725					
					0.00010845104115657993		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	EpiScore	OLS residual on EpiScore	ImmuneScore	Spearman of OLS-residual vs raw endpoint	32.0	-0.6308651026392961					
					4.965093634017785e-06		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	EpiScore	partial Spearman | EpiScore	ImmuneScore	partial Spearman (ranks, n-3 df)	32.0	-0.7200248543756284					
					0.05967410614682277		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	EPCAM_sensitivity	OLS residual on EPCAM_sensitivity	CYT	Spearman of OLS-residual vs raw endpoint	32.0	-0.33651026392961875					
					0.021456539296127845		A2-matched estimator; residualises both ranks	GSE253564	pre	TACSTD2	EPCAM_sensitivity	partial Spearman | EPCAM_sensitivity	CYT	partial Spearman (ranks, n-3 df)	32.0	-0.4114860436119706					
					0.07701517054547916		residualise gene only (leftover-style)	GSE253564	pre	TACSTD2	EPCAM_sensitivity	OLS residual on EPCAM_sensitivity	CD8A	Spearman of OLS-residual vs raw endpoint	32.0	-0.3170821114369501					
