sample_id	accession	database	source_url	verified_at_utc	verification_evidence	file_name	bytes	decision	refusal_reason	sha256
IMvigor210	10.1038/nature25501	GitHub mirror	https://raw.githubusercontent.com/SiYangming/IMvigor210CoreBiologies/master/data/cds.RData	2026-08-16T20:30:22.799856+00:00	HTTP 200; 51233046 bytes retrieved	cds.RData	51233046	accepted		b7f1cfb648cc6125e48ba9ff5094e4ed547ad4758cf68fca5117767ebf65df2e
BACI	GSE176307	GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_salmon_tpm_gene.matrix.tsv.gz	2026-08-16T20:30:22.807613+00:00	HTTP 200; 10131698 bytes retrieved	GSE176307_salmon_tpm_gene.matrix.tsv.gz	10131698	accepted		c7ebf750cc6e6ba967bba9a733c47572a53daaaff9fcf041e5ab4641ef615894
BACI	GSE176307	GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/matrix/GSE176307_series_matrix.txt.gz	2026-08-16T20:30:22.807686+00:00	HTTP 200; 10300 bytes retrieved	GSE176307_series_matrix.txt.gz	10300	accepted		8f01d22b604ba89d965e02751e080d50448fbf7d14f4279cdc59547f3c328bb9
BACI	GSE176307	GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	2026-08-16T20:30:22.807719+00:00	HTTP 200; 530 bytes retrieved	GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	530	accepted		cfe452ec72c99f2c84216bb25fe291b4c78028e53b8a8189acbd5c9ed7db919b
BACI	GSE176307	GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176307/suppl/GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	2026-08-16T20:30:22.812797+00:00	HTTP 200; 6880837 bytes retrieved	GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	6880837	accepted		2a59a9fccf8f8e370807e55f70e441bdce3403420d60d8f12433ec399f850b07
Snyder	Zenodo 7058399	Zenodo	https://zenodo.org/api/records/7058399/files/ICB_Snyder.zip/content	2026-08-16T20:30:22.913662+00:00	HTTP 200; 7263103 bytes retrieved	ICB_Snyder.zip	7263103	accepted		6069d1168cafea67cd740eb87ff40a392b115767d90ed462c9f5e8169c80c61c
IMvigor210 (harmonised copy, concordance check only)	Zenodo 7058399	Zenodo	https://zenodo.org/api/records/7058399/files/ICB_Mariathasan.zip/content	2026-08-16T20:30:23.482590+00:00	HTTP 200; 49824760 bytes retrieved	ICB_Mariathasan.zip	49824760	accepted		b7ba42f6c0deb61c2c74d6cc001622c0d9451f835655f749dee17518463a4d09
GSE111636	GSE111636	GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111636/matrix/GSE111636_series_matrix.txt.gz	2026-08-16T20:30:23.486422+00:00	HTTP 200; 4402025 bytes retrieved	GSE111636_series_matrix.txt.gz	4402025	accepted		45894928213ed510227c04a4a370dda5c5504fc5c293071fa216a2b60126934b
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/studies/blca_bcan_hcrn_2022/clinical-data?clinicalDataType=PATIENT	2026-08-16T20:30:23.487679+00:00	HTTP 200; 1273445 bytes retrieved	clinical_patient.json	1273445	accepted		b089b232fce6b1dcd5523213468492247d7070d2f2b527abda74c204c5db94e5
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=1364&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.619733+00:00	HTTP 200; 57614 bytes retrieved	CLDN4_zscore.json	57614	accepted		fa57928909dfeb821562c56222e974b0660bcef21bc9d080ae863f9065a349be
