graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907_tumor_no_brain	2654	31	0	0	0.0	0.0	0.028563179075717926		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2655	31	31	0	1.0	0.0	0.05400710180401802		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2656	31	31	0	1.0	0.0	0.0		T lymphocytes	4	31			False		
GSE131907_tumor_no_brain	2657	31	31	0	1.0	0.0	0.04034271463751793		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2658	31	31	0	1.0	0.0	0.045957714319229126		T lymphocytes	8	31	-0.2380952380952381	0.5701563208157683	True	0.936413168397695	0.9363445121305675
GSE131907_tumor_no_brain	2659	31	0	31	0.0	1.0	1.9503024816513062	1.9503024816513062	Epithelial cells	2	31			False		
GSE131907_tumor_no_brain	2660	31	31	0	1.0	0.0	0.06736160814762115		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2661	31	31	0	1.0	0.0	0.23407860100269318		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2662	31	31	0	1.0	0.0	0.20319224894046783		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2663	31	0	31	0.0	1.0	2.3445932865142822	2.3445932865142822	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2664	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907_tumor_no_brain	2665	31	0	0	0.0	0.0	0.0		Myeloid cells	3	31			False		
GSE131907_tumor_no_brain	2666	31	0	31	0.0	1.0	1.4828072786331177	1.4828072786331177	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2667	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2668	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2669	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2670	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2671	31	0	0	0.0	0.0	0.055089741945266724		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2672	31	0	0	0.0	0.0	0.0		Myeloid cells	1	31			False		
GSE131907_tumor_no_brain	2673	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907_tumor_no_brain	2674	31	0	0	0.0	0.0	0.0		B lymphocytes	0	31			False		
GSE131907_tumor_no_brain	2675	31	31	0	1.0	0.0	0.0		T lymphocytes	5	31	0.6	0.28475697986529386	True	0.8287009250773654	0.8266271402413851
GSE131907_tumor_no_brain	2676	31	0	0	0.0	0.0	1.4905190467834473		Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2677	31	0	0	0.0	0.0	0.02127300761640072		B lymphocytes	4	31			False		
GSE131907_tumor_no_brain	2678	31	0	0	0.0	0.0	0.08003834635019302		Myeloid cells	2	31			False		
GSE131907_tumor_no_brain	2679	31	0	31	0.0	1.0	1.4120726585388184	1.4120726585388184	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2680	31	0	31	0.0	1.0	0.8976331353187561	0.8976331353187561	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2681	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907_tumor_no_brain	2682	31	0	31	0.0	1.0	1.9373059272766113	1.9373059272766113	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2683	31	0	31	0.0	1.0	1.8918391466140747	1.8918391466140747	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2684	31	0	31	0.0	1.0	1.8759547472000122	1.8759547472000122	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2685	31	0	19	0.0	0.6129032258064516	1.5393315553665161	1.497729778289795	Epithelial cells	6	31	0.028571428571428574	0.9571545189504373	True	0.9794727011812718	0.981762124322228
GSE131907_tumor_no_brain	2686	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2687	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2688	31	0	0	0.0	0.0	0.02601870708167553		Myeloid cells	3	31			False		
GSE131907_tumor_no_brain	2689	31	0	0	0.0	0.0	0.0		MAST cells	1	31			False		
GSE131907_tumor_no_brain	2690	31	0	31	0.0	1.0	1.4501392841339111	1.4501392841339111	Epithelial cells	2	31			False		
GSE131907_tumor_no_brain	2691	31	31	0	1.0	0.0	0.0		T lymphocytes	8	31	0.7142857142857144	0.046528232284167255	True	0.6911381170544012	0.7434402340734377
GSE131907_tumor_no_brain	2692	31	31	0	1.0	0.0	0.0569256953895092		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2693	31	0	0	0.0	0.0	0.0		Myeloid cells	3	31			False		
GSE131907_tumor_no_brain	2694	31	0	0	0.0	0.0	0.027592623606324196		Myeloid cells	6	31	-0.6	0.208	True	0.8016432432432432	0.8172341259511722
GSE131907_tumor_no_brain	2695	31	0	0	0.0	0.0	0.05217697471380234		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2696	31	0	0	0.0	0.0	0.06422778964042664		Myeloid cells	4	31			False		
GSE131907_tumor_no_brain	2697	31	31	0	1.0	0.0	0.05615231767296791		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2698	31	31	0	1.0	0.0	0.0		T lymphocytes	4	31			False		
GSE131907_tumor_no_brain	2699	31	0	31	0.0	1.0	2.0006556510925293	2.0006556510925293	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2700	31	31	0	1.0	0.0	0.04975947365164757		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2701	31	0	0	0.0	0.0	0.0		Myeloid cells	7	31	0.7857142857142859	0.03623846267982715	True	0.6058243268872636	0.6512529401602589
GSE131907_tumor_no_brain	2702	31	0	0	0.0	0.0	0.07111968100070953		MAST cells	2	31			False		
GSE131907_tumor_no_brain	2703	31	31	0	1.0	0.0	0.11667747050523758		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2704	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2705	31	0	31	0.0	1.0	1.7965023517608643	1.7965023517608643	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2706	31	31	0	1.0	0.0	0.16113312542438507		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2707	31	0	0	0.0	0.0	0.0		B lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2708	31	0	31	0.0	1.0	2.881721019744873	2.881721019744873	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2709	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2710	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2711	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2712	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2713	31	31	0	1.0	0.0	0.0		T lymphocytes	5	31	0.0	1.0	True	1.0	1.0
GSE131907_tumor_no_brain	2714	31	0	31	0.0	1.0	1.172690510749817	1.172690510749817	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2715	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2716	31	0	31	0.0	1.0	1.0680413246154785	1.0680413246154785	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2717	31	0	31	0.0	1.0	2.1247828006744385	2.1247828006744385	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2718	31	0	31	0.0	1.0	2.1774682998657227	2.1774682998657227	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2719	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2720	31	4	24	0.12903225806451613	0.7741935483870968	1.7005013227462769	2.1964807510375977	Epithelial cells	4	31			False		
GSE131907_tumor_no_brain	2721	31	0	31	0.0	1.0	0.621550440788269	0.621550440788269	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2722	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2723	31	0	0	0.0	0.0	0.012208155356347561		Myeloid cells	2	31			False		
GSE131907_tumor_no_brain	2724	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2725	31	0	31	0.0	1.0	2.503981113433838	2.503981113433838	Epithelial cells	2	31			False		
GSE131907_tumor_no_brain	2726	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2727	31	0	0	0.0	0.0	0.07469846308231354		Myeloid cells	5	31	-0.19999999999999998	0.7470600781046621	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2728	31	0	0	0.0	0.0	0.011824274435639381		Myeloid cells	6	31	0.4285714285714286	0.3965014577259473	True	0.8515227089114471	0.848075082201284
GSE131907_tumor_no_brain	2729	31	4	27	0.12903225806451613	0.8709677419354839	1.4513102769851685	1.6663193702697754	Epithelial cells	3	31			False		
GSE131907_tumor_no_brain	2730	31	31	0	1.0	0.0	0.028219493106007576		T lymphocytes	8	31	-0.2142857142857143	0.6103444156452669	True	0.936413168397695	0.9363445121305675
GSE131907_tumor_no_brain	2731	31	0	0	0.0	0.0	0.05329451337456703		Myeloid cells	4	31			False		
GSE131907_tumor_no_brain	2732	31	0	0	0.0	0.0	0.05731984227895737		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2733	31	0	0	0.0	0.0	0.05689841881394386		Myeloid cells	5	31	-0.3	0.623837664781073	True	0.936413168397695	0.9363445121305675
GSE131907_tumor_no_brain	2734	31	0	6	0.0	0.1935483870967742	1.455660343170166	1.3575868606567383	Epithelial cells	9	31	0.06666666666666667	0.8646897846262036	True	0.940135274213113	0.9363445121305675
