unit	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	graph	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
LUNG_T09	0	31		0.12903225806451613	GSE131907_tumor_no_brain	3790	5	1981		0.5226912928759895	unscored
LUNG_T34	878	1141	0.0	0.0	GSE131907_tumor_no_brain	3232	2374	366	1.6022334098815918	0.11324257425742575	high
LUNG_T18	533	366	0.001876172607879925	0.0	GSE131907_tumor_no_brain	3498	1002	1090	1.8248164653778076	0.31160663236134933	high
BRONCHO_11	43	153	0.0	0.006535947712418301	GSE131907_tumor_no_brain	3165	203	809	1.392881155014038	0.255608214849921	high
BRONCHO_58	13	330	0.0	0.0030303030303030303	GSE131907_tumor_no_brain	2720	460	1546	0.9481318593025208	0.5683823529411764	low
LUNG_T25	71	169	0.0	0.005917159763313609	GSE131907_tumor_no_brain	4321	223	1599	1.3818156719207764	0.37005322841934735	unscored
LUNG_T31	83	201	0.9397590361445783	0.16417910447761194	GSE131907_tumor_no_brain	4934	182	3713	1.1920487880706787	0.7525334414268342	low
EBUS_28	2967	413	0.0	0.0	GSE131907_tumor_no_brain	5163	4640	232	2.2467188835144043	0.04493511524307573	high
LUNG_T28	557	220	0.0017953321364452424	0.013636363636363636	GSE131907_tumor_no_brain	4612	984	1631	2.02643084526062	0.353642671292281	high
LUNG_T06	71	76	0.028169014084507043	0.11842105263157894	GSE131907_tumor_no_brain	2887	100	1539	1.6496440172195435	0.5330793210945618	high
LUNG_T19	34	234	0.0	0.008547008547008548	GSE131907_tumor_no_brain	4088	222	1712	1.390738844871521	0.4187866927592955	high
LUNG_T30	57	653	0.0	0.0	GSE131907_tumor_no_brain	3868	784	1414	1.0103753805160522	0.3655635987590486	low
EBUS_10	18	285	0.1111111111111111	0.010526315789473684	GSE131907_tumor_no_brain	5131	367	1530	1.2945740222930908	0.29818748781913856	low
EBUS_49	12	95	0.8333333333333334	0.05263157894736842	GSE131907_tumor_no_brain	1713	114	1126	0.7394811511039734	0.6573263280793928	low
EBUS_19	166	35	0.05421686746987952	0.6	GSE131907_tumor_no_brain	2109	217	1427	1.74746572971344	0.676623992413466	high
LUNG_T08	28	41	0.8571428571428571	0.4878048780487805	GSE131907_tumor_no_brain	3545	42	2128	1.5306764841079712	0.6002820874471086	high
LUNG_T20	233	206	0.017167381974248927	0.05825242718446602	GSE131907_tumor_no_brain	4001	434	2418	1.8149075508117676	0.604348912771807	high
EBUS_51	6	889	0.0	0.0	GSE131907_tumor_no_brain	3273	1285	1143	1.1968406438827515	0.34922089825847846	low
EBUS_12	78	191	0.0	0.0	GSE131907_tumor_no_brain	3098	257	328	1.3514907360076904	0.10587475790832795	low
EBUS_15	6	156	0.0	0.00641025641025641	GSE131907_tumor_no_brain	1100	256	479	0.8119832873344421	0.4354545454545454	low
EBUS_13	11	312	0.18181818181818182	0.028846153846153848	GSE131907_tumor_no_brain	3547	376	1150	0.0006799165275879204	0.3242176487172258	low
EBUS_06	302	710	0.0	0.0	GSE131907_tumor_no_brain	2299	1186	611	1.2913167476654053	0.2657677250978686	low
