gene	n_probes	probes
Cdh1	1	1448261_at
Cldn1	4	1437932_a_at,1438850_at,1438851_x_at,1450014_at
Cldn18	2	1425445_a_at,1449428_at
Cldn3	4	1426332_a_at,1434651_a_at,1451701_x_at,1460569_x_at
Cldn4	1	1418283_at
Cldn6	1	1417845_at
Cldn7	1	1448393_at
Epcam	1	1416579_a_at
F11r	2	1424595_at,1436374_x_at
Ifih1	1	1426276_at
Ifit1	1	1450783_at
Ifit2	1	1418293_at
Ifit3	1	1449025_at
Ifnb1	1	1422305_at
Irf1	1	1448436_a_at
Irf3	4	1416898_a_at,1426111_x_at,1435271_at,1438721_a_at
Irf7	1	1417244_a_at
Irf9	1	1421322_a_at
Isg15	1	1431591_s_at
Krt14	3	1423935_x_at,1455573_at,1460347_at
Krt5	1	1424096_at
Krt8	3	1420647_a_at,1423691_x_at,1435989_x_at
Marveld2	1	1426914_at
Marveld3	1	1451764_at
Mx1	1	1451905_a_at
Nhej1	1	1425651_at
Nkx2-1	1	1422346_at
Oasl2	1	1453196_a_at
Ocln	1	1448873_at
Prkdc	1	1451576_at
Rsad2	3	1421008_at,1421009_at,1436058_at
Sftpb	1	1437028_at
Sftpc	2	1418639_at,1438290_x_at
Stat1	3	1420915_at,1450033_a_at,1450034_at
Stat2	2	1421911_at,1450403_at
Tacstd2	1	1423323_at
Tbk1	2	1422469_at,1460315_s_at
Tjp1	1	1417749_a_at
Tjp2	4	1434599_a_at,1434600_at,1450984_at,1450985_a_at
Tjp3	1	1417896_at
Tmem173	1	1427911_at
Trp63	3	1418158_at,1451876_a_at,1452027_a_at
Xrcc4	2	1424601_at,1424602_s_at
Xrcc5	1	1451968_at
Xrcc6	1	1417437_at
