	squamous_z	adeno_z	call	sq_genes	ad_genes	arm
KL25	-0.11493507685419761	0.5631882557903384	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL26	-0.472731050448626	0.4856755224116058	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL27	-0.6144151177299971	0.19670237827972223	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL28	-0.7459519441632053	0.35415886314439443	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL29	-0.660057868786386	0.5241210484826172	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL30	-0.4896663737819041	0.24098091321754664	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL32	-0.6304260173698202	0.07088776632686244	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL34	-0.3527330133124243	0.9235983400700095	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KL35	-0.15394020717419718	0.7089311756715357	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KL
KP109_LJE3	0.9391946880477774	-0.9606727150484652	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP115_LJE4	1.5901241018771897	0.009849400299473565	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP116_LJE5	-0.5144792029376645	0.3665473827116538	adeno_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP119_LJE6	0.08788406487690976	-0.6377588961871511	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP137_LJE7	0.8310224620271845	-0.9274435530115079	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP138_LJE8	0.43864876578054135	-0.938708171021009	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP96_LJE1	0.7429611690722945	-0.4831100370761951	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
KP97_LJE2	0.11950062087652569	-0.4969476740614333	squamous_like	Krt5,Krt14,Trp63	Nkx2-1,Sftpc,Sftpb	KP
