accession	cohort	family	name	fair_genotype	scale	n_kl	n_kp	mean_kl	mean_kp	delta_mean	kl_gt_kp	mwu_p	welch_p	mwu_floor	enough_n	note	mwu_fdr_bh
GSE164758	all_tumors	gene	Tacstd2	True	log2(FPKM+1)	9	8	6.496560479497545	5.638497582888118	0.858062896609427	True	8.227067050596462e-05	0.0006758470524404931	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded.	0.00018804724687077626
GSE164758	all_tumors	gene	Cldn4	True	log2(FPKM+1)	9	8	3.73988381197024	4.094728122637296	-0.354844310667056	False	0.4234471410941999	0.2780258469834626	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded.	0.48393958982194274
GSE164758	all_tumors	module	TJ7	True	mean gene z within contrast samples	9	8	-0.18608508986455813	0.2093457260976273	-0.39543081596218543	False	0.02064993829699712	0.03231831072622061	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.	0.10324969148498561
GSE164758	all_tumors	module	TJ_CORE	True	mean gene z within contrast samples	9	8	-0.09558904185216001	0.10753767208367866	-0.20312671393583867	False	0.5414232825997531	0.3095191099867444	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Ocln,Tjp1,Tjp2,Tjp3,F11r,Cgn,Marveld2,Cldn3,Cldn4,Cldn7.	0.6058412176059235
GSE164758	all_tumors	module	TJ_CORE_NO_CLDN4	True	mean gene z within contrast samples	9	8	-0.07855330812706168	0.08837247164294282	-0.1669257797700045	False	0.6058412176059235	0.3957442699224671	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Ocln,Tjp1,Tjp2,Tjp3,F11r,Cgn,Marveld2,Cldn3,Cldn7.	0.6058412176059235
GSE164758	all_tumors	module	CLDN_STRAND	True	mean gene z within contrast samples	9	8	0.17199800179996017	-0.1934977520249549	0.36549575382491506	True	0.046400658165364046	0.038458213221335025	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Cldn3,Cldn4,Cldn7,Ocln.	0.11600164541341011
GSE164758	all_tumors	module	PLAQUE	True	mean gene z within contrast samples	9	8	-0.1598776382183295	0.17986234299561843	-0.33973998121394794	False	0.2765939942410531	0.22942764560461223	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Tjp1,Tjp2,Tjp3,Cgn,Marveld2.	0.46098999040175515
GSE164758	all_tumors	norm	Cldn4_minus_Epcam	True	Cldn4 minus Epcam on the analysis scale	9	8	-3.64376503775597	-3.1184353076387623	-0.5253297301172077	False	0.2358700123406006	0.15744527486237	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Epithelial ratio, not raw Cldn4.	0.2358700123406006
GSE164758	all_tumors	norm	Cldn4_residual_Epcam_Krt8	True	OLS residual of Cldn4 on Epcam and Krt8	9	8	-0.2353703335487138	0.2647916252422898	-0.5001619587910036	False	0.07445495680789799	0.0922314663911171	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Residual removes linear epithelial-marker content. Fit uses KL and KP samples together.	0.11168243521184698
GSE164758	all_tumors	norm	TJ_CORE_minus_Epcam_z	True	TJ_CORE z minus Epcam z	9	8	-0.43240124630235294	0.4864514020901577	-0.9188526483925106	False	0.07445495680789799	0.10402702667557356	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Module after subtracting the Epcam z-score.	0.11168243521184698
GSE164758	all_tumors	pathway	NHEJ	True	mean gene z within contrast samples	9	8	-0.5052729520066858	0.5684320710075231	-1.073705023014209	False	8.227067050596462e-05	0.0010248879600428997	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Xrcc4,Xrcc5,Xrcc6,Lig4,Prkdc,Nhej1,Dclre1c.	0.00024681201151789385
GSE164758	all_tumors	pathway	STING	True	mean gene z within contrast samples	9	8	0.16355599284377728	-0.18400049194925178	0.34755648479302903	True	0.1995886466474702	0.16960787505596625	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Tmem173,Mb21d1,Tbk1,Irf3.	0.2993829699712053
GSE164758	all_tumors	pathway	IFN	True	mean gene z within contrast samples	9	8	0.12142119339909312	-0.13659884257398014	0.25802003597307327	True	0.5414232825997531	0.5271561267746678	8.227067050596462e-05	True	Eichner primary tumors. No histology field in GEO (genotype, tissue, treatment, guide RNA only). Bulk FPKM. Unannotated KL-H457 and KPa columns excluded. Genes used: Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Ifih1,Ddx58,Ifnb1.	0.5414232825997531
GSE244452	all_tumors	gene	Tacstd2	True	log2(count+1)	3	3	10.525546786281426	3.2979397338207215	7.227607052460705	True	0.1	0.00019156768249916018	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field.	0.10000000000000002
GSE244452	all_tumors	gene	Cldn4	True	log2(count+1)	3	3	12.236565824430796	3.260386792491872	8.976179031938925	True	0.1	0.006966003484231332	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field.	0.10000000000000002
GSE244452	all_tumors	module	TJ7	True	mean gene z within contrast samples	3	3	0.9001011134254725	-0.9001011134254724	1.8002022268509448	True	0.1	0.0013467653451587325	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Genes used: Cldn3,Cldn4,Cldn6,Cldn7,Ocln.	0.1
GSE244452	all_tumors	module	TJ_CORE	True	mean gene z within contrast samples	3	3	0.8886414360909463	-0.8886414360909455	1.7772828721818916	True	0.1	0.0011886492239844685	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Genes used: Ocln,Tjp1,Tjp3,Cgn,Marveld2,Cldn3,Cldn4,Cldn7.	0.1
GSE244452	all_tumors	module	TJ_CORE_NO_CLDN4	True	mean gene z within contrast samples	3	3	0.8873130954750595	-0.8873130954750588	1.7746261909501184	True	0.1	0.0006237485512904452	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Genes used: Ocln,Tjp1,Tjp3,Cgn,Marveld2,Cldn3,Cldn7.	0.1
GSE244452	all_tumors	module	CLDN_STRAND	True	mean gene z within contrast samples	3	3	0.9008678568508857	-0.9008678568508856	1.8017357137017713	True	0.1	0.0042555647268246325	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Genes used: Cldn3,Cldn4,Cldn7,Ocln.	0.1
GSE244452	all_tumors	module	PLAQUE	True	mean gene z within contrast samples	3	3	0.8764150153310067	-0.8764150153310055	1.7528300306620124	True	0.1	0.0005838362582663399	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Genes used: Tjp1,Tjp3,Cgn,Marveld2.	0.1
GSE244452	all_tumors	norm	Cldn4_minus_Epcam	True	Cldn4 minus Epcam on the analysis scale	3	3	-0.9237597660900795	0.036215622747517585	-0.959975388837597	False	0.4	0.33701859751675645	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Epithelial ratio, not raw Cldn4.	1.0
GSE244452	all_tumors	norm	Cldn4_residual_Epcam_Krt8	True	OLS residual of Cldn4 on Epcam and Krt8	3	3	-0.009717523540703136	0.009717523540691294	-0.01943504708139443	False	0.7	0.9812131599899957	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Residual removes linear epithelial-marker content. Fit uses KL and KP samples together.	1.0
GSE244452	all_tumors	norm	TJ_CORE_minus_Epcam_z	True	TJ_CORE z minus Epcam z	3	3	-0.021906115207614946	0.021906115207616206	-0.04381223041523115	False	1.0	0.7402915638857529	0.1	False	Syngeneic bulk tumors. Deposited table is 7449 genes with per-sample counts, not a full transcriptome. n=3 vs 3; exact Mann-Whitney floor is 0.10. No histology field. Module after subtracting the Epcam z-score.	1.0
GSE137396	all_nodules	gene	Tacstd2	True	log2(abundance+1)	5	5	12.478824133346563	11.335290981824201	1.1435331515223623	True	0.09523809523809523	0.06319690278691983	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance.	0.25396825396825395
GSE137396	all_nodules	gene	Cldn4	True	log2(abundance+1)	5	5	13.267159846903615	12.710248251025725	0.5569115958778905	True	0.8412698412698413	0.48462808999182494	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance.	0.8973544973544973
GSE137396	all_nodules	module	TJ7	True	mean gene z within contrast samples	5	5	0.16007344942143112	-0.1600734494214324	0.3201468988428635	True	0.42063492063492064	0.36438742232992943	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Genes used: Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.	0.8412698412698413
GSE137396	all_nodules	module	TJ_CORE	True	mean gene z within contrast samples	5	5	0.07852783709320332	-0.0785278370932016	0.15705567418640493	True	0.8412698412698413	0.5641326055389155	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Genes used: Ocln,Tjp1,Tjp2,Tjp3,F11r,Cgn,Marveld2,Cldn3,Cldn4,Cldn7.	0.8412698412698413
GSE137396	all_nodules	module	TJ_CORE_NO_CLDN4	True	mean gene z within contrast samples	5	5	0.06000065938760855	-0.06000065938760681	0.12000131877521536	True	0.8412698412698413	0.6599549277762222	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Genes used: Ocln,Tjp1,Tjp2,Tjp3,F11r,Cgn,Marveld2,Cldn3,Cldn7.	0.8412698412698413
GSE137396	all_nodules	module	CLDN_STRAND	True	mean gene z within contrast samples	5	5	-0.05238147955821815	0.05238147955821894	-0.10476295911643708	False	0.8412698412698413	0.7060159739935633	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Genes used: Cldn3,Cldn4,Cldn7,Ocln.	0.8412698412698413
GSE137396	all_nodules	module	PLAQUE	True	mean gene z within contrast samples	5	5	0.11951864478373206	-0.11951864478372694	0.239037289567459	True	0.8412698412698413	0.4222868106755949	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Genes used: Tjp1,Tjp2,Tjp3,Cgn,Marveld2.	0.8412698412698413
GSE137396	all_nodules	norm	Cldn4_minus_Epcam	True	Cldn4 minus Epcam on the analysis scale	5	5	-1.7305448523130154	-1.435088490473957	-0.29545636183905843	False	0.2222222222222222	0.4753593691985656	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Epithelial ratio, not raw Cldn4.	0.2222222222222222
GSE137396	all_nodules	norm	Cldn4_residual_Epcam_Krt8	True	OLS residual of Cldn4 on Epcam and Krt8	5	5	-0.2516068371686583	0.251606837168665	-0.5032136743373232	False	0.15079365079365079	0.18624144348300176	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Residual removes linear epithelial-marker content. Fit uses KL and KP samples together.	0.2222222222222222
GSE137396	all_nodules	norm	TJ_CORE_minus_Epcam_z	True	TJ_CORE z minus Epcam z	5	5	-0.42122670809051216	0.42122670809051516	-0.8424534161810273	False	0.2222222222222222	0.10313431470683469	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Module after subtracting the Epcam z-score.	0.2222222222222222
GSE137396	all_nodules	pathway	NHEJ	True	mean gene z within contrast samples	5	5	0.05417785305331675	-0.05417785305331706	0.10835570610663381	True	0.8412698412698413	0.7331355980322779	0.007936507936507936	True	Deng GEMM nodules. KL labeled NA, KP labeled vehicle. log2 of the deposited abundance. Genes used: Xrcc4,Xrcc5,Xrcc6,Lig4,Prkdc,Nhej1,Dclre1c.	0.8412698412698413
