stratum	score	n_donors_delta	median_delta_hi_minus_lo	n_donors_delta_pos	wilcoxon_delta_stat	wilcoxon_delta_p	split	n_donors_rho	median_within_donor_rho	n_donors_rho_pos	wilcoxon_rho_stat	wilcoxon_rho_p	q
chan_sclc_malignant	HALLMARK_DNA_REPAIR	19	0.052432845517388825	19	0.0	3.814697265625e-06	gt0_vs_0,median	19	0.1252559444951073	19	0.0	3.814697265625e-06	9.809221540178572e-06
chan_sclc_malignant	DDR_DSB	19	0.018952570769079746	13	47.0	0.05457305908203125	gt0_vs_0,median	19	0.04202012501302313	15	19.0	0.001171112060546875	0.002108001708984375
chan_sclc_malignant	PROLIF	19	-0.018006077197079112	6	73.0	0.3954620361328125	gt0_vs_0,median	19	0.002120963319385752	10	80.0	0.5677604675292969	0.5677604675292969
chan_sclc_malignant	STING_SENSOR	19	0.0648290946084025	19	0.0	3.814697265625e-06	gt0_vs_0,median	19	0.13810116289009158	19	0.0	3.814697265625e-06	9.809221540178572e-06
chan_sclc_malignant	STING_ISG	19	0.019721522073920056	16	29.0	0.0061798095703125	gt0_vs_0,median	19	0.12218170571512199	18	1.0	7.62939453125e-06	1.71661376953125e-05
chan_sclc_malignant	REACTOME_STING	19	0.03928243048173519	17	20.0	0.00141143798828125	gt0_vs_0,median	19	0.10654212137419872	17	6.0	5.340576171875e-05	0.0001068115234375
chan_sclc_malignant	CGAS	18	-3.8809281889574116e-05	9	71.0	0.550872802734375	gt0_vs_0,median	18	0.02033514713108049	13	28.0	0.010406494140625	
chan_sclc_malignant	STING1	19	0.015286916261207102	17	11.0	0.000209808349609375	gt0_vs_0,median	19	0.08265324056548981	17	7.0	7.2479248046875e-05	
chan_sclc_malignant	H2AX	19	0.027878008305746105	15	23.0	0.002399444580078125	gt0_vs_0,median	19	0.09036828862679307	18	1.0	7.62939453125e-06	
chan_sclc_malignant	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	19	0.15579935308778636	19	0.0	3.814697265625e-06	
