stratum	score	donor	n_cells	rho	p
chan_sclc_malignant	HALLMARK_DNA_REPAIR	PleuralEffusion	559	0.18232764649919814	1.4406914660734579e-05
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1065	177	0.5663250702058119	2.117031206905372e-16
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1066	2762	0.03612526943638536	0.057654718851376865
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1080	2915	0.2735205337105249	3.49854907960503e-51
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1108	11056	0.10718052935521662	1.296473054166987e-29
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1124	891	0.1703597875551086	3.129518288111472e-07
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1144	3617	0.35187379845877265	6.567569931760688e-106
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1145	3422	0.07862710305623782	4.1253049817213945e-06
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1152	1483	0.13042304571186414	4.6586491213902473e-07
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1181	4362	0.13998630106916446	1.563666047484308e-20
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1195	267	0.3351383884710588	1.980531894163007e-08
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1215	3923	0.0026783451792627734	0.8668177789225349
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1229	3437	0.07950757286487181	3.0577904584499143e-06
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1231	4942	0.06101553073033569	1.7685807180434628e-05
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1293	5667	0.02765782195641363	0.037341977330177925
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1311	145	0.39841578723247345	6.937759610503784e-07
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU1322	3098	0.06027767336871121	0.0007886881672129606
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU426	1374	0.10343045917508226	0.00012267170701187768
chan_sclc_malignant	HALLMARK_DNA_REPAIR	RU779	216	0.1252559444951073	0.06614493923896582
