dataset	unit_id	n_cells	n_malignant	n_tnk	mal_CLDN4_pct	mal_CLDN4_mean	lib_umi
GSE205335	P0031	6428	319	3824	59.2476489028213	1.03210740001313	3940822
GSE205335	P1006	6090	1282	2998	74.1809672386895	1.45441994167518	19918728
GSE205335	P1015	1195	291	473	41.5807560137457	1.01379491643033	5627892
GSE205335	P1016	6924	5336	763	82.6461769115442	1.69304935632742	81985165
GSE205335	P1017	6266	2186	2370	64.3183897529735	1.55462084717452	35962022
GSE205335	P1018	5029	1180	2546	67.0338983050847	2.10443933372545	33232599
GSE205335	P1025	1222	980	128	92.8571428571429	2.31069442860223	24236357
GSE205335	P1027	4600	1318	2619	78.0728376327769	2.17399784893951	29254299
GSE205335	P1030	861	603	140	61.6915422885572	1.48410735953157	6284387
GSE205335	P1037	4983	3671	611	86.0528466357941	1.19727181814975	58701715
GSE205335	P1056	5103	2386	1354	49.7066219614417	0.996685692136604	36470136
GSE205335	P1062	3057	188	1934	45.2127659574468	1.37911187125204	5685430
GSE205335	P1063	4297	131	3144	35.1145038167939	0.692850004756864	2567379
GSE205335	P1072	1273	406	586	58.8669950738916	1.47284263818116	12573092
GSE205335	P1076	6975	849	2089	59.3639575971731	1.30621351041308	18117300
GSE205335	P1079	1277	543	501	51.3812154696133	1.17643176882325	8765023
GSE205335	P1084	3534	196	2350	86.734693877551	2.98159000218484	6346104
GSE205335	P1089	1609	1063	272	87.7704609595484	2.27182772593754	20398952
GSE205335	P1090	976	566	247	38.1625441696113	0.744988766586046	8172164
GSE205335	P1115	4397	3769	271	88.8829928362961	1.36793347316764	28166161
GSE205335	P1119	2386	1222	621	36.088379705401	0.867936628428789	32980075
GSE205335	P4001	2308	27	1801	48.1481481481481	0.806690964854553	306799
