key	label	stratum	n	rho	p
low	CLDN4 low (within-cohort bottom half)	median	31	0.16814516129032261	0.36589900876287546
high	CLDN4 high (within-cohort top half)	median	34	0.19938884644766997	0.25824997382756454
T1	CLDN4 %pos T1	tertile	21	0.34545454545454546	0.12507807750179886
T2	CLDN4 %pos T2	tertile	21	-0.0987012987012987	0.6703614184969643
T3	CLDN4 %pos T3	tertile	23	0.2776679841897233	0.19956560053132966
