dataset	module	gene	in_universe	detected_any_unit
GSE123902	NHEJ_KEGG	DCLRE1C	True	True
GSE123902	NHEJ_KEGG	DNTT	True	False
GSE123902	NHEJ_KEGG	FEN1	True	True
GSE123902	NHEJ_KEGG	LIG4	True	True
GSE123902	NHEJ_KEGG	MRE11	True	True
GSE123902	NHEJ_KEGG	NHEJ1	True	True
GSE123902	NHEJ_KEGG	POLL	True	True
GSE123902	NHEJ_KEGG	POLM	True	True
GSE123902	NHEJ_KEGG	PRKDC	True	True
GSE123902	NHEJ_KEGG	RAD50	True	True
GSE123902	NHEJ_KEGG	XRCC4	True	True
GSE123902	NHEJ_KEGG	XRCC5	True	True
GSE123902	NHEJ_KEGG	XRCC6	True	True
GSE123902	NHEJ_core	DCLRE1C	True	True
GSE123902	NHEJ_core	LIG4	True	True
GSE123902	NHEJ_core	NHEJ1	True	True
GSE123902	NHEJ_core	POLL	True	True
GSE123902	NHEJ_core	POLM	True	True
GSE123902	NHEJ_core	PRKDC	True	True
GSE123902	NHEJ_core	XRCC4	True	True
GSE123902	NHEJ_core	XRCC5	True	True
GSE123902	NHEJ_core	XRCC6	True	True
GSE123902	STING_core	CGAS	True	True
GSE123902	STING_core	STING1	True	True
GSE123902	STING_core	TBK1	True	True
GSE123902	STING_core	IRF3	True	True
GSE123902	STING_core	IFI16	True	True
GSE123902	STING_core	DDX41	True	True
GSE123902	IFN_hallmark	ADAR	True	True
GSE123902	IFN_hallmark	APOL6	True	True
GSE123902	IFN_hallmark	ARID5B	True	True
GSE123902	IFN_hallmark	ARL4A	True	True
GSE123902	IFN_hallmark	AUTS2	True	True
GSE123902	IFN_hallmark	B2M	True	True
GSE123902	IFN_hallmark	BANK1	True	True
GSE123902	IFN_hallmark	BATF2	True	True
GSE123902	IFN_hallmark	BPGM	True	True
GSE123902	IFN_hallmark	BST2	True	True
GSE123902	IFN_hallmark	BTG1	True	True
GSE123902	IFN_hallmark	C1R	True	True
GSE123902	IFN_hallmark	C1S	True	True
GSE123902	IFN_hallmark	CASP1	True	True
GSE123902	IFN_hallmark	CASP3	True	True
GSE123902	IFN_hallmark	CASP4	True	True
GSE123902	IFN_hallmark	CASP7	True	True
GSE123902	IFN_hallmark	CASP8	True	True
GSE123902	IFN_hallmark	CCL2	True	True
GSE123902	IFN_hallmark	CCL5	True	True
GSE123902	IFN_hallmark	CCL7	True	True
GSE123902	IFN_hallmark	CCRL2	True	True
GSE123902	IFN_hallmark	CD274	True	True
GSE123902	IFN_hallmark	CD38	True	True
GSE123902	IFN_hallmark	CD40	True	True
GSE123902	IFN_hallmark	CD47	True	True
GSE123902	IFN_hallmark	CD69	True	True
GSE123902	IFN_hallmark	CD74	True	True
GSE123902	IFN_hallmark	CD86	True	True
GSE123902	IFN_hallmark	CDKN1A	True	True
GSE123902	IFN_hallmark	CFB	True	True
GSE123902	IFN_hallmark	CFH	True	True
GSE123902	IFN_hallmark	CIITA	True	True
GSE123902	IFN_hallmark	CMKLR1	True	True
GSE123902	IFN_hallmark	CMPK2	True	True
GSE123902	IFN_hallmark	CMTR1	True	True
GSE123902	IFN_hallmark	CNP	True	True
GSE123902	IFN_hallmark	CSF1	True	True
GSE123902	IFN_hallmark	CSF2RB	True	True
GSE123902	IFN_hallmark	CXCL10	True	True
GSE123902	IFN_hallmark	CXCL11	True	True
