model	y	term	beta	se	df	p	n
a_NHEJ~CLDN4	nhej_z	cldn4_z	-0.024002315666229488	0.12595186084957527	63	0.8494773146449689	65
c_IFN~CLDN4	ifn_z	cldn4_z	-0.2593146633093483	0.12167846683759852	63	0.03698560308411923	65
cprime_IFN~CLDN4+NHEJ	ifn_z	cldn4_z	-0.2567547229297584	0.12194118979078963	62	0.03929976759841372	65
cprime_IFN~CLDN4+NHEJ	ifn_z	nhej_z	0.10665389186559696	0.12194118979078965	62	0.38514873562646174	65
IFN_arm_STING~CLDN4	sting_z	cldn4_z	-0.2070647340191163	0.12325764704217944	63	0.09792295900927767	65
composite~CLDN4	sting_ifn	cldn4_z	-0.2331896986642323	0.11676970166735033	63	0.050148679451083235	65
MHC~CLDN4	mhc_z	cldn4_z	-0.29169784056282677	0.12050899787330537	63	0.01839175334044187	65
IFN~CLDN4+NHEJ+prolif	ifn_z	cldn4_z	-0.2643347663921723	0.12267199642185027	61	0.03513364788514222	65
IFN~CLDN4+NHEJ+prolif	ifn_z	nhej_z	0.028322863985228503	0.15693725019325375	61	0.8573798561243986	65
IFN~CLDN4+NHEJ+prolif	ifn_z	prolif_z	0.12509509128857407	0.15705515596625602	61	0.4288281563258047	65
STING~CLDN4+NHEJ	sting_z	cldn4_z	-0.2029785765416779	0.12238847588912416	62	0.1022723539078511	65
STING~CLDN4+NHEJ	sting_z	nhej_z	0.17024013575438215	0.12238847588912417	62	0.16920296602418336	65
