dataset	unit_id	gene	umi
GSE123902	LX255B	ADAR	63.0
GSE123902	LX255B	APOL6	27.0
GSE123902	LX255B	ARID5B	33.0
GSE123902	LX255B	ARL4A	28.0
GSE123902	LX255B	AUTS2	29.0
GSE123902	LX255B	B2M	2736.0
GSE123902	LX255B	BANK1	3.0
GSE123902	LX255B	BATF2	2.0
GSE123902	LX255B	BPGM	26.0
GSE123902	LX255B	BST2	119.0
GSE123902	LX255B	BTG1	140.0
GSE123902	LX255B	C1R	20.0
GSE123902	LX255B	C1S	16.0
GSE123902	LX255B	CALR	245.0
GSE123902	LX255B	CANX	82.0
GSE123902	LX255B	CASP1	5.0
GSE123902	LX255B	CASP3	6.0
GSE123902	LX255B	CASP4	124.0
GSE123902	LX255B	CASP7	6.0
GSE123902	LX255B	CASP8	16.0
GSE123902	LX255B	CCL2	87.0
GSE123902	LX255B	CCL5	8.0
GSE123902	LX255B	CCL7	5.0
GSE123902	LX255B	CCNB1	20.0
GSE123902	LX255B	CCRL2	2.0
GSE123902	LX255B	CD274	6.0
GSE123902	LX255B	CD38	3.0
GSE123902	LX255B	CD40	4.0
GSE123902	LX255B	CD47	174.0
GSE123902	LX255B	CD69	23.0
GSE123902	LX255B	CD74	471.0
GSE123902	LX255B	CD86	11.0
GSE123902	LX255B	CDK1	21.0
GSE123902	LX255B	CDKN1A	46.0
GSE123902	LX255B	CFB	17.0
GSE123902	LX255B	CFH	2.0
GSE123902	LX255B	CGAS	22.0
GSE123902	LX255B	CIITA	1.0
GSE123902	LX255B	CLDN4	287.0
GSE123902	LX255B	CMKLR1	0.0
GSE123902	LX255B	CMPK2	6.0
GSE123902	LX255B	CMTR1	5.0
GSE123902	LX255B	CNP	22.0
GSE123902	LX255B	CSF1	18.0
GSE123902	LX255B	CSF2RB	1.0
GSE123902	LX255B	CXCL10	1.0
GSE123902	LX255B	CXCL11	0.0
GSE123902	LX255B	CXCL9	0.0
GSE123902	LX255B	DCLRE1C	5.0
GSE123902	LX255B	DDX41	21.0
GSE123902	LX255B	DDX58	9.0
GSE123902	LX255B	DDX60	1.0
GSE123902	LX255B	DHX58	0.0
GSE123902	LX255B	EIF2AK2	29.0
GSE123902	LX255B	EIF4E3	1.0
GSE123902	LX255B	ELF1	35.0
GSE123902	LX255B	EPSTI1	4.0
GSE123902	LX255B	ERAP1	1.0
GSE123902	LX255B	ERAP2	6.0
GSE123902	LX255B	FAS	20.0
GSE123902	LX255B	FCGR1A	7.0
GSE123902	LX255B	FEN1	16.0
GSE123902	LX255B	FGL2	2.0
GSE123902	LX255B	FPR1	9.0
GSE123902	LX255B	GBP2	10.0
GSE123902	LX255B	GBP4	1.0
GSE123902	LX255B	GCH1	3.0
GSE123902	LX255B	GMPR	0.0
GSE123902	LX255B	GPR18	0.0
