dataset	n	rho	p	df
GSE123902	13	0.22905433254426835	0.47392821995113804	10
GSE131907	21	-0.08859385189812499	0.7103216604495982	18
GSE205335	22	0.3030273295192117	0.18178951112209246	19
GSE189357	9	0.11506701577110146	0.7861462000876067	6
