dataset	unit_id	gene	umi
GSE205335	P0031	ADAR	290
GSE205335	P0031	APOL6	356
GSE205335	P0031	ARID5B	114
GSE205335	P0031	ARL4A	312
GSE205335	P0031	AUTS2	102
GSE205335	P0031	B2M	18012
GSE205335	P0031	BANK1	33
GSE205335	P0031	BATF2	10
GSE205335	P0031	BPGM	121
GSE205335	P0031	BST2	140
GSE205335	P0031	BTG1	1052
GSE205335	P0031	C1R	100
GSE205335	P0031	C1S	107
GSE205335	P0031	CALR	1726
GSE205335	P0031	CANX	692
GSE205335	P0031	CASP1	25
GSE205335	P0031	CASP3	74
GSE205335	P0031	CASP4	312
GSE205335	P0031	CASP7	64
GSE205335	P0031	CASP8	90
GSE205335	P0031	CCL2	79
GSE205335	P0031	CCL5	282
GSE205335	P0031	CCL7	0
GSE205335	P0031	CCNB1	31
GSE205335	P0031	CCRL2	14
GSE205335	P0031	CD274	7
GSE205335	P0031	CD38	105
GSE205335	P0031	CD3D	145
GSE205335	P0031	CD3E	52
GSE205335	P0031	CD40	17
GSE205335	P0031	CD47	1676
GSE205335	P0031	CD69	23
GSE205335	P0031	CD74	2962
GSE205335	P0031	CD86	3
GSE205335	P0031	CD8A	44
GSE205335	P0031	CDK1	27
GSE205335	P0031	CDKN1A	366
GSE205335	P0031	CFB	302
GSE205335	P0031	CFH	157
GSE205335	P0031	CGAS	6
GSE205335	P0031	CIITA	16
GSE205335	P0031	CLDN4	1413
GSE205335	P0031	CMKLR1	0
GSE205335	P0031	CMPK2	19
GSE205335	P0031	CMTR1	41
GSE205335	P0031	CNP	128
GSE205335	P0031	CSF1	21
GSE205335	P0031	CSF2RB	2
GSE205335	P0031	CXCL10	86
GSE205335	P0031	CXCL11	4
GSE205335	P0031	CXCL9	4
GSE205335	P0031	DCLRE1C	61
GSE205335	P0031	DDX41	66
GSE205335	P0031	DDX58	11
GSE205335	P0031	DDX60	16
GSE205335	P0031	DHX58	11
GSE205335	P0031	DNTT	0
GSE205335	P0031	EIF2AK2	106
GSE205335	P0031	EIF4E3	38
GSE205335	P0031	ELF1	215
GSE205335	P0031	EPCAM	1653
GSE205335	P0031	EPSTI1	54
GSE205335	P0031	ERAP1	21
GSE205335	P0031	ERAP2	80
GSE205335	P0031	FAS	48
GSE205335	P0031	FCGR1A	3
GSE205335	P0031	FEN1	95
GSE205335	P0031	FGL2	5
GSE205335	P0031	FPR1	2
GSE205335	P0031	GBP2	75
GSE205335	P0031	GBP4	28
GSE205335	P0031	GBP6	1
GSE205335	P0031	GCH1	54
GSE205335	P0031	GMPR	21
GSE205335	P0031	GNLY	83
GSE205335	P0031	GPR18	2
GSE205335	P0031	GZMA	186
GSE205335	P0031	HELZ2	35
GSE205335	P0031	HERC6	34
GSE205335	P0031	HIF1A	241
GSE205335	P0031	HLA-A	3716
GSE205335	P0031	HLA-B	2739
GSE205335	P0031	HLA-C	2895
GSE205335	P0031	HLA-DMA	339
GSE205335	P0031	HLA-DQA1	119
GSE205335	P0031	HLA-DRB1	1097
GSE205335	P0031	HLA-E	1016
GSE205335	P0031	HLA-F	91
GSE205335	P0031	HLA-G	81
GSE205335	P0031	ICAM1	682
GSE205335	P0031	IDO1	13
GSE205335	P0031	IFI16	47
GSE205335	P0031	IFI27	2678
GSE205335	P0031	IFI30	192
GSE205335	P0031	IFI35	96
GSE205335	P0031	IFI44	24
GSE205335	P0031	IFI44L	39
GSE205335	P0031	IFIH1	15
GSE205335	P0031	IFIT1	14
GSE205335	P0031	IFIT2	18
GSE205335	P0031	IFIT3	28
GSE205335	P0031	IFITM1	27
GSE205335	P0031	IFITM2	355
GSE205335	P0031	IFITM3	1600
GSE205335	P0031	IFNAR2	108
GSE205335	P0031	IL10RA	10
GSE205335	P0031	IL15	8
GSE205335	P0031	IL15RA	6
GSE205335	P0031	IL18BP	3
GSE205335	P0031	IL2RB	22
GSE205335	P0031	IL4R	54
GSE205335	P0031	IL6	37
GSE205335	P0031	IL7	11
GSE205335	P0031	IRF1	233
GSE205335	P0031	IRF2	49
GSE205335	P0031	IRF3	185
GSE205335	P0031	IRF4	15
GSE205335	P0031	IRF5	25
GSE205335	P0031	IRF7	146
GSE205335	P0031	IRF8	5
GSE205335	P0031	IRF9	153
GSE205335	P0031	ISG15	1065
GSE205335	P0031	ISG20	190
GSE205335	P0031	ISOC1	60
