label	x	y	primary	partial	partial_p	partial_n	dl	dl_p	i2	lo	hi	q
CLDN4 %pos vs NHEJ	mal_CLDN4_pct	nhej_score	True	-0.03186106129537857	0.8058129903937236	65	0.03846352133201332	0.7793571508783288	0.0	-0.22673441210118858	0.298351649388827	0.8058129903937236
CLDN4 %pos vs STING/IFN	mal_CLDN4_pct	sting_ifn	True	-0.2442554578099565	0.05572018445458765	65	-0.27459682820180864	0.14000221662197923	0.4435534205655235	-0.5757809008596345	0.0922078246862768	0.08358027668188148
CLDN4 %pos vs MHC-I	mal_CLDN4_pct	mhc_score	True	-0.3162486963729955	0.012276382212469822	65	-0.22852401159115815	0.09034444187182204	0.0	-0.46357735738819983	0.03657878342167419	0.036829146637409466
CLDN4 %pos vs STING core	mal_CLDN4_pct	sting_score	False	-0.19598878781676551	0.12684573693779183	65	-0.247306049637505	0.2435832931346773	0.5638391442564242	-0.5895821019193549	0.1702679728468078	
CLDN4 %pos vs Hallmark IFN	mal_CLDN4_pct	ifn_score	False	-0.279893477318889	0.027575455223247256	65	-0.25403806834509207	0.05864774150324599	0.0	-0.4845791733430246	0.009501664724218518	
CLDN4 %pos vs IFN minus MHC genes	mal_CLDN4_pct	ifn_not_mhc_score	False	-0.2584012932552206	0.0425778125020308	65	-0.24990736304102418	0.06306768972545766	0.0	-0.4811969328228175	0.013911806178491049	
CLDN4 %pos vs NHEJ core	mal_CLDN4_pct	nhej_core_score	False	-0.09921038036708717	0.44297391323442786	65	-0.009631077505472293	0.9441001613796672	0.0	-0.27184787914455805	0.2539169922013953	
CLDN4 logCPM vs NHEJ	cldn4_logcpm	nhej_score	False	0.07115600951218011	0.5826088028289467	65	-0.007541411098259045	0.9562154690725233	0.0	-0.2699114010295404	0.2558710349005275	
CLDN4 logCPM vs STING/IFN	cldn4_logcpm	sting_ifn	False	0.028449620201937635	0.8262621044490321	65	0.014805847222502288	0.9141574588127731	0.0	-0.24906879807656954	0.2766341761945382	
CLDN4 logCPM vs MHC-I	cldn4_logcpm	mhc_score	False	0.059030898235509506	0.6485710570757575	65	0.07718376135410034	0.5734171177903018	0.0	-0.18956809247968218	0.33332506343488694	
CLDN4 logCPM vs Hallmark IFN	cldn4_logcpm	ifn_score	False	0.05265848473449371	0.6843919014152916	65	0.04935418370417248	0.7603946799985952	0.2451019897380409	-0.2618223516851711	0.3512355711235364	
