symbol	logFC	PValue	FDR	logCPM
APLF	-0.019332886	0.968301761	1.0	3.186089731
APTX	-0.115687784	0.534067221	1.0	4.627406556
DCLRE1C	-0.355693541	0.167361291	0.755702197	3.597586873
LIG4	0.266300102	0.200599861	0.815970762	3.752069129
NHEJ1	0.207941265	0.6833627	1.0	1.195488429
PNKP	0.084819561	0.668466828	1.0	4.204826294
POLL	-0.092431287	0.718190679	1.0	3.384029109
POLM	-0.466707226	0.015457365	0.213288054	4.096120035
PRKDC	0.048992655	0.80814238	1.0	4.72798351
XRCC4	-0.172875573	0.495029916	1.0	3.272997797
XRCC5	-0.010716447	0.978102693	1.0	4.02145903
XRCC6	0.311004126	0.138977949	0.689804798	4.050235406
