contrast_id	accession	gene	module	module_short	n_genes	delta_mean	delta_median	frac_genes_down	frac_genes_up	p_sample	p_gene_mw	p_gene_wilcoxon	n_kd	n_ctrl	q_sample_bh
GSE312708_HuCCA1_CLDN1KO_vs_ctrl	GSE312708	CLDN1	NHEJ_CORE	NHEJ_CORE	14	-0.10122821126368198	-0.12498472558840201	0.8571428571428571	0.14285714285714285	0.04341478959869326	0.0008555249552296124	0.029541015625	3	3	0.07235798266448877
GSE312708_HuCCA1_CLDN1KO_vs_ctrl	GSE312708	CLDN1	NHEJ_53BP1_SHIELDIN	NHEJ_53BP1	6	0.05224792006857015	-0.01534876970436505	0.5	0.5	0.5087833349621673	0.9229632383609045	1.0	3	3	0.6359791687027091
GSE312708_HuCCA1_CLDN1KO_vs_ctrl	GSE312708	CLDN1	HALLMARK_INTERFERON_ALPHA_RESPONSE	IFN_ALPHA	96	0.562665452246212	0.3498607607053621	0.3125	0.6875	0.008454714094391334	4.971295065104467e-12	2.3533701673872997e-08	3	3	0.021136785235978332
GSE312708_HuCCA1_CLDN1KO_vs_ctrl	GSE312708	CLDN1	HALLMARK_INTERFERON_GAMMA_RESPONSE	IFN_GAMMA	197	0.39131863032671266	0.21702773893500282	0.3147208121827411	0.6446700507614214	0.0074832566856210475	1.9543585626589324e-17	5.700401385370972e-11	3	3	0.021136785235978332
GSE312708_HuCCA1_CLDN1KO_vs_ctrl	GSE312708	CLDN1	HALLMARK_DNA_REPAIR	DNA_REPAIR	149	-0.0031376781750092064	-0.04503104422323467	0.5436241610738255	0.4563758389261745	0.9099673047044559	0.13732837080713065	0.40170499688713235	3	3	0.9099673047044559
GSE312711_HuCCA1_CDX_CLDN1KO_vs_ctrl	GSE312711	CLDN1	NHEJ_CORE	NHEJ_CORE	14	0.03292039777289624	0.00011334228488024678	0.5	0.5	0.45954927788077976	0.9631867539808799	0.855224609375	6	6	0.9771793966167743
GSE312711_HuCCA1_CDX_CLDN1KO_vs_ctrl	GSE312711	CLDN1	NHEJ_53BP1_SHIELDIN	NHEJ_53BP1	6	-0.21528306576128742	-0.2105397410524601	0.6666666666666666	0.3333333333333333	0.04243524829570077	0.11062191252045209	0.15625	6	6	0.21217624147850384
GSE312711_HuCCA1_CDX_CLDN1KO_vs_ctrl	GSE312711	CLDN1	HALLMARK_INTERFERON_ALPHA_RESPONSE	IFN_ALPHA	96	-0.010630862249545459	-0.06295978484928444	0.5625	0.4375	0.9566483519036257	0.1032094219527227	0.41931933818350453	6	6	0.9771793966167743
GSE312711_HuCCA1_CDX_CLDN1KO_vs_ctrl	GSE312711	CLDN1	HALLMARK_INTERFERON_GAMMA_RESPONSE	IFN_GAMMA	197	-0.009988106523303841	-0.010202416066010578	0.5228426395939086	0.4517766497461929	0.935467561876163	0.2616346317934193	0.5217001543663695	6	6	0.9771793966167743
GSE312711_HuCCA1_CDX_CLDN1KO_vs_ctrl	GSE312711	CLDN1	HALLMARK_DNA_REPAIR	DNA_REPAIR	149	0.001308930429514632	0.019681559369432833	0.4697986577181208	0.5302013422818792	0.9771793966167743	0.46708163617720355	0.984124333598961	6	6	0.9771793966167743
GSE312713_PDM217_shCLDN1_vs_ctrl	GSE312713	CLDN1	NHEJ_CORE	NHEJ_CORE	14	0.03304315863944485	0.009733836109079075	0.5	0.5	0.5856856722506568	0.8071367199581949	0.625732421875	3	3	0.5856856722506568
GSE312713_PDM217_shCLDN1_vs_ctrl	GSE312713	CLDN1	NHEJ_53BP1_SHIELDIN	NHEJ_53BP1	6	-0.26794318586924337	-0.2711354539970904	1.0	0.0	0.16573601589221537	0.00018661765439885233	0.03125	3	3	0.2762266931536923
GSE312713_PDM217_shCLDN1_vs_ctrl	GSE312713	CLDN1	HALLMARK_INTERFERON_ALPHA_RESPONSE	IFN_ALPHA	96	0.24962153842147927	0.24106767017903374	0.23958333333333334	0.7604166666666666	0.00035375333484942683	1.2456751643065127e-16	6.951892081647972e-09	3	3	0.001768766674247134
GSE312713_PDM217_shCLDN1_vs_ctrl	GSE312713	CLDN1	HALLMARK_INTERFERON_GAMMA_RESPONSE	IFN_GAMMA	197	0.15265488098989177	0.1065820869789933	0.29949238578680204	0.6598984771573604	0.004033751739148818	1.5329363025769052e-15	5.492173789909995e-08	3	3	0.010084379347872045
GSE312713_PDM217_shCLDN1_vs_ctrl	GSE312713	CLDN1	HALLMARK_DNA_REPAIR	DNA_REPAIR	149	-0.030331988521609787	-0.03347748256889898	0.5302013422818792	0.4697986577181208	0.3838966682492856	0.4222752088984094	0.59370856119321	3	3	0.47987083531160696
GSE234513_DLD1_sh1_vs_shNTC	GSE234513	CLDN1	NHEJ_CORE	NHEJ_CORE	14	-0.573257548062446	-0.5683068254497053	0.9285714285714286	0.07142857142857142	0.4986288715677265	7.7377128676413e-06	0.000244140625	2	2	0.4986288715677265
GSE234513_DLD1_sh1_vs_shNTC	GSE234513	CLDN1	NHEJ_53BP1_SHIELDIN	NHEJ_53BP1	6	-0.5886424451714922	-0.5802900250676843	1.0	0.0	0.45788280152007704	0.0009353490673044276	0.03125	2	2	0.4986288715677265
GSE234513_DLD1_sh1_vs_shNTC	GSE234513	CLDN1	HALLMARK_INTERFERON_ALPHA_RESPONSE	IFN_ALPHA	96	-0.3963659488565465	-0.40773568434339835	0.8854166666666666	0.10416666666666667	0.292101509532541	3.68729858130095e-18	3.367999588064608e-14	2	2	0.4986288715677265
