symbol,panels,deposited_median,deposited_direction,scanarray_median,scanarray_direction,sign_agreement,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited,GSM558700_scan,GSM558701_scan,GSM558702_scan
XRCC6,NHEJ,-1.5564,DOWN,-2.1603,DOWN,yes,-1.7370,0.0704,-1.5564,-2.1603,-0.1437,-2.3549
XRCC5,NHEJ,-0.8365,DOWN,-1.2816,DOWN,yes,-1.1844,0.4222,-0.8365,-1.2816,-0.0998,-1.6108
PRKDC,NHEJ,0.4343,UP,-0.4801,DOWN,no,0.4343,-0.1288,0.7728,-0.7618,-0.4801,-0.2475
LIG4,NHEJ,0.0000,ZERO,-1.6266,DOWN,no_or_NA,-0.6439,2.4568,0.0000,-1.6266,-2.9635,-1.1291
XRCC4,NHEJ,0.2630,UP,-0.3754,DOWN,no,-2.9434,0.2630,2.4931,-4.1155,-0.3754,1.6569
NHEJ1,NHEJ,,NA,,NA,no_or_NA,,,,,,
DCLRE1C,NHEJ,-1.9784,DOWN,-1.7543,DOWN,yes,-0.7714,-1.9784,-4.1904,-1.7543,1.3277,-5.1832
PAXX,NHEJ,,NA,,NA,no_or_NA,,,,,,
PNKP,NHEJ_ACCESSORY,0.1375,UP,-0.5392,DOWN,no,-0.6215,0.1375,2.2357,-1.7010,-0.5392,1.9084
APLF,NHEJ_ACCESSORY,,NA,,NA,no_or_NA,,,,,,
APTX,NHEJ_ACCESSORY,0.7312,UP,-1.1956,DOWN,no,1.4436,0.7312,-0.5995,0.5684,-1.1956,-1.7173
POLL,NHEJ_ACCESSORY,0.1506,UP,-0.6225,DOWN,no,1.6554,-0.0145,0.1506,1.3395,-0.6225,-0.7652
POLM,NHEJ_ACCESSORY,-0.9900,DOWN,-1.8964,DOWN,yes,-0.9900,1.1020,-1.5639,-1.8964,-1.3488,-2.6547
DNTT,NHEJ_ACCESSORY,0.3334,UP,,NA,no_or_NA,0.3334,,,,,
WRN,NHEJ_ACCESSORY,-0.1047,DOWN,0.2859,UP,no,2.9635,-0.3585,-0.1047,1.7553,0.2859,-1.2391
CGAS,STING,-0.4920,DOWN,-1.7169,DOWN,yes,-0.6439,,-0.3401,-1.9849,,-1.4489
STING1,STING,,NA,,NA,no_or_NA,,,,,,
TBK1,STING,,NA,,NA,no_or_NA,,,,,,
IRF3,STING,1.8806,UP,2.1069,UP,yes,1.8806,-1.1844,2.4974,1.5366,4.4785,2.1069
IKBKE,STING,0.7744,UP,-0.5948,DOWN,no,-0.1361,1.0874,0.7744,-0.5948,-1.6586,-0.1031
TREX1,STING_REG,0.5974,UP,0.0710,UP,yes,-0.5146,,1.7093,-1.0221,,1.1641
ENPP1,STING_REG,-1.7859,DOWN,-2.7597,DOWN,yes,-3.1844,0.7398,-1.7859,-4.5025,-1.3814,-2.7597
IFI16,"IFN,STING_REG",-0.0367,DOWN,-1.3378,DOWN,yes,-0.0367,1.1243,-1.0291,-0.3465,-1.3378,-2.1605
DDX41,STING_REG,0.1763,UP,-0.7873,DOWN,no,0.2510,0.1763,-0.3219,-0.3755,-0.7873,-1.3447
