probe,symbol,raw_symbol,mapped_via,alias_note,description,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited,GSM558700_scan_log2,GSM558701_scan_log2,GSM558702_scan_log2
1052,APTX,APTX,ORF,,APTX--Aprataxin,1.4436,1.0426,-0.5995,0.5684,-1.6424,-1.7173
7100,APTX,APTX,ORF,,APTX--Aprataxin,2.3505,-0.2688,0.9928,1.8823,0.1057,0.2720
32803,APTX,APTX,ORF,,APTX--Aprataxin,-2.3959,0.7312,-4.0589,-3.7170,-1.1956,-5.2840
30704,CGAS,C6ORF150,ORF,C6ORF150->CGAS,C6orf150--Chromosome 6 open reading frame 150,-0.6439,,-0.3401,-1.9849,,-1.4489
17169,CLDN4,CLDN4,ORF,,CLDN4--Claudin 4,,-1.7370,-0.7131,,1.2183,-1.6435
2649,DCLRE1C,DCLRE1C,ORF,,"DCLRE1C--DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)",-0.5995,-1.1203,-4.0589,-1.7279,0.4924,-5.0309
32890,DCLRE1C,DCLRE1C,ORF,,"DCLRE1C--DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)",-0.9434,-2.8365,-4.3219,-1.7807,2.1631,-5.3355
28321,DDX41,DDX41,ORF,,DDX41--DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,0.2510,0.1763,-0.3219,-0.3755,-0.7873,-1.3447
31889,DNTT,DNTT,ORF,,"DNTT--Deoxynucleotidyltransferase, terminal",0.3334,,,,,
21336,ENPP1,ENPP1,ORF,,ENPP1--Ectonucleotide pyrophosphatase/phosphodiesterase 1,-3.1844,0.7398,-1.7859,-4.5025,-1.3814,-2.7597
9522,IFI16,IFI16,ORF,,"IFI16--Interferon, gamma-inducible protein 16",-0.5995,,,,,
21618,IFI16,IFI16,ORF,,"IFI16--Interferon, gamma-inducible protein 16",0.5261,1.1243,-1.0291,-0.3465,-1.3378,-2.1605
29817,IKBKE,IKBKE,ORF,,"IKBKE--Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",,1.1043,-0.0740,,-1.6009,-1.2204
35865,IKBKE,IKBKE,ORF,,"IKBKE--Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",-0.1361,1.0704,1.6229,-0.5948,-1.7162,1.0143
23666,IRF3,IRF3,ORF,,IRF3--Interferon regulatory factor 3,1.3045,,2.8738,1.1290,7.7279,2.5683
29714,IRF3,IRF3,ORF,,IRF3--Interferon regulatory factor 3,2.4568,-1.1844,2.1210,1.9442,1.2291,1.6454
31572,LIG4,LIG4,ORF,,"LIG4--Ligase IV, DNA, ATP-dependent",-0.6439,2.4568,0.0000,-1.6266,-2.9635,-1.1291
29508,PNKP,PNKP,ORF,,PNKP--Polynucleotide kinase 3'-phosphatase,-0.6215,0.1375,2.2357,-1.7010,-0.5392,1.9084
28447,POLL,POLL,ORF,,"POLL--Polymerase (DNA directed), lambda",1.6554,-0.0145,0.1506,1.3395,-0.6225,-0.7652
12309,POLM,POLM,ORF,,"POLM--Polymerase (DNA directed), mu",-1.3585,1.8480,-3.6439,-1.8568,-1.7036,-4.7125
24405,POLM,POLM,ORF,,"POLM--Polymerase (DNA directed), mu",-0.6215,0.3561,0.5160,-1.9359,-0.9940,-0.5969
20613,PRKDC,PRKDC,ORF,,"PRKDC--Protein kinase, DNA-activated, catalytic polypeptide",3.2645,0.2987,0.8319,2.1193,-0.9430,-0.0895
32709,PRKDC,PRKDC,ORF,,"PRKDC--Protein kinase, DNA-activated, catalytic polypeptide",-2.3959,-0.5564,0.7137,-3.6429,-0.0173,-0.4055
19779,RNASEH2A,RNASEH2A,ORF,,"RNASEH2A--Ribonuclease H2, large subunit",-0.6215,-2.3959,0.0704,-1.2413,2.6894,-0.0017
4644,SAMHD1,SAMHD1,ORF,,SAMHD1--SAM domain and HD domain 1,1.1827,-1.3219,,0.2866,1.0324,
35984,TREX1,TREX1,ORF,,TREX1--Three prime repair exonuclease 1,-0.5146,,1.7093,-1.0221,,1.1641
10294,WRN,WRN,ORF,,WRN--Werner syndrome,2.9635,-0.3585,-0.1047,1.7553,0.2859,-1.2391
31377,XRCC4,XRCC4,ORF,,XRCC4--X-ray repair complementing defective repair in Chinese hamster cells 4,-2.9434,0.2630,2.4931,-4.1155,-0.3754,1.6569
18962,XRCC5,XRCC5,ORF,,"XRCC5--X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)",-1.1844,0.4222,-0.8365,-1.2816,-0.0998,-1.6108
3128,XRCC6,G22P1,ORF,G22P1->XRCC6,G22P1--Thyroid autoantigen 70kDa (Ku antigen),-1.7370,0.0704,-1.5564,-2.1603,-0.1437,-2.3549
