gsm,title,cell_line,tissue,ch1_Cy3,ch2_Cy5,deposited_value
GSM558700,CLDN4 Replicate 1,SKOV-3-IP-Luc,ovarian cancer cell line,CLDN4 overexpression (control),CLDN4 knockdown (lentiviral siRNA),"series-matrix VALUE, read as log2(knockdown/control)"
GSM558701,CLDN4 Replicate 2,SKOV-3-IP-Luc,ovarian cancer cell line,CLDN4 overexpression (control),CLDN4 knockdown (lentiviral siRNA),"series-matrix VALUE, read as log2(knockdown/control)"
GSM558702,CLDN4 Replicate 3,SKOV-3-IP-Luc,ovarian cancer cell line,CLDN4 overexpression (control),CLDN4 knockdown (lentiviral siRNA),"series-matrix VALUE, read as log2(knockdown/control)"
