gsm,n_both_finite_pre_positive,median_abs_VALUE_minus_log2_PRE,max_abs_VALUE_minus_log2_PRE,value_equals_log2_pre
GSM558700,30513,2.68272e-05,4.98649e-05,yes
GSM558701,30796,2.73617e-05,4.99775e-05,yes
GSM558702,29130,2.79621e-05,4.99647e-05,yes
