panel,method,primary_median,method_median,sign_agrees_with_primary,method_mw_p,method_any_q_lt_0.05
NHEJ,deposited_probe_mean_gene_mean,-0.2977,-0.2977,yes,0.3622,no
STING,deposited_probe_mean_gene_mean,0.5752,0.5752,yes,0.3619,no
IFN,deposited_probe_mean_gene_mean,-0.2320,-0.2320,yes,0.2788,no
APM,deposited_probe_mean_gene_mean,-0.4536,-0.3950,yes,0.1579,no
NHEJ,deposited_probe_median_gene_median,-0.2977,-0.4183,yes,0.2438,no
STING,deposited_probe_median_gene_median,0.5752,0.7744,yes,0.2372,no
IFN,deposited_probe_median_gene_median,-0.2320,-0.3257,yes,0.1222,no
APM,deposited_probe_median_gene_median,-0.4536,-0.9058,yes,0.02771,no
NHEJ,deposited_lowest_probe_id,-0.2977,-0.2977,yes,0.6054,no
STING,deposited_lowest_probe_id,0.5752,0.5151,yes,0.3173,no
IFN,deposited_lowest_probe_id,-0.2320,-0.1289,yes,0.5407,no
APM,deposited_lowest_probe_id,-0.4536,-0.1065,yes,0.8071,no
NHEJ,scanarray_log2,-0.2977,-1.2752,yes,0.1263,no
STING,scanarray_log2,0.5752,-0.7855,no,0.7564,no
IFN,scanarray_log2,-0.2320,-0.8289,yes,0.03564,no
APM,scanarray_log2,-0.4536,-0.6260,yes,0.5368,yes
NHEJ,vendor_ch2_logratio_abs_le_15,-0.2977,-1.2733,yes,0.04297,no
STING,vendor_ch2_logratio_abs_le_15,0.5752,-0.6867,no,0.656,no
IFN,vendor_ch2_logratio_abs_le_15,-0.2320,-0.7792,yes,0.009752,no
APM,vendor_ch2_logratio_abs_le_15,-0.4536,-0.6733,yes,0.3873,yes
NHEJ,deposited_plus_freetext_ku_artemis,-0.2977,-0.5684,yes,0.2439,no
STING,deposited_plus_freetext_ku_artemis,0.5752,0.5752,yes,0.3646,no
IFN,deposited_plus_freetext_ku_artemis,-0.2320,-0.2320,yes,0.2947,no
APM,deposited_plus_freetext_ku_artemis,-0.4536,-0.4536,yes,0.1575,no
