method,panel,role,n_in_list,n_ge2,n_up,n_down,median_score,background_median,delta_vs_background,mannwhitney_p,min_gene_p,min_gene_q,any_gene_q_lt_0.05,shift,missing_or_lt2
deposited_probe_median_gene_mean,NHEJ,primary,8,6,2,4,-0.2977,-0.0265,-0.2711,0.3613,0.147,0.5832,no,DOWN,"NHEJ1,PAXX"
deposited_probe_median_gene_mean,STING,primary,5,3,2,1,0.5752,-0.0265,0.6018,0.3646,0.1906,0.3863,no,UP,"STING1,TBK1"
deposited_probe_median_gene_mean,IFN,primary,73,58,25,33,-0.2320,-0.0265,-0.2055,0.2946,0.03342,0.9028,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNL1"
deposited_probe_median_gene_mean,APM,primary,16,12,3,9,-0.4536,-0.0265,-0.4271,0.1574,0.09144,0.7932,no,DOWN,"NLRC5,ERAP1,ERAP2,PDIA3"
deposited_probe_median_gene_mean,NHEJ_ACCESSORY,secondary,7,5,4,1,0.5839,-0.0265,0.6104,0.1366,0.3778,0.6109,no,UP,"APLF,DNTT"
deposited_probe_median_gene_mean,STING_REG,secondary,8,6,3,3,-0.0250,-0.0265,0.0015,0.5025,0.3129,0.9778,no,FLAT,"RNASEH2B,RNASEH2C"
deposited_probe_median_gene_mean,CLDN4,diagnostic,1,1,0,1,-1.2250,-0.0265,-1.1985,0.1578,0.252,0.252,no,DOWN,
deposited_probe_mean_gene_mean,NHEJ,primary,8,6,2,4,-0.2977,-0.0282,-0.2695,0.3622,0.147,0.5832,no,DOWN,"NHEJ1,PAXX"
deposited_probe_mean_gene_mean,STING,primary,5,3,2,1,0.5752,-0.0282,0.6034,0.3619,0.1906,0.3863,no,UP,"STING1,TBK1"
deposited_probe_mean_gene_mean,IFN,primary,73,58,25,33,-0.2320,-0.0282,-0.2039,0.2788,0.03342,0.9453,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNL1"
deposited_probe_mean_gene_mean,APM,primary,16,12,3,9,-0.3950,-0.0282,-0.3668,0.1579,0.09144,0.8052,no,DOWN,"NLRC5,ERAP1,ERAP2,PDIA3"
deposited_probe_mean_gene_mean,NHEJ_ACCESSORY,secondary,7,5,3,2,0.5839,-0.0282,0.6121,0.2973,0.3778,0.7636,no,UP,"APLF,DNTT"
deposited_probe_mean_gene_mean,STING_REG,secondary,8,6,3,3,-0.0250,-0.0282,0.0031,0.5056,0.3129,0.9778,no,FLAT,"RNASEH2B,RNASEH2C"
deposited_probe_mean_gene_mean,CLDN4,diagnostic,1,1,0,1,-1.2250,-0.0282,-1.1969,0.1573,0.252,0.252,no,DOWN,
deposited_probe_median_gene_median,NHEJ,primary,8,6,2,3,-0.4183,-0.0439,-0.3744,0.2438,0.147,0.5832,no,DOWN,"NHEJ1,PAXX"
deposited_probe_median_gene_median,STING,primary,5,3,2,1,0.7744,-0.0439,0.8184,0.2372,0.1906,0.3863,no,UP,"STING1,TBK1"
deposited_probe_median_gene_median,IFN,primary,73,58,25,33,-0.3257,-0.0439,-0.2818,0.1222,0.03342,0.9028,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNL1"
deposited_probe_median_gene_median,APM,primary,16,12,3,9,-0.9058,-0.0439,-0.8619,0.02771,0.09144,0.7932,no,DOWN,"NLRC5,ERAP1,ERAP2,PDIA3"
deposited_probe_median_gene_median,NHEJ_ACCESSORY,secondary,7,5,3,2,0.1375,-0.0439,0.1814,0.8674,0.3778,0.6109,no,UP,"APLF,DNTT"
deposited_probe_median_gene_median,STING_REG,secondary,8,6,2,4,-0.0532,-0.0439,-0.0093,0.6361,0.3129,0.9778,no,FLAT,"RNASEH2B,RNASEH2C"
deposited_probe_median_gene_median,CLDN4,diagnostic,1,1,0,1,-1.2250,-0.0439,-1.1811,0.1841,0.252,0.252,no,DOWN,
deposited_lowest_probe_id,NHEJ,primary,8,6,2,4,-0.2977,-0.0194,-0.2782,0.6054,0.2025,0.4994,no,DOWN,"NHEJ1,PAXX"
deposited_lowest_probe_id,STING,primary,5,3,2,1,0.5151,-0.0194,0.5346,0.3173,0.1906,0.3431,no,UP,"STING1,TBK1"
deposited_lowest_probe_id,IFN,primary,73,57,26,31,-0.1289,-0.0194,-0.1095,0.5407,0.02011,0.9686,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,IFI16,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNL1"
deposited_lowest_probe_id,APM,primary,16,12,5,7,-0.1065,-0.0194,-0.0871,0.8071,0.07159,0.6068,no,DOWN,"NLRC5,ERAP1,ERAP2,PDIA3"
deposited_lowest_probe_id,NHEJ_ACCESSORY,secondary,7,5,4,1,0.5972,-0.0194,0.6166,0.2374,0.3778,0.577,no,UP,"APLF,DNTT"
deposited_lowest_probe_id,STING_REG,secondary,8,5,2,3,-0.0696,-0.0194,-0.0502,0.4463,0.3129,0.8608,no,DOWN,"IFI16,RNASEH2B,RNASEH2C"
deposited_lowest_probe_id,CLDN4,diagnostic,1,1,0,1,-1.2250,-0.0194,-1.2056,0.1785,0.252,0.252,no,DOWN,
