probe,would_have_been,why_not_used
8697,DCLRE1C,empty ORF; description names Artemis / DNA cross-link repair 1C
25010,XRCC5,empty ORF; description names Ku80 / Ku86 / ATP-dependent DNA helicase II 80 kDa
