panel,role,symbol,measured,n_probes_annotated,n_arrays_with_value,probe_ids,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction_median,direction_mean,mapping_note
IFN,primary,ISG15,yes,1,3,1952,0.7137,1.7949,-1.0589,0.4832,0.7137,0.5809,0.62,0.9453,UP,UP,G1P2->ISG15;ORF
IFN,primary,MX1,yes,1,2,35937,-0.0740,,0.7908,0.3584,0.3584,0.8289,0.5594,0.9453,UP,UP,ORF
IFN,primary,MX2,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,OAS1,yes,1,3,8392,0.7398,-0.6897,0.6323,0.2275,0.6323,0.4949,0.6697,0.9453,UP,UP,ORF
IFN,primary,OAS2,yes,1,3,18303,-0.2863,2.8115,0.1110,0.8787,0.1110,0.9030,0.4618,0.9453,UP,UP,ORF
IFN,primary,OAS3,yes,1,3,30399,1.2265,-0.3585,0.5753,0.4811,0.5753,1.0459,0.4054,0.9453,UP,UP,ORF
IFN,primary,OASL,yes,1,2,5568,-2.2515,0.8400,,-0.7058,-0.7058,-0.4566,0.7273,0.9453,DOWN,DOWN,ORF
IFN,primary,RSAD2,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,IFIT1,yes,1,3,29863,-2.8365,-1.1203,-2.1203,-2.0257,-2.1203,-4.0703,0.05539,0.9028,DOWN,DOWN,ORF
IFN,primary,IFIT2,yes,1,3,5486,-1.5146,1.6736,-1.3219,-0.3876,-1.3219,-0.3756,0.7433,0.9453,DOWN,DOWN,ORF
IFN,primary,IFIT3,yes,1,3,17582,-0.5995,-0.7859,1.3448,-0.0135,-0.5995,-0.0199,0.986,0.9860,DOWN,DOWN,ORF
IFN,primary,IFIT5,yes,1,3,23815,0.1635,-0.1520,-0.0291,-0.0059,-0.0291,-0.0639,0.9549,0.9860,DOWN,DOWN,ORF
IFN,primary,IFITM1,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,IFITM2,yes,2,3,"5571,10156",0.7527,2.7302,-0.2542,1.0762,0.7527,1.2277,0.3444,0.9453,UP,UP,ORF
IFN,primary,IFITM3,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,IFI6,yes,1,3,16865,0.9336,-0.8625,0.1110,0.0607,0.1110,0.1169,0.9176,0.9676,UP,UP,G1P3->IFI6;ORF
IFN,primary,IFI27,yes,1,3,13326,-2.6439,2.8420,-2.3219,-0.7079,-2.3219,-0.3983,0.7289,0.9453,DOWN,DOWN,ORF
IFN,primary,IFI35,yes,1,3,25749,-1.4344,0.2388,-1.4344,-0.8767,-1.4344,-1.5718,0.2566,0.9453,DOWN,DOWN,ORF
IFN,primary,IFI44,yes,1,2,32812,-1.3585,,-2.0000,-1.6793,-1.6793,-5.2354,0.1202,0.9028,DOWN,DOWN,ORF
IFN,primary,IFI44L,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,IFI16,yes,2,3,"9522,21618",-0.0367,1.1243,-1.0291,0.0195,-0.0367,0.0313,0.9778,0.9860,DOWN,UP,ORF
IFN,primary,DDX58,yes,1,2,16774,,-0.6439,-2.2515,-1.4477,-1.4477,-1.8011,0.3227,0.9453,DOWN,DOWN,ORF
IFN,primary,IFIH1,yes,1,3,27394,-0.4941,-0.9714,-1.3219,-0.9291,-0.9714,-3.8730,0.06066,0.9028,DOWN,DOWN,ORF
IFN,primary,DDX60,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,XAF1,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,HERC5,yes,1,3,19963,-0.0439,0.0704,1.5607,0.5291,0.0704,1.0236,0.4137,0.9453,UP,UP,ORF
IFN,primary,USP18,yes,1,3,14789,2.3306,-3.6439,3.2095,0.6321,2.3306,0.2936,0.7967,0.9453,UP,UP,ORF
IFN,primary,CMPK2,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,BST2,yes,1,3,21420,-0.8625,0.9782,-0.8110,-0.2318,-0.8110,-0.3830,0.7386,0.9453,DOWN,DOWN,ORF
IFN,primary,GBP1,yes,1,3,19842,-2.8365,-0.3585,-3.6439,-2.2796,-2.8365,-2.3063,0.1475,0.9028,DOWN,DOWN,ORF
IFN,primary,GBP2,yes,1,3,1194,0.4114,-0.7131,-1.0589,-0.4535,-0.7131,-1.0218,0.4143,0.9453,DOWN,DOWN,ORF
