panel,role,GSM558700_panel_mean,GSM558701_panel_mean,GSM558702_panel_mean,median_of_array_means,t_1samp_p_n3,GSM558700_minus_array_median,GSM558701_minus_array_median,GSM558702_minus_array_median,t_p_after_array_median,n_arrays,array_median_700,array_median_701,array_median_702
NHEJ,primary,-1.1410,0.1842,-0.5529,-0.5529,0.3197,-1.0821,0.1138,-0.4348,0.3086,3,-0.0589,0.0704,-0.1181
STING,primary,0.3669,-0.0485,0.9772,0.3669,0.2842,0.4258,-0.1189,1.0953,0.3146,3,-0.0589,0.0704,-0.1181
IFN,primary,-0.4677,0.5755,-0.4955,-0.4677,0.749,-0.4088,0.5051,-0.3774,0.784,3,-0.0589,0.0704,-0.1181
APM,primary,-0.9009,0.9113,-0.7930,-0.7930,0.7002,-0.8420,0.8409,-0.6749,0.7147,3,-0.0589,0.0704,-0.1181
NHEJ_ACCESSORY,secondary,0.7974,0.3196,0.0236,0.3196,0.2337,0.8563,0.2491,0.1417,0.2026,3,-0.0589,0.0704,-0.1181
STING_REG,secondary,-0.4873,-0.3355,-0.2714,-0.3355,0.02943,-0.4284,-0.4059,-0.1534,0.06482,3,-0.0589,0.0704,-0.1181
