cohort	unit_id	sample	unit	cldn4	tnk	n_malignant	n_tnk
GSE207422	P02	BD_immune02	patient	1.8593087355055264	0.5690093141405589	100	672
GSE207422	P03	BD_immune03	patient	0.912800678349592	0.4876755070202808	440	1563
GSE207422	P04	BD_immune04	patient	1.594257692389693	0.42692750287687	71	742
GSE207422	P06	BD_immune06	patient	1.4369053449108722	0.2393162393162393	15	140
GSE207422	P07	BD_immune07	patient	1.7963732216585422	0.2170620898536092	516	430
GSE207422	P09	BD_immune09	patient	1.650779562004969	0.7058823529411765	69	1788
GSE207422	P10	BD_immune10	patient	0.9288778588854556	0.6064485538169748	216	2558
GSE207422	P11	BD_immune11	patient	1.606532822183	0.3191153238546603	54	202
GSE207422	P12	BD_immune12	patient	0.8728113140406594	0.2507714462044846	181	1219
GSE207422	P13	BD_immune13	patient	1.6573990689022624	0.1197007481296758	25	624
GSE207422	P14	BD_immune14	patient	0.7683849071504992	0.5400630914826499	87	856
GSE207422	P15	BD_immune15	patient	1.4109920666404587	0.0919211195928753	277	289
GSE131907	BRONCHO_11	BRONCHO_11	sample	1.8059599708830327	0.2545626179987413	203	809
GSE131907	BRONCHO_58	BRONCHO_58	sample	1.426353336223562	0.5495911837895485	460	1546
GSE131907	EBUS_06	EBUS_06	sample	1.3552293035869711	0.2653061224489796	1186	611
GSE131907	EBUS_10	EBUS_10	sample	1.9049734855942484	0.2974339035769829	367	1530
GSE131907	EBUS_12	EBUS_12	sample	2.3549040610356684	0.1052969502407704	257	328
GSE131907	EBUS_13	EBUS_13	sample	0.0018434765440424	0.323943661971831	376	1150
GSE131907	EBUS_15	EBUS_15	sample	1.1294928392821784	0.4334841628959276	256	479
GSE131907	EBUS_19	EBUS_19	sample	2.4779035334230066	0.6756628787878788	217	1427
GSE131907	EBUS_28	EBUS_28	sample	2.197978326433922	0.0447703589347742	4640	232
GSE131907	EBUS_49	EBUS_49	sample	0.9512107328950752	0.6343661971830986	114	1126
GSE131907	EBUS_51	EBUS_51	sample	1.581328884787959	0.3490076335877862	1285	1143
GSE131907	NS_02	NS_02	sample	1.126727726322637	0.4223951578037181	181	977
GSE131907	NS_03	NS_03	sample	2.264933208146411	0.0484949832775919	2713	145
GSE131907	NS_04	NS_04	sample	1.9523515591538416	0.0688025210084033	1229	131
GSE131907	NS_06	NS_06	sample	1.434511918266367	0.3579439252336449	83	383
GSE131907	NS_07	NS_07	sample	1.5931307483262624	0.0289703315881326	5108	166
GSE131907	NS_12	NS_12	sample	1.728830943634575	0.0069138906348208	2811	22
GSE131907	NS_13	NS_13	sample	0.9959480312401604	0.3673890608875129	1352	1780
GSE131907	NS_16	NS_16	sample	0.1031375586066322	0.2923310554290053	79	385
GSE131907	NS_17	NS_17	sample	2.300820123330216	0.170195101701951	1112	410
GSE131907	NS_19	NS_19	sample	1.0082934839931024	0.1121212121212121	755	370
