cohort	malig_def	immune_def	score	n	rho	p	unit	note	n_malignant_cells	n_tnk_cells	origins	n_q1	n_q4	n_compared	median_q1	median_q4	delta_median	r_rb	p_q4q1	thin_q4q1	poolable_q4q1
GSE207422	author_DRMref	tnk	mean	12	-0.09090909090909093	0.7787253962454419	patient	locked A3 12-patient DRMref table; CLDN4 only; TACSTD2 slide not re-cut	2051	11083	post-treatment resection (12/12)	3	3	6	0.4876755070202808	0.2170620898536092	-0.2706134171666716	-0.33333333333333337	0.7	False	True
GSE131907	author_malig	tnk	mean	21	-0.39610389610389607	0.07547637795047248	sample	author Malignant cells, n_mal>=20; sample-level; tLung tS* not in this column	24784	15150	mBrain,mLN,tL/B	6	5	11	0.34566636142967194	0.1052969502407704	-0.24036941118890154	-0.5333333333333333	0.17748917748917747	False	True
GSE131907	author_malig	tnk	pct	21	-0.5220779220779221	0.015195754492505785	sample	sensitivity: malignant CLDN4 %pos vs T/NK fraction	24784	15150	mBrain,mLN,tL/B	6	5	11	0.3901695415186815	0.0484949832775919	-0.3416745582410896	-0.6	0.12554112554112554	False	True
GSE131907_tLung	author_epi	tnk	mean	11	-0.045454545454545456	0.8944269969053026	sample	sensitivity only: tLung epithelium (tS1–tS3 live here; not primary)	7270	19591	tLung	3	3	6	0.3655692729766804	0.3466524973432519	-0.01891677563342853	-0.11111111111111116	1.0	False	True
