analysis	family	cohorts	k	n_207422	n_131907	N	unit_207422	unit_131907	rho_207422	p_207422	rho_131907	p_131907	pooled_rho	p	I2	ci95_lo	ci95_hi	stouffer_z	stouffer_p	method	cldn4_only	dual_high	n_q1	n_q4	r_207422	r_131907	pooled_r
spearman	primary_malig_mean	GSE207422+GSE131907	2	12	21	33	patient	sample	-0.09090909090909093	0.7787253962454419	-0.39610389610389607	0.07547637795047248	-0.30019427278501637	0.10752444293486588	0.0	-0.5960095622578154	0.06736688270649606	-1.6135946586932053	0.10661537617450499	DerSimonian-Laird RE on Fisher-z(Spearman ρ)	True	False					
q4q1	primary_malig_mean	GSE207422+GSE131907	2	6	11	17	patient	sample		0.7		0.17748917748917747		0.08043286822516786	0.0	-0.806892480850819	0.06377944822667657	-1.351254115831295	0.17661404478835008	DerSimonian-Laird RE on Fisher-z(rank-biserial r); Q4 vs Q1 T/NK	True	False	9.0	8.0	-0.33333333333333337	-0.5333333333333333	-0.48315820315546837
spearman	sensitivity_131907_pct	GSE207422+GSE131907	2	12	21	33			-0.09090909090909093		-0.5220779220779221		-0.37316441205595013	0.09844837224333162	30.02329197224801						True	False					
q4q1	sensitivity_131907_pct	GSE207422+GSE131907	2	6	11	17								0.047097594237963177	0.0						True	False	9.0	8.0	-0.33333333333333337	-0.6	-0.536071929139998
