cohort	protein_id	n_observed	n_empty
LUAD	CLAUDIN7	365	0
LUAD	ECADHERIN	365	0
LUAD	EMA	354	11
LUAD	KU80	365	0
LUAD	HLADQA1	0	365
LUSC	CLAUDIN7	328	0
LUSC	ECADHERIN	328	0
LUSC	EMA	318	10
LUSC	KU80	328	0
LUSC	HLADQA1	0	328
other	CLAUDIN7	7135	0
other	ECADHERIN	7135	0
other	EMA	6765	370
other	KU80	7135	0
other	HLADQA1	5433	1702
