protein_id	used_as_standin	LUAD_on_panel	LUSC_on_panel
STAT3	False	True	True
STAT3PY705	False	True	True
STAT5ALPHA	False	True	True
IRF1	False	True	True
IRF3	False	True	True
IRF3PS396	False	True	True
STING	False	True	True
CGAS	False	True	True
CIITA	False	True	True
NFKBP65PS536	False	True	True
PDL1	False	True	True
XRCC1	False	True	True
PARP1	False	True	True
ATM	False	True	True
ATR	False	True	True
RAD50	False	True	True
RAD51	False	True	True
X53BP1	False	True	True
CHK1	False	True	True
CHK2	False	True	True
RPA32	False	True	True
KAP1	False	True	True
NCADHERIN	False	True	True
PCADHERIN	False	True	True
ALPHACATENIN	False	True	True
P63	False	True	True
