requested	label	alias_list	LUAD_present	LUAD_hits	LUSC_present	LUSC_hits
CLDN4	Claudin-4 / CLDN4	CLDN4,CLAUDIN4,CLAUDIN-4	False		False	
PRKDC	DNA-PKcs / PRKDC	PRKDC,DNAPK,DNAPKCS,DNAPKCS,DNA-PKCS,DNAPKCSER2056	False		False	
XRCC6	Ku70 / XRCC6	KU70,XRCC6	False		False	
STAT1	STAT1	STAT1,STAT1PY701,STAT1PS727	False		False	
HLA-I	HLA class I (HLA-A/B/C or B2M)	HLAA,HLAB,HLAC,HLA-A,HLA-B,HLA-C,B2M,HLAABC	False		False	
CLDN7	Claudin-7 (CLDN7)	CLAUDIN7	True	CLAUDIN7	True	CLAUDIN7
CDH1	E-cadherin (CDH1)	ECADHERIN	True	ECADHERIN	True	ECADHERIN
MUC1	EMA (MUC1)	EMA	True	EMA	True	EMA
XRCC5	Ku80 (XRCC5)	KU80	True	KU80	True	KU80
HLA-DQA1	HLA-DQA1 (HLA-DQA1)	HLADQA1	True	HLADQA1	True	HLADQA1
