cohort	protein_id	gene	name	n_tumors_in_matrix	n_observed	n_na	n_duplicate_sample_rows
LUAD	CLAUDIN7	CLDN7	Claudin-7	365	365	0	0
LUAD	ECADHERIN	CDH1	E-cadherin	365	365	0	0
LUAD	EMA	MUC1	EMA	365	354	11	0
LUAD	KU80	XRCC5	Ku80	365	365	0	0
LUAD	HLADQA1	HLA-DQA1	HLA-DQA1	365	0	365	0
LUSC	CLAUDIN7	CLDN7	Claudin-7	328	328	0	0
LUSC	ECADHERIN	CDH1	E-cadherin	328	328	0	0
LUSC	EMA	MUC1	EMA	328	318	10	0
LUSC	KU80	XRCC5	Ku80	328	328	0	0
LUSC	HLADQA1	HLA-DQA1	HLA-DQA1	328	0	328	0
