cohort	protein_id	matched
LUAD	CLAUDIN7	CLAUD
LUAD	DNAPOLG	DNAP
LUAD	ECADHERIN	CADHER
LUAD	EMA	EMA
LUAD	HLADQA1	HLA
LUAD	KU80	KU
LUAD	NCADHERIN	CADHER
LUAD	PCADHERIN	CADHER
LUAD	STAT3	STAT
LUAD	STAT3PY705	STAT
LUAD	STAT5ALPHA	STAT
LUAD	STATHMIN	STAT
LUAD	XRCC1	XRCC
LUSC	CLAUDIN7	CLAUD
LUSC	DNAPOLG	DNAP
LUSC	ECADHERIN	CADHER
LUSC	EMA	EMA
LUSC	HLADQA1	HLA
LUSC	KU80	KU
LUSC	NCADHERIN	CADHER
LUSC	PCADHERIN	CADHER
LUSC	STAT3	STAT
LUSC	STAT3PY705	STAT
LUSC	STAT5ALPHA	STAT
LUSC	STATHMIN	STAT
LUSC	XRCC1	XRCC
