cohort	sample_id	CLAUDIN7	ECADHERIN	EMA	KU80	HLADQA1	EPITHELIAL_ZMEAN
LUAD	TCGA-05-4244	0.29123	0.51625	2.364409	0.35382		0.3208399398608605
LUAD	TCGA-05-4249	0.089475	1.3463	4.098575	-0.040944		0.9429804558494653
LUAD	TCGA-05-4250	0.081021	0.20588	-0.5309434	0.19368		-0.5164156440188807
LUAD	TCGA-05-4384	2.3085	1.321	3.044599	0.20613		1.5244287062625264
LUAD	TCGA-05-4396	3.3176	1.9087	2.981169	0.36188		2.1066331531069267
LUAD	TCGA-05-4397	0.51914	0.40537	1.110655	0.16913		0.08568512277187372
LUAD	TCGA-05-4398	-0.44961	0.32131	-0.5477985	0.064577		-0.6739367937797747
LUAD	TCGA-05-4402	-0.31389	0.54562	2.426805	-0.014377		0.12082083471859288
LUAD	TCGA-05-4405	0.23898	0.32635	2.586897	0.21425		0.2792989353716799
LUAD	TCGA-05-4410	-0.32731	0.41947	1.754333	0.20101		-0.08082973906830841
LUAD	TCGA-05-4417	0.58612	1.1943	0.6457788	0.14159		0.3044001191904129
LUAD	TCGA-05-4418	2.0798	0.24126	1.540423	0.3013		0.6993328092234069
LUAD	TCGA-05-4420	0.7685	0.70701	-0.08160714	-0.1844		0.027413631714131432
LUAD	TCGA-05-4422	3.0689	1.6965	1.858537	0.42581		1.6852802294143396
LUAD	TCGA-05-4426	0.85655	0.13417	2.854412	-0.39331		0.4958523233028656
LUAD	TCGA-05-4427	1.5512	1.0433	-1.122198	0.11311		0.2140666503487406
LUAD	TCGA-05-4430	-0.14716	0.33149	1.573516	-0.034079		-0.08709749680672314
LUAD	TCGA-05-4434	0.6184	0.4095	1.215505	0.22331		0.14739317701869112
LUAD	TCGA-05-5420	-0.16665	-0.89646	1.215601	-0.35339		-0.635932099259504
LUAD	TCGA-05-5423	0.79935	0.91028	1.991274	-0.12551		0.575235723976363
LUAD	TCGA-05-5425	1.1302	-0.13441	2.107326	-0.41975		0.3307402650862692
LUAD	TCGA-05-5429	2.2765	2.0509	1.558457	0.078776		1.4575788455825716
LUAD	TCGA-05-5715	-0.94368	-4.0524	-3.752114	0.26386		-3.214649719607285
LUAD	TCGA-35-3615	1.8073	0.48335	2.345322	0.22929		0.867726867426485
LUAD	TCGA-35-4122	-0.4129	-0.77912	-1.545465	-0.18746		-1.295806971086679
LUAD	TCGA-35-4123	1.3003	0.47822	0.2386314	0.15569		0.210003799141553
LUAD	TCGA-35-5375	-0.49649	-0.26728	-3.228534	-0.25138		-1.507594412936312
LUAD	TCGA-38-4625	0.89043	0.15506	0.235531	-0.41847		-0.06466251520759358
LUAD	TCGA-38-4626	0.57504	-0.46981	2.081958	-0.35457		-0.007475413399519108
LUAD	TCGA-38-4627	-0.886	-0.67406	-1.176948	-0.4537		-1.3503571108552483
LUAD	TCGA-38-4629	-0.34387	0.36688	-0.2737035	-0.28235		-0.5566773354179522
LUAD	TCGA-38-6178	0.34772	0.84691	2.583871	0.55451		0.5149797014669818
LUAD	TCGA-38-A44F	0.39186	0.0153	0.09617544	-0.019212		-0.33349392335360123
LUAD	TCGA-44-2656	0.43132	-0.15416	0.00695461	0.010044		-0.4024032329862111
LUAD	TCGA-44-2657	-0.7273	-0.49855	0.3883011	-0.26741		-0.8780760847930013
LUAD	TCGA-44-2661	-0.57179	-0.18217	2.158785	0.38684		-0.30842924670687183
LUAD	TCGA-44-2664	-0.58597	-0.3864	3.596773	-0.30065		-0.07156826357732693
LUAD	TCGA-44-2665	-0.41721	-0.77988	3.413974	-0.21787		-0.19749705420150598
LUAD	TCGA-44-2668	-0.17792	-1.2645	-0.2052405	-0.49036		-1.0938467468952298
LUAD	TCGA-44-3396	0.16294	0.54909	0.9011432	0.02142		-0.039092851569168426
LUAD	TCGA-44-3398	0.038518	-0.49985	-1.022071	0.047373		-0.906796120945462
LUAD	TCGA-44-3917	0.23201	0.15199	-0.7052621	0.17612		-0.5192493962956597
LUAD	TCGA-44-3918	-0.0058989	-0.55469	0.1211297	0.11265		-0.690339961846972
LUAD	TCGA-44-3919	-0.59211	-0.08777	0.9413439	-0.055942		-0.5505266651865384
LUAD	TCGA-44-4112	0.62556	0.40716	1.496388	-0.10753		0.21148456092005874
LUAD	TCGA-44-5643	0.24289	0.82389	-2.676638	0.37247		-0.6996359373650377
LUAD	TCGA-44-5644	1.0621	1.0219	0.4434983	-0.10803		0.3715522378889202
LUAD	TCGA-44-5645	-0.30397	0.94509	1.061991	-0.018937		-0.02790385814985712
LUAD	TCGA-44-6144	0.55513	0.12772	1.020314	0.19628		-0.025484315634340823
LUAD	TCGA-44-6145	0.13252	0.56107	0.6439594	-0.16878		-0.10294385742957562
LUAD	TCGA-44-6146	1.4525	2.3285	2.167165	0.33584		1.3908300064720063
LUAD	TCGA-44-6147	0.059135	0.096816	1.716387	0.14694		-0.06705527772946052
LUAD	TCGA-44-6148	-0.042677	-1.7989		-0.41468		
LUAD	TCGA-44-6774	0.70426	-0.69318	1.163579	-0.58649		-0.24725312549994957
LUAD	TCGA-44-6775	-0.60345	-0.47063	-0.407862	-0.18461		-0.9981538800238375
LUAD	TCGA-44-6776	1.0404	1.6715		0.25797		
LUAD	TCGA-44-6777	-0.65202	-0.91779	1.391719	-0.24756		-0.7852966989553218
LUAD	TCGA-44-6778	-0.20462	-0.73399	-0.5477881	0.052835		-0.9800814497266078
LUAD	TCGA-44-6779	0.27874	0.22796	2.634628	-0.092		0.26763261115377185
LUAD	TCGA-44-7659	0.51625	-0.3136	1.304779	-0.31687		-0.14293946247166767
LUAD	TCGA-44-7660	0.10084	-0.081522	-0.7628343	-0.067686		-0.6686675358869335
LUAD	TCGA-44-7661	0.25406	-0.15494	0.6183194	-0.6257		-0.3329574975032932
LUAD	TCGA-44-7662	0.85814	-0.76641	3.535571	-0.37716		0.30857975796846643
LUAD	TCGA-44-7667	0.67091	-2.4272	-2.391739	-1.1945		-1.7010294363136482
LUAD	TCGA-44-7669	0.19895	-0.70348	-0.8185634	-0.1029		-0.8786643172342226
LUAD	TCGA-44-7670	1.1777	0.81511	-1.376651	-0.2953		-0.06709527291228896
LUAD	TCGA-44-7671	2.8299	1.2605	2.197651	-0.36441		1.5075686493100358
LUAD	TCGA-44-7672	0.57702	-0.051376	0.11407	-0.89233		-0.28579885378130787
LUAD	TCGA-44-8117	0.99504	1.4065	-0.832849	-0.029065		0.20824345966235303
LUAD	TCGA-44-8119	1.0097	0.25909	-0.4483952	0.045688		-0.13289688401161534
LUAD	TCGA-44-A479	-1.1341	0.050876	0.7523867	0.13443		-0.7417104839631752
LUAD	TCGA-44-A47A	-0.22231	0.16299	1.472839	0.20851		-0.20078601754602485
LUAD	TCGA-44-A47F	2.3822	0.099409	2.854842	-0.041975		1.049929188042938
LUAD	TCGA-44-A47G	-0.44902	-1.3071	0.8255714	-0.18671		-0.9819710935944909
LUAD	TCGA-44-A4SS	-0.31658	-0.57164	-1.594536	0.049873		-1.1927980296156089
LUAD	TCGA-44-A4SU	1.1618	0.73336	1.007665	-0.35442		0.4251595679141375
LUAD	TCGA-49-4486	2.6547	1.6455	1.877741	0.36664		1.5163914062637247
LUAD	TCGA-49-4487	0.13018	-0.5797	-0.5066184	-0.011325		-0.788433818916502
LUAD	TCGA-49-4488	0.17631	0.83203	0.7063284	0.1949		0.029155470768808162
LUAD	TCGA-49-4494	0.075211	0.36446	-0.3797621	-0.048144		-0.42534893211496155
LUAD	TCGA-49-4501	0.035806	0.86426	1.448027	0.011031		0.15360081178979726
LUAD	TCGA-49-4505	0.12538	0.59887	3.541531	0.15525		0.5514248663023907
LUAD	TCGA-49-4506	1.2878	-0.92757	3.810053	-0.18057		0.46851056249404
LUAD	TCGA-49-4507	0.11089	-0.072405	1.120102	-0.12005		-0.24379143671660264
LUAD	TCGA-49-4510	1.8452	0.98686	2.735495	0.11191		1.1578867429121935
LUAD	TCGA-49-4512	-0.2696	0.47543	1.037999	0.21189		-0.19722769341652313
LUAD	TCGA-49-4514	0.77493	0.048748	0.9874318	-0.30517		0.01919361937956272
LUAD	TCGA-49-6742	1.2121	0.46397	1.836418	0.14457		0.5263090512414572
LUAD	TCGA-49-6743	0.059992	0.26341	3.237402	-0.024773		0.3333886863990923
LUAD	TCGA-49-6744	0.19665	0.8396	2.495739	-0.30525		0.43652629107999147
LUAD	TCGA-49-6745	-0.67208	-0.14582	-1.618837	-0.027695		-1.1700485607874558
LUAD	TCGA-49-6761	0.56274	0.053325	0.2932785	0.13425		-0.21194244152851163
LUAD	TCGA-49-6767	0.69499	1.544		0.44432		
LUAD	TCGA-49-AAQV	0.72699	0.20267	1.952518	0.18435		0.2734039028431025
LUAD	TCGA-49-AAR0	0.64883	0.47139	0.8887493	0.17185		0.10951132576171102
LUAD	TCGA-49-AAR2	0.84743	-0.016312	1.020232	-0.28012		0.02892926471271275
LUAD	TCGA-49-AAR3	-0.63318	0.10458	-0.6076828	0.049028		-0.837027665616719
LUAD	TCGA-49-AAR4	-1.0439	0.16727	0.6221417	0.067525		-0.6932679079462112
LUAD	TCGA-49-AAR9	-0.047698	-0.9781	1.212201	-0.96161		-0.6232020260958661
LUAD	TCGA-49-AARE	-0.022342	0.96393	1.593436	0.090989		0.20176034764159065
LUAD	TCGA-49-AARN	-0.58279	-0.1788	-0.698133	0.12036		-0.9450257543453228
LUAD	TCGA-49-AARO	0.14257	0.30623	1.116512	-0.1712		-0.09029750411654391
LUAD	TCGA-49-AARR	0.47442	-0.34645	0.4557904	-0.41356		-0.3591905874491385
LUAD	TCGA-4B-A93V	1.1777	0.24243	0.6022595	0.35722		0.15635233602510787
LUAD	TCGA-50-5044	-0.65836	-1.4873		-0.031489		
