accession	location	filename	size	size_bytes	under_2gb
GSE27556	suppl	GSE27556_RAW.tar	41M	42991616	True
GSE27556	suppl	filelist.txt	632	632	True
GSE27556	matrix	GSE27556-GPL570_series_matrix.txt.gz	2.0M	2097152	True
GSE27556	matrix	GSE27556-GPL96_series_matrix.txt.gz	266K	272384	True
GSE35640	suppl	GSE35640_RAW.tar	309M	324009984	True
GSE35640	suppl	filelist.txt	4.7K	4812	True
GSE35640	matrix	GSE35640_series_matrix.txt.gz	18M	18874368	True
GSE41088	suppl	GSE41088_RAW.tar	16M	16777216	True
GSE41088	suppl	GSE41088_non-normalized.txt.gz	3.5M	3670016	True
GSE41088	suppl	filelist.txt	255	255	True
GSE41088	matrix	GSE41088_series_matrix.txt.gz	2.3M	2411724	True
GSE44825	suppl	GSE44825_RAW.tar	32M	33554432	True
GSE44825	suppl	filelist.txt	812	812	True
GSE44825	matrix	GSE44825_series_matrix.txt.gz	2.1M	2202009	True
GSE46517	suppl	GSE46517_RAW.tar	336M	352321536	True
GSE46517	suppl	filelist.txt	6.9K	7065	True
GSE46517	matrix	GSE46517_series_matrix.txt.gz	15M	15728640	True
GSE54351	suppl	GSE54351_RAW.tar	40M	41943040	True
GSE54351	suppl	filelist.txt	722	722	True
GSE54351	matrix	GSE54351_series_matrix.txt.gz	1.7M	1782579	True
GSE54352	suppl	GSE54352_RAW.tar	27M	28311552	True
GSE54352	suppl	filelist.txt	508	508	True
GSE54352	matrix	GSE54352_series_matrix.txt.gz	1.2M	1258291	True
GSE54353	suppl	GSE54353_RAW.tar	67M	70254592	True
GSE54353	suppl	filelist.txt	1.1K	1126	True
GSE54353	matrix	GSE54353_series_matrix.txt.gz	2.8M	2936012	True
GSE54514	suppl	GSE54514_RAW.tar	6.2M	6501171	True
GSE54514	suppl	GSE54514_non-normalized.txt.gz	32M	33554432	True
GSE54514	suppl	filelist.txt	173	173	True
GSE54514	matrix	GSE54514_series_matrix.txt.gz	19M	19922944	True
