accession	taxon	is_human	is_lung	is_immunotherapy	is_checkpoint_ici	is_pdl1_gene_mention	likely_response_labels	leftover_reason	status	submission_date	last_update_date	types	pubmed	n_samples	gpl	pdat	n_suppl_files	suppl_total_size	suppl_total_bytes	title
GSE27556	Homo sapiens	True	True	True	False	False	False	leftover_human_lung_immunotherapy_not_checkpoint_ici	Public on Jul 01 2011	Feb 28 2011	Mar 25 2019	Expression profiling by array		10	96;570	2011/07/01	4	43.3M	45361784	Novel HLA ligands and Tcell epitopes for immunotherapy of lung cancer
GSE35640	Homo sapiens	True	True	True	False	False	True	leftover_human_lung_immunotherapy_not_checkpoint_ici	Public on May 30 2013	Feb 08 2012	Mar 25 2019	Expression profiling by array	23715562	65	570	2013/05/30	3	327.0M	342889164	Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer
GSE41088	Mus musculus	False	False	False	False	True	True	non_human	Public on Sep 10 2014	Sep 22 2012	Jan 16 2019	Expression profiling by array		12	6887	2014/09/10	4	21.8M	22859211	Adjuvant induced attenuation of excessive inflammation in mice infected with pandemic H1N1 (H1N1pdm) virus
GSE44825	Mus musculus	False	False	True	False	False	True	non_human	Public on Apr 08 2013	Mar 04 2013	Feb 11 2019	Expression profiling by array	25687643	12	1261	2013/04/08	3	34.1M	35757253	Study of the association of DNAhsp65 immunotherapy and conventional drugs in experimental tuberculosis
GSE46517	Homo sapiens	True	False	False	False	False	False	human_not_lung	Public on May 01 2013	Apr 30 2013	Aug 10 2018	Expression profiling by array	20520718	121	96	2013/05/01	3	351.0M	368057241	Human melanoma samples comparing nevi and primary and metastatic melanoma
GSE54351	Mus musculus	False	True	False	False	True	True	mouse_lung_pdl1_expression_not_ici_treatment	Public on Jan 24 2014	Jan 23 2014	Mar 04 2019	Expression profiling by array	24794706	9	6246	2014/01/24	3	41.7M	43726341	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells
GSE54352	Mus musculus	False	True	False	False	True	True	mouse_lung_pdl1_expression_not_ici_treatment	Public on Jan 24 2014	Jan 23 2014	Mar 04 2019	Expression profiling by array	24794706	6	6246	2014/01/24	3	28.2M	29570351	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells
GSE54353	Mus musculus	False	True	False	False	True	False	mouse_lung_pdl1_expression_not_ici_treatment	Public on Jan 24 2014	Jan 23 2014	Mar 04 2019	Expression profiling by array	24794706	15	6246	2014/01/24	3	69.8M	73191730	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression
GSE54514	Homo sapiens	True	False	True	False	False	True	human_not_lung	Public on Feb 04 2014	Jan 29 2014	Aug 16 2018	Expression profiling by array	23807251	163	6947	2014/02/04	4	57.2M	59978720	Whole blood transcriptome of survivors and nonsurvivors of sepsis
