accession	uid	taxon	n_samples	pdat	gpl	gdstype	pubmedids	suppfile	ftplink	title	summary
GSE27556	200027556	Homo sapiens	10	2011/07/01	96;570	Expression profiling by array		CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27556/	Novel HLA ligands and Tcell epitopes for immunotherapy of lung cancer	Analysis of gene expression data to evaluate candidate targets for immunotherapy.
GSE35640	200035640	Homo sapiens	65	2013/05/30	570	Expression profiling by array	23715562	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35640/	Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer	Purpose:  To evaluate the presence of a gene expression signature present before treatment as predictive of response to treatment with MAGE‑A3 immunotherapeutic in metastatic melanoma patients and to validate its predictivity in adjuvant therapy of early-stage lung cancer.
GSE41088	200041088	Mus musculus	12	2014/09/10	6887	Expression profiling by array		TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41088/	Adjuvant induced attenuation of excessive inflammation in mice infected with pandemic H1N1 (H1N1pdm) virus	The reassorted human 2009 pandemic H1N1 (H1N1pdm) virus infected millions of people and caused thousands of deaths with associated immunopathology.  Traditional immunosuppressants have limited capabilities in controlling inflammatory responses associated with severe influenza infections.  A new therapeutic strategy, therefore, must be developed.  We evaluated several adjuvants including toll-like receptor (TLR) agonists, TLR independent adjuvants and Complete Freund’s adjuvant (CFA) for limiting severe H1N1pdm infection outcomes in a mouse model.  In contrast to the TLR agonists and TLR independent adjuvants, CFA which contains multiple pattern recognition receptor (PRR) agonists significantly restrained pro-inflammatory responses and promoted survival in mice from lethal H1N1pdm infection.  CFA reduced expression of the plamacytoid dendritic cell (pDC) markers and interferon alpha (IFN-α) after infection, whereas it elevated the T regulatory (Treg) cell suppressive molecules galectin-1 and CTLA-4 expression. Consequently, Th1 cell differentiation and CD8+ effector T cell responses were diminished via downregulated myeloid DC (mDC) costimulation.  Furthermore, CTLA-4 expressing Treg cells were dramatically increased when the CFA primed splenocytes were restimulated with its stimuli-killed mycobacterium tuberculosis (M. TB).  The elevated CTLA-4 on Treg cells led to reduced CD86 expressing pDCs/mDCs and less CD4+ effector T cells. Overall, our study highlights that the stimuli of innate immunity potentially controls overactive host immune responses in certain situations, and the uncovered mechanism(s) sheds light on the development of anti-influenza therapies.
GSE44825	200044825	Mus musculus	12	2013/04/08	1261	Expression profiling by array	25687643	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44825/	Study of the association of DNAhsp65 immunotherapy and conventional drugs in experimental tuberculosis	Despite substantial investments, tuberculosis remains one of the biggest challenges in public health. DNA-immunotherapy is increasingly being suggested as a possibility to assist conventional treatment of tuberculosis. This strategy could allow treatment to be more efficient, faster and with advantages and modulate the host immune response, as demonstrated by our group with DNAhsp65 vaccine (Silva, Bonato et al., Gene Therapy, 2005). Based on this evidences, we performed a microarray assay to stydy the functional effects of DNAhsp65 immunotherapy associated with conventional chemotherapy in murine experimental tuberculosis.
GSE46517	200046517	Homo sapiens	121	2013/05/01	96	Expression profiling by array	20520718	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46517/	Human melanoma samples comparing nevi and primary and metastatic melanoma	We sought to identify genes and gene signatures which correlate with progression by sampling human melanomas from nevi, primary, and metastatic tumors. The large number of samples also permits analysis within groups.
GSE54351	200054351	Mus musculus	9	2014/01/24	6246	Expression profiling by array	24794706	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54351/	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells	Lung squamous cell carcinoma (SCC) is a deadly disease for which current treatments are inadequate. We demonstrate that bi-allelic inactivation of Lkb1 and Pten in the mouse lung led to SCC that recapitulated the histology, gene expression and microenvironment found in human disease. Lkb1/Pten-null (LP) tumors expressed the squamous markers Krt5, p63 and Sox2, and transcriptionally resembled the basal subtype of human SCC. In contrast to mouse adenocarcinomas, the LP tumors contained immune populations enriched for tumor-associated neutrophils. Sca1+/Ngfr+ fractions were enriched for tumor propagating cells (TPCs) that could serially transplant the disease in orthotopic assays. TPCs in the LP model and Ngfr+ cells in human SCCs highly expressed Pdl1, suggesting a novel mechanism of immune escape for TPCs. We used microarrays to detail the gene expression profles among lung SCC tumor epitheial cell, lung ADC tumor epithelia cell and normal epithelial cells.
GSE54352	200054352	Mus musculus	6	2014/01/24	6246	Expression profiling by array	24794706	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54352/	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells	Lung squamous cell carcinoma (SCC) is a deadly disease for which current treatments are inadequate. We demonstrate that bi-allelic inactivation of Lkb1 and Pten in the mouse lung led to SCC that recapitulated the histology, gene expression and microenvironment found in human disease. Lkb1/Pten-null (LP) tumors expressed the squamous markers Krt5, p63 and Sox2, and transcriptionally resembled the basal subtype of human SCC. In contrast to mouse adenocarcinomas, the LP tumors contained immune populations enriched for tumor-associated neutrophils. Sca1+/Ngfr+ fractions were enriched for tumor propagating cells (TPCs) that could serially transplant the disease in orthotopic assays. TPCs in the LP model and Ngfr+ cells in human SCCs highly expressed Pdl1, suggesting a novel mechanism of immune escape for TPCs. We used microarrays to detail the gene expression profles among lung SCC tumor epitheial cell, lung ADC tumor epithelia cell and normal epithelial cells.
GSE54353	200054353	Mus musculus	15	2014/01/24	6246	Expression profiling by array	24794706	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54353/	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression	This SuperSeries is composed of the SubSeries listed below.
GSE54514	200054514	Homo sapiens	163	2014/02/04	6947	Expression profiling by array	23807251	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54514/	Whole blood transcriptome of survivors and nonsurvivors of sepsis	There is currently no reliable tool available to measure immune dysfunction in septic patients in the clinical setting. This proof-of-concept study assesses the potential of gene expression profiling of whole blood as a tool to monitor immune dysfunction in critically ill septic patients. Whole blood samples were collected daily for up to 5 days from patients admitted to the intensive care unit with sepsis. RNA isolated from whole blood samples was assayed on Illumina HT-12 gene expression microarrays consisting of 48,804 probes. Microarray analysis identified 3677 genes as differentially expressed across 5 days between septic patients and healthy controls. Of the 3677 genes, biological pathway analysis identified 86 genes significantly down-regulated in the sepsis patients were present in pathways relating to immune response. These 86 genes correspond to known immune pathways implicated in sepsis including lymphocyte depletion, reduced T lymphocyte activation and deficient antigen presentation. Furthermore, expression levels of these genes correlated with clinical severity, with a significantly greater degree of down-regulation found in non-survivors compared to survivors. The results show that whole blood gene-expression analysis can capture systemic immune dysfunctions in septic patients. Our study provides an experimental basis to support further study on the use of a gene expression based assay, to assess immunosuppression and guide immunotherapy in future clinical trials.
