accession	pdat	taxon	n_samples	gpl	pubmed	is_human	is_lung	is_immunotherapy	is_checkpoint_ici	leftover_reason	n_download_files	download_status	stored_bytes	has_response_label	has_survival_label	TACSTD2_n	CLDN4_n	CD274_n	PDCD1_n	TACSTD2_CD274_spearman	title
GSE27556	2011/07/01	Homo sapiens	10	96;570		True	True	True	False	leftover_human_lung_immunotherapy_not_checkpoint_ici	4	downloaded;skipped_not_processed	2361777	False	False	8	8	8	8	0.2381	Novel HLA ligands and Tcell epitopes for immunotherapy of lung cancer
GSE35640	2013/05/30	Homo sapiens	65	570	23715562	True	True	True	False	leftover_human_lung_immunotherapy_not_checkpoint_ici	3	downloaded;skipped_not_processed	19129025	True	False	65	65	65	65	-0.081	Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer
GSE41088	2014/09/10	Mus musculus	12	6887		False	False	False	False	non_human	0		0			0	0	0	0		Adjuvant induced attenuation of excessive inflammation in mice infected with pandemic H1N1 (H1N1pdm) virus
GSE44825	2013/04/08	Mus musculus	12	1261	25687643	False	False	True	False	non_human	0		0			0	0	0	0		Study of the association of DNAhsp65 immunotherapy and conventional drugs in experimental tuberculosis
GSE46517	2013/05/01	Homo sapiens	121	96	20520718	True	False	False	False	human_not_lung	0		0			0	0	0	0		Human melanoma samples comparing nevi and primary and metastatic melanoma
GSE54351	2014/01/24	Mus musculus	9	6246	24794706	False	True	False	False	mouse_lung_pdl1_expression_not_ici_treatment	3	downloaded;skipped_not_processed	1794840	False	False	9	9	9	9	0.5833	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells
GSE54352	2014/01/24	Mus musculus	6	6246	24794706	False	True	False	False	mouse_lung_pdl1_expression_not_ici_treatment	3	downloaded;skipped_not_processed	1245138	False	False	6	6	6	6	-0.5429	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells
GSE54353	2014/01/24	Mus musculus	15	6246	24794706	False	True	False	False	mouse_lung_pdl1_expression_not_ici_treatment	3	downloaded;skipped_not_processed	2920548	False	False	15	15	15	15	-0.0357	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression
GSE54514	2014/02/04	Homo sapiens	163	6947	23807251	True	False	True	False	human_not_lung	0		0			0	0	0	0		Whole blood transcriptome of survivors and nonsurvivors of sepsis
