accession	leftover_reason	is_human	is_lung	is_immunotherapy	is_checkpoint_ici	n_samples	gpl	pdat	pubmed	title
GSE27556	leftover_human_lung_immunotherapy_not_checkpoint_ici	True	True	True	False	10	96;570	2011/07/01		Novel HLA ligands and Tcell epitopes for immunotherapy of lung cancer
GSE35640	leftover_human_lung_immunotherapy_not_checkpoint_ici	True	True	True	False	65	570	2013/05/30	23715562	Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer
GSE41088	non_human	False	False	False	False	12	6887	2014/09/10		Adjuvant induced attenuation of excessive inflammation in mice infected with pandemic H1N1 (H1N1pdm) virus
GSE44825	non_human	False	False	True	False	12	1261	2013/04/08	25687643	Study of the association of DNAhsp65 immunotherapy and conventional drugs in experimental tuberculosis
GSE46517	human_not_lung	True	False	False	False	121	96	2013/05/01	20520718	Human melanoma samples comparing nevi and primary and metastatic melanoma
GSE54351	mouse_lung_pdl1_expression_not_ici_treatment	False	True	False	False	9	6246	2014/01/24	24794706	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells
GSE54352	mouse_lung_pdl1_expression_not_ici_treatment	False	True	False	False	6	6246	2014/01/24	24794706	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells
GSE54353	mouse_lung_pdl1_expression_not_ici_treatment	False	True	False	False	15	6246	2014/01/24	24794706	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression
GSE54514	human_not_lung	True	False	True	False	163	6947	2014/02/04	23807251	Whole blood transcriptome of survivors and nonsurvivors of sepsis
