accession	n_samples	has_response_label	has_survival_label	has_treatment_label	n_char_keys	char_keys	note
GSE27556	10	False	False	False	8	geo_accession;title;source_name;cell_type;other_characteristics;matrix_file;platform_from_filename;tissue_type	
GSE35640	65	True	False	True	9	geo_accession;title;source_name;treatment_response_for_gene_profiling;response;tissue;other_characteristics;matrix_file;platform_from_filename	
GSE54351	9	False	False	False	11	geo_accession;title;source_name;strain;tissue;cell_type;genotype;developmental_stage;other_characteristics;matrix_file;platform_from_filename	
GSE54352	6	False	False	False	11	geo_accession;title;source_name;strain;tissue;cell_type;genotype;developmental_stage;other_characteristics;matrix_file;platform_from_filename	
GSE54353	15	False	False	False	11	geo_accession;title;source_name;strain;tissue;cell_type;genotype;developmental_stage;other_characteristics;matrix_file;platform_from_filename	
